target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	0	0
BraA01g000020.3C	1668	1419	87.3741	6.68217
BraA01g000030.3C	957	708	0	0
BraA01g000040.3C	1299	1050	246.94	25.5223
BraA01g000050.3C	774	525	11	2.27379
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	25	4.83609
BraA01g000080.3C	891	642	102	17.2418
BraA01g000090.3C	1707	1458	278.195	20.7066
BraA01g000100.3C	357	108.433	37.8597	37.8909
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	367	23.4142
BraA01g000180.3C	963	714	12	1.8239
BraA01g000190.3C	2436	2187	160	7.93942
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	8	0.736366
BraA01g000240.3C	1617	1368	97	7.6949
BraA01g000250.3C	720	471	5	1.15204
BraA01g000260.3C	2454	2205	380.638	18.7336
BraA01g000270.3C	1104	855	265.1	33.6481
BraA01g000280.3C	339	91.3223	2	2.37668
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	66	6.98094
BraA01g000320.3C	1035	786	308	42.5251
BraA01g000330.3C	327	80.5083	66.3925	89.4943
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1127	509.601
BraA01g000360.3C	297	56.934	4	7.62441
BraA01g000370.3C	426	177.001	18	11.0361
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	929	34.9694
BraA01g000400.3C	345	96.9308	3	3.35874
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	106	15.1559
BraA01g000430.3C	3585	3336	158	5.13983
BraA01g000440.3C	510	261	4	1.66317
BraA01g000450.3C	9402	9153	281	3.33166
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	475.947	59.9892
BraA01g000480.3C	897	648	158	26.4606
BraA01g000490.3C	1152	903	28	3.36502
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	0	0
BraA01g000530.3C	3666	3417	622.531	19.7712
BraA01g000540.3C	1416	1167	15	1.39488
BraA01g000550.3C	1722	1473	5	0.36837
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	100	7.38244
BraA01g000580.3C	1431	1182	836.614	76.8113
BraA01g000590.3C	1713	1464	78	5.7819
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	8	2.17588
BraA01g000620.3C	477	228	37	17.611
BraA01g000630.3C	687	438	1	0.247767
BraA01g000640.3C	873	624	77	13.3913
BraA01g000650.3C	810	561	19	3.67543
BraA01g000660.3C	1038	789	34	4.67648
BraA01g000670.3C	831	582	76	14.1712
BraA01g000680.3C	2286	2037	73	3.8891
BraA01g000690.3C	366	117.23	97	89.7946
BraA01g000700.3C	1533	1284	327	27.6376
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	723	69.1899
BraA01g000730.3C	963	714	389	59.1247
BraA01g000740.3C	864	615	104	18.3517
BraA01g000750.3C	540	291	490.851	183.052
BraA01g000760.3C	705	456	14	3.33181
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	95.3349	11.933
BraA01g000790.3C	882	633	39	6.68618
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
BraA01g000820.3C	939	690	0	0
BraA01g000830.3C	1623	1374	345	27.2489
BraA01g000840.3C	1590	1341	225	18.2084
BraA01g000850.3C	1557	1308	641	53.1824
BraA01g000860.3C	672	423	158	40.5354
BraA01g000870.3C	819	570	53	10.0906
BraA01g000880.3C	1044	795	428	58.4244
BraA01g000890.3C	1761	1512	230	16.508
BraA01g000900.3C	411	162.005	932	624.318
BraA01g000910.3C	276	44.1722	130	319.383
BraA01g000920.3C	276	44.1722	130	319.383
BraA01g000930.3C	510	261	1	0.415793
BraA01g000940.3C	510	261	1	0.415793
BraA01g000950.3C	1794	1545	179	12.5731
BraA01g000960.3C	525	276	0	0
BraA01g000970.3C	525	276	0	0
BraA01g000980.3C	1794	1545	179	12.5731
BraA01g000990.3C	885	636	207	35.3208
BraA01g001000.3C	1077	828	57	7.47071
BraA01g001010.3C	432	183	150	88.9521
BraA01g001020.3C	381	132.072	16	13.147
BraA01g001030.3C	2094	1845	30	1.76458
BraA01g001040.3C	1242	993	89	9.72653
BraA01g001050.3C	1995	1746	0	0
BraA01g001060.3C	1017	768	0	0
BraA01g001070.3C	729	480	0	0
BraA01g001080.3C	1074	825	27	3.55163
BraA01g001090.3C	1263	1014	105	11.2375
BraA01g001100.3C	690	441	71	17.4718
BraA01g001110.3C	1554	1305	21	1.74633
BraA01g001120.3C	1398	1149	59	5.57249
BraA01g001130.3C	2049	1800	1091.34	65.7968
BraA01g001140.3C	1146	897	63	7.62194
BraA01g001150.3C	2010	1761	2617	161.273
BraA01g001160.3C	1005	756	0	0
BraA01g001170.3C	1011	762	10	1.42417
BraA01g001180.3C	1848	1599	84	5.70096
BraA01g001190.3C	369	120.184	0	0
BraA01g001200.3C	849	600	19.0558	3.44662
BraA01g001210.3C	918	669	0	0
BraA01g001220.3C	1410	1161	2	0.186946
BraA01g001230.3C	1554	1305	0	0
BraA01g001240.3C	1638	1389	123.131	9.62019
BraA01g001250.3C	1269	1020	23	2.44706
BraA01g001260.3C	741	492	36	7.94063
BraA01g001270.3C	1125	876	22	2.72544
BraA01g001280.3C	1845	1596	114	7.75156
