transcript_ID,module
BraA01g000020.3C,none
BraA01g000040.3C,none
BraA01g000070.3C,pink
BraA01g000080.3C,none
BraA01g000090.3C,red
BraA01g000100.3C,grey
BraA01g000170.3C,none
BraA01g000180.3C,brown
BraA01g000190.3C,turquoise
BraA01g000240.3C,blue
BraA01g000260.3C,none
BraA01g000270.3C,cyan
BraA01g000310.3C,none
BraA01g000320.3C,none
BraA01g000330.3C,turquoise
BraA01g000350.3C,none
BraA01g000370.3C,brown
BraA01g000390.3C,none
BraA01g000420.3C,turquoise
BraA01g000430.3C,none
BraA01g000450.3C,none
BraA01g000470.3C,none
BraA01g000480.3C,none
BraA01g000490.3C,grey
BraA01g000530.3C,none
BraA01g000570.3C,yellow
BraA01g000580.3C,none
BraA01g000590.3C,none
BraA01g000620.3C,turquoise
BraA01g000640.3C,none
BraA01g000650.3C,magenta
BraA01g000660.3C,brown
BraA01g000670.3C,blue
BraA01g000680.3C,yellow
BraA01g000690.3C,purple
BraA01g000700.3C,turquoise
BraA01g000720.3C,none
BraA01g000730.3C,none
BraA01g000740.3C,blue
BraA01g000750.3C,none
BraA01g000760.3C,grey
BraA01g000780.3C,none
BraA01g000790.3C,yellow
BraA01g000830.3C,yellow
BraA01g000840.3C,none
BraA01g000850.3C,none
BraA01g000860.3C,none
BraA01g000870.3C,yellow
BraA01g000880.3C,none
BraA01g000890.3C,blue
BraA01g000900.3C,none
BraA01g000910.3C,none
BraA01g000920.3C,none
BraA01g000950.3C,none
BraA01g000980.3C,none
BraA01g000990.3C,none
BraA01g001000.3C,greenyellow
BraA01g001010.3C,turquoise
BraA01g001020.3C,red
BraA01g001030.3C,brown
BraA01g001040.3C,none
BraA01g001080.3C,turquoise
BraA01g001090.3C,yellow
BraA01g001100.3C,blue
BraA01g001110.3C,tan
BraA01g001120.3C,none
BraA01g001130.3C,none
BraA01g001140.3C,none
BraA01g001150.3C,none
BraA01g001180.3C,magenta
BraA01g001200.3C,royalblue
BraA01g001240.3C,lightyellow
BraA01g001250.3C,blue
BraA01g001260.3C,blue
BraA01g001270.3C,pink
BraA01g001280.3C,none
BraA01g001290.3C,none
BraA01g001300.3C,black
BraA01g001320.3C,brown
BraA01g001330.3C,red
BraA01g001340.3C,purple
BraA01g001360.3C,none
BraA01g001370.3C,none
BraA01g001380.3C,none
BraA01g001400.3C,none
BraA01g001410.3C,none
BraA01g001420.3C,none
BraA01g001430.3C,none
BraA01g001440.3C,black
BraA01g001460.3C,blue
BraA01g001490.3C,none
BraA01g001500.3C,turquoise
BraA01g001530.3C,none
BraA01g001550.3C,green
BraA01g001580.3C,none
BraA01g001590.3C,none
BraA01g001610.3C,turquoise
BraA01g001620.3C,turquoise
BraA01g001630.3C,none
BraA01g001640.3C,grey60
BraA01g001670.3C,none
BraA01g001680.3C,midnightblue
BraA01g001720.3C,none
BraA01g001730.3C,none
BraA01g001740.3C,none
BraA01g001750.3C,none
BraA01g001760.3C,yellow
BraA01g001790.3C,green
BraA01g001800.3C,brown
BraA01g001810.3C,none
BraA01g001820.3C,none
BraA01g001830.3C,none
BraA01g001850.3C,none
