"","tube.no","pot.no","intercept","intercept.pvalue","slope","slope.pvalue","adj.R2"
"1","x","x","0","0","0","0","0"
"2","Q_1","Q_1","-2.24394873995827","3.12288799091721e-07","0.27057972505739","4.09602192368412e-07","0.975729381332521"
"3","Q_2","Q_2","-1.99560187642053","0.0211732408325913","0.221851256869253","0.0644976662660025","0.979541615420343"
"4","","Q_3","-2.47054474859679","NaN","0.37768018388211","NaN","NaN"
"5","Q_4","Q_4","-2.48581736049657","0.000116943321475515","0.276991857558972","0.000613077370907845","0.949800673138778"
"6","Q_5","Q_5","-2.64929586230285","NaN","0.475543641151777","NaN","NaN"
"7","Q_6","Q_6","-2.30258176782851","2.83956294109144e-08","0.236616342784114","1.12941545208396e-07","0.983191028554732"
"8","Q_7_D8","Q_7","-2.2498625405125","0.00542401386804524","0.225635278645015","0.0333337482929469","0.901665463284046"
"9","Q_8_D8","Q_8","-2.17800513259265","0.00821059788982782","0.269712750495642","0.0332390818482514","0.901940009298418"
"10","Q_10","Q_10","-2.30935198225093","1.51209091400731e-06","0.290111384698338","1.49672796757962e-06","0.964891885093321"
"11","Q_12","Q_12","-2.85572146428236","1.4863991345311e-07","0.288160105491645","6.63740832682004e-07","0.972150150804356"
"12","Q_13","Q_13","-2.19984541123711","0.0251827847300126","0.150723902801969","0.123347868397865","0.925853330405673"
"13","Q_14","Q_14","-2.33908949252236","2.59894308367948e-07","0.264482295638345","5.30282034149736e-07","0.973875833969063"
"14","Q_15","Q_15","-1.79312090844227","NaN","0.145461783187976","NaN","NaN"
"15","Q_17","Q_17","-1.8623440517176","1.57703202058168e-07","0.218628918390819","2.48985838840289e-07","0.978940365690927"
"16","Q_19","Q_19","-2.45219735187108","6.94449891021553e-08","0.299001587473269","8.44828662484131e-08","0.984527021740935"
"17","Q_20","Q_20","-2.28570975574892","1.3928971490027e-06","0.279378120553726","1.66157599198007e-06","0.963831832760717"
"18","Q_21","Q_21","-2.48008202938374","1.23722957270456e-06","0.330983051944285","8.1026831142345e-07","0.970521585173631"
"19","Q_22","Q_22","-2.13385040172239","0.0624392098238801","0.294436299149293","0.151291445022989","0.889157268279657"
"20","","Q_23","-2.47869319053171","8.31474113177749e-08","0.273389218238182","2.02100512297583e-07","0.980156641326193"
"21","Q_24","Q_24","-2.11107826325684","9.04981385614812e-08","0.2726453371208","7.39612486628012e-08","0.985103151546122"
"22","Q_25","Q_25","-1.98429033142841","4.59080650711369e-09","0.287900330814832","1.66497140972192e-09","0.994956043209879"
"23","Q_26","Q_26","-2.10749370565536","1.79399507220632e-07","0.264369177553409","1.79338864684369e-07","0.980821391795742"
"24","Q_27","Q_27","-2.33156308275274","0.0737929251391602","0.221980941080117","0.250657266261606","0.705645196263906"
"25","Q_28","Q_28","-2.37693814698585","3.54939722514124e-09","0.284533700046625","4.9156498729185e-09","0.993128851355801"
"26","Q_30","Q_30","-2.42242192937707","1.3509509030087e-07","0.231987606352708","8.63390261141819e-07","0.969983475206776"
"27","Q_31","Q_31","-2.15134438115876","NaN","0.237417277956496","NaN","NaN"
"28","Q_32","Q_32","-2.10226958076346","0.0340824524744763","0.172435018290929","0.139027588508075","0.90612355029202"
"29","Q_65","Q_33","-1.94398611800181","0.0185159554480527","0.224278967545195","0.0543986798628221","0.985432359943733"
"30","Q_35","Q_35","-2.99171051731413","9.63118829638504e-08","0.291242375402839","5.51839162368932e-07","0.973577491342278"
"31","Q_37","Q_37","-2.23440620864473","0.0545468405306031","0.212405553903073","0.18958071189987","0.827820250971591"
"32","Q_38","Q_38","-2.07512313283066","0.0175749622616255","0.120248090080282","0.102163014625644","0.94893470789167"
"33","Q_39","Q_39","-2.41302546323648","3.0867850704589e-08","0.282678403941506","4.95842699101566e-08","0.986709366077317"
"34","Q_40","Q_40","-2.5552796446221","1.6971740872583e-06","0.262002775761248","6.6283105466921e-06","0.946390015406361"
"35","Q_42","Q_42","-2.8494811953836","2.18886851716545e-07","0.290698971743679","9.04077492461275e-07","0.969587147450053"
"36","Q_23","Q_43","-2.96350409953931","NaN","0.395215845160081","NaN","NaN"
"37","Q_44","Q_44","-2.21546332002332","NaN","0.225252914510452","NaN","NaN"
"38","Q_45","Q_45","-2.36703347569672","2.66875335120554e-06","0.274531425382124","4.53181969213681e-06","0.951882116606969"
"39","Q_46","Q_46","-2.16824770019791","4.67337512921854e-08","0.30334418510108","2.1919963527361e-08","0.989471258688524"
"40","Q_47","Q_47","-2.07264436043633","3.72953045002128e-05","0.244189919248411","5.60305160152364e-05","0.90179925988921"
"41","Q_48","Q_48","-2.29094162090494","6.12989828086467e-08","0.334842834950794","2.12340690787235e-08","0.989566362140137"
"42","Q_3","Q_49","-2.01373999978739","0.0898876834457888","0.194734256464022","0.294806550279295","0.600906114945314"
"43","Q_50","Q_50","-2.13564936496529","NaN","0.303067901216976","NaN","NaN"
"44","Q_51","Q_51","-2.4649791156483","1.27860147535038e-07","0.301688061015579","1.51511657570505e-07","0.981721807581447"
"45","Q_53","Q_53","-2.75603320692229","8.02008978801773e-08","0.331794906610061","1.06537473446259e-07","0.983468594967445"
