target_id	length	eff_length	est_counts	tpm
AT1G50920.1	2394	2145	2814	117.844
AT1G36960.1	546	297	0	0
AT1G44020.1	2314	2065	15.6625	0.681325
AT1G15970.1	1658	1409	224	14.2807
AT1G73440.1	1453	1204	96	7.16238
AT1G75120.1	1520	1271	39	2.75633
AT1G17600.1	3332	3083	65	1.89388
AT1G50860.1	3846	3597	0	0
AT1G51380.1	1452	1203	99	7.39234
AT1G77370.1	620	371	632	153.023
AT1G44090.1	1158	909	0	0
AT1G10950.1	2245	1996	2544	114.49
AT1G31870.1	2134	1885	347	16.536
AT1G51360.1	717	468	98	18.8102
AT1G14940.1	757	508	0	0
AT1G50950.1	1782	1533	29	1.69929
AT1G75110.1	1568	1319	28	1.90689
AT1G17400.1	1477	1228	14	1.0241
AT1G50930.1	790	541	16	2.65666
AT1G17390.1	1024	775	0	0
AT1G09400.1	1182	933	20	1.92558
AT1G09415.1	655	406	139	30.754
AT1G74730.1	891	642	160	22.3871
AT1G75100.1	2279	2030	92	4.07103
AT1G75240.1	1608	1359	1	0.0660987
AT1G14920.1	2129	1880	215	10.2729
AT1G65510.1	480	231	238	92.5502
AT1G75250.1	381	132.072	5	3.40073
AT1G54410.1	728	479	19752	3704.15
AT1G09410.1	2118	1869	36	1.73024
AT1G54420.1	363	114.285	0	0
AT1G54430.1	4920	4671	0	0
AT1G75090.1	1303	1054	63	5.36924
AT1G36950.1	681	432	4	0.831742
AT1G50940.1	1389	1140	266	20.9599
AT1G14930.1	719	470	0	0
AT1G65970.1	737	488	946.082	174.149
AT1G17410.1	795	546	117	19.2489
AT1G31880.1	1574	1325	60.2535	4.08487
AT1G77320.1	3383	3134	248	7.10829
AT1G77500.1	3158	2909	643	19.8555
AT1G51320.1	1128	879	0	0
AT1G43990.1	3294	3045	0	0
AT1G74770.1	3904	3655	978	24.0361
AT1G75080.1	1563	1314	591	40.4022
AT1G14890.1	944	695	398	51.4412
AT1G51330.1	582	333	0	0
AT1G80350.1	1932	1683	464	24.7655
AT1G14900.1	1025	776	808	93.5324
AT1G15960.1	2137	1888	68.524	3.26027
AT1G14980.1	690	441	1594	324.685
AT1G14910.1	2413	2164	654	27.1477
AT1G44100.1	2151	1902	605	28.5731
AT1G42450.1	3260	3011	0	0
AT1G15000.1	1471	1222	280	20.5826
AT1G31850.1	2324	2075	2114	91.5165
AT1G79210.1	1061	812	584	64.6055
AT1G67160.1	1353	1104	0	0
AT1G42350.1	7480	7231	65	0.807472
AT1G20960.1	7013	6764	3470	46.0827
AT1G74780.1	1976	1727	177	9.20648
AT1G65620.1	1381	1132	9	0.714181
AT1G12680.1	1933	1684	365	19.4699
AT1G74790.1	2458	2209	437	17.7704
AT1G77510.1	1798	1549	892	51.728
AT1G43980.1	1866	1617	23	1.2777
AT1G77300.1	5791	5542	971	15.7386
AT1G80340.1	1083	834	57	6.13933
AT1G65985.1	1456	1207	285	21.2105
AT1G43995.1	494	245	0	0
AT1G51340.2	1870	1621	69	3.82365
AT1G31860.1	1065	816	391	43.0427
AT1G73450.1	3721	3472	224.508	5.8085
AT1G21070.1	1663	1414	142	9.02093
AT1G51350.1	2441	2192	299	12.253
AT1G14950.1	845	596	0	0
AT1G09440.1	1593	1344	212	14.1693
AT1G09390.1	1341	1092	198	16.2875
AT1G22840.1	730	481	1870	349.228
AT1G09430.1	1838	1589	1498	84.6838
AT1G44010.1	778	529	7	1.18865
AT1G80360.1	1492	1243	1347	97.344
AT1G73445.1	735	486	6	1.10899
AT1G74720.1	3757	3508	602	15.4152
AT1G65980.1	890	641	5378.81	753.774
AT1G44000.1	1108	859	176	18.4048
AT1G65940.1	450	201	0	0
AT1G75260.1	1633	1384	56	3.63467
AT1G31900.1	258	35.7089	5	12.5778
AT1G14970.1	1825	1576	171	9.74658
AT1G42320.1	4574	4325	0	0
AT1G14960.1	688	439	93	19.0297
AT1G12670.1	305	62.6432	0	0
AT1G73460.1	3703	3454	643.492	16.7353
AT1G09450.1	2096	1847	66	3.20989
AT1G51355.1	750	501	26	4.66174
AT1G36750.1	1078	829	0	0
AT1G12660.1	414	165.003	0	0
AT1G75130.1	1660	1411	340	21.6453
AT1G21120.1	1358	1109	100.333	8.12692
AT1G09740.1	843	594	1490	225.327
AT1G21110.1	1385	1136	414.542	32.7795
AT1G50900.1	793	544	156.831	25.8967
AT1G37000.1	660	411	0	0
AT1G77330.1	1239	990	1685	152.889
AT1G80400.1	1747	1498	237	14.2118
AT1G74740.1	2047	1798	646.578	32.3031
AT1G17370.1	1772	1523	1112	65.5869
AT1G09750.1	1578	1329	631	42.6498
AT1G75220.1	1944	1695	987	52.307
AT1G65560.1	1399	1150	134	10.4669
AT1G65570.1	1194	945	94	8.93529
AT1G49660.1	1103	854	524	55.117
AT1G36680.1	1123	874	2	0.205556
AT1G21100.1	1384	1135	520.662	41.2071
AT1G29020.1	1695	1446	168	10.4365
AT1G42310.1	1598	1349	0	0
AT1G77310.1	2480	2231	98	3.94584
AT1G44075.1	267	39.6723	0	0
AT1G12610.1	1074	825	221	24.0631
AT1G70820.1	2154	1905	0	0
AT1G70790.2	872	623	155	22.3489
AT1G12640.1	1795	1546	612	35.5594
AT1G12620.1	2407	2158	61	2.53916
AT1G12630.1	587	338	2	0.531528
AT1G65610.1	2115	1866	367	17.6672
AT1G75170.1	1294	1045	382.987	32.9215
AT1G49680.1	300	59.0212	0	0
AT1G50880.1	840	591	0	0
AT1G36675.1	807	558	2	0.321965
AT1G23180.1	2978	2729	238	7.83404
AT1G09770.1	2934	2685	2827	94.5788
AT1G75200.1	2279	2030	524	23.1872
AT1G80390.1	540	291	2	0.617376
AT1G74750.1	2568	2319	117	4.53208
AT1G75210.1	2274	2025	355	15.7477
AT1G44080.1	1044	795	0	0
AT1G65585.1	836	587	0	0
AT1G21140.1	899	650	94	12.9905
AT1G09780.1	1911	1662	4124	222.895
AT1G09790.1	1451	1202	1	0.0747322
AT1G09760.1	1190	941	587	56.0352
AT1G75190.1	846	597	77	11.5859
AT1G49730.1	2237	1988	213	9.62445
AT1G79220.1	1591	1342	46	3.07906
AT1G50870.1	1191	942	0	0
AT1G65590.1	1922	1673	560	30.068
AT1G75180.1	1543	1294	377	26.171
AT1G09800.1	1442	1193	113	8.50845
AT1G50890.1	2877	2628	151	5.16136
AT1G70810.1	720	471	245	46.7259
AT1G21130.1	1365	1116	117.463	9.45476
AT1G65580.1	3729	3480	825	21.2955
AT1G70800.1	717	468	107	20.5376
