"","AGI","logFC","logCPM","LR","PValue","FDR","symbol2","full_name"
"1","AT1G13609",9.40654810125922,7.22328059668356,8306.48522255355,0,0,NA,NA
"2","AT1G56160",9.21317301800447,5.4512075585407,5234.24872679014,0,0,"ATMYB72;MYB72","ARABIDOPSIS THALIANA MYB DOMAIN PROTEIN 72;myb domain protein 72"
"3","AT2G41240",8.84439965979535,7.78262883499292,11258.7816886683,0,0,"BHLH100","basic helix-loop-helix protein 100"
"4","AT2G30766",8.35361025888431,5.43067248864183,4872.44270322666,0,0,"FEP1;IMA3","FE-UPTAKE-INDUCING PEPTIDE1;IRONMAN 3"
"5","AT1G12030",7.77579681754633,3.80215527020762,2333.95808018756,0,0,NA,NA
"6","AT3G53280",7.09157842079965,4.16448687581353,2413.31628052532,0,0,"CYP71B5","cytochrome p450 71b5"
"7","AT5G45105",6.87163902505183,3.7143100795092,2374.07801118968,0,0,"ZIP8","zinc transporter 8 precursor"
"8","AT1G62420",6.85566706956357,3.75932647471603,2201.71774873832,0,0,NA,NA
"9","AT2G14247",6.85276746859944,6.21109086974802,5297.2972795056,0,0,NA,NA
"10","AT2G04050",6.74405979358505,4.06214436038781,2798.99930255005,0,0,NA,NA
"11","AT3G25190",-6.63699423341606,4.70533070992241,3602.61418373736,0,0,"AtVTL5;VTL5","NA;Vacuolar Iron Transporter-Like 5"
"12","AT3G12900",6.46371418686955,8.54367768256899,9827.18249291765,0,0,"S8H","Scopoletin 8- Hydroxylase"
"13","AT4G31940",5.88909208367101,10.5800334638389,4570.02990916162,0,0,"CYP82C4","cytochrome P450, family 82, subfamily C, polypeptide 4"
"14","AT5G04150",5.88435467406114,5.51990167239475,5052.18237575067,0,0,"BHLH101","NA"
"15","AT3G56970",5.81226784019608,7.973273643697,7230.46401072898,0,0,"BHLH038;bHLH38;ORG2","NA;basic helix-loop-helix 38;OBP3-RESPONSIVE GENE 3"
"16","AT3G56980",5.34576562256506,7.5749445120856,7708.01634357412,0,0,"BHLH039;bHLH39;ORG3","NA;basic helix-loop-helix 39;OBP3-RESPONSIVE GENE 3"
"17","AT3G58060",5.29225099759515,4.95425828454238,4112.0796480943,0,0,"MTP8","NA"
"18","AT5G38820",5.25167853612847,5.73143645619174,5379.96390013541,0,0,NA,NA
"19","AT3G12820",5.13524179742331,5.91931921506157,4534.07874891879,0,0,"AtMYB10;MYB10","myb domain protein 10;myb domain protein 10"
"20","AT1G01580",5.07970968616912,10.5237600139519,4911.09402474265,0,0,"ATFRO2;FRD1;FRO2","FERRIC REDUCTION OXIDASE 2;FERRIC CHELATE REDUCTASE DEFECTIVE 1;ferric reduction oxidase 2"
"21","AT1G47395",5.04012163750483,6.20382521227921,5615.69449867831,0,0,"FEP2;IMA2","FE-UPTAKE-INDUCING PEPTIDE2;IRONMAN 2"
"22","AT1G47400",4.90488073421418,5.1991078974876,3646.57264752747,0,0,"FEP3;IMA1","FE-UPTAKE-INDUCING PEPTIDE3;IRONMAN 1"
"23","AT4G19690",4.83327571462797,10.7058896409399,2977.37565419072,0,0,"ATIRT1;IRT1","ARABIDOPSIS IRON-REGULATED TRANSPORTER 1;iron-regulated transporter 1"
"24","AT5G02780",4.82460506084586,8.7863990413545,6334.43308167749,0,0,"GSTL1","glutathione transferase lambda 1"
"25","AT3G02480",4.71625585118336,4.8987553294207,3488.83149774486,0,0,"ABR","ABA-response protein"
"26","AT3G52970",-4.7099944295782,3.61539944832254,1544.22963203605,0,0,"CYP76G1","cytochrome P450, family 76, subfamily G, polypeptide 1"
"27","AT3G01490",4.70346725403019,3.87508113666517,1751.76654842738,0,0,NA,NA
"28","AT3G61930",4.67931368302196,5.88906044181955,5481.04970563946,0,0,NA,NA
