"","AGI","logFC","logCPM","LR","PValue","FDR","symbol2","full_name"
"1","AT2G39510",-6.96830611493189,6.07829067175647,308.4669512924,4.71185223785831e-69,1.58327658896515e-64,"UMAMIT14","Usually multiple acids move in and out Transporters 14"
"2","AT2G05070",-2.56202609345442,4.7427155486095,224.945437955488,7.54589199579845e-51,1.2677853142141e-46,"LHCB2;LHCB2.2","LIGHT-HARVESTING CHLOROPHYLL B-BINDING 2;photosystem II light harvesting complex gene 2.2"
"3","AT1G29910",-3.45347842788635,4.69312645529508,211.622293984948,6.08041990007779e-48,6.8104756494138e-44,"AB180;CAB3;LHCB1.2","NA;chlorophyll A/B binding protein 3;LIGHT HARVESTING CHLOROPHYLL A/B BINDING PROTEIN 1.2"
"4","AT1G31290",-4.03322630279369,2.5000296023567,174.396827757381,8.10821497338938e-40,6.81130598839575e-36,"AGO3","ARGONAUTE 3"
"5","AT5G38410",-3.01691523984352,5.07352347054867,162.992184757432,2.51147365151773e-37,1.68781075276598e-33,"RBCS3B","Rubisco small subunit 3B"
"6","AT1G68620",4.28286897841123,3.24959346521261,158.513584674831,2.39012922467761e-36,1.33855203679362e-32,NA,NA
"7","AT3G15650",-1.98163457409521,4.30630428823532,147.273704486814,6.83751711221084e-34,3.28220357149298e-30,NA,NA
"8","AT3G22550",-2.22310033387216,4.60896089364861,140.390372937179,2.18700121562838e-32,8.38135287010233e-29,NA,NA
"9","AT4G08290",2.35962945196095,4.76669809228876,140.33850332022,2.24487160975302e-32,8.38135287010233e-29,"UMAMIT20","Usually multiple acids move in and out Transporters 20"
"10","AT1G29920",-3.89478547876716,2.48696615976325,133.661478658018,6.47925465191508e-31,2.1771591481365e-27,"AB165;CAB2;LHCB1.1","NA;chlorophyll A/B-binding protein 2;LIGHT HARVESTING CHLOROPHYLL A/B-BINDING PROTEIN 1.1"
"11","AT5G23060",-1.73515200788829,4.40559340012746,131.762076163528,1.68669986629331e-30,5.15240808247163e-27,"CaS","calcium sensing receptor"
"12","AT4G31020",-2.53129429633753,4.8627897440791,128.666472679145,8.02279448278901e-30,2.2465161684223e-26,NA,NA
"13","AT4G15990",3.62798906282242,1.81574835402216,123.597239151653,1.03202640023835e-28,2.66755008467762e-25,NA,NA
"14","AT2G21330",-1.96918546222906,5.31008203183859,118.283071470774,1.50327708757071e-27,3.60807976403937e-24,"AtFBA1;FBA1","NA;fructose-bisphosphate aldolase 1"
"15","AT5G52860",-3.29400452714178,2.37404185725313,115.265810540046,6.88252393134609e-27,1.54177712760728e-23,"ABCG8","ATP-binding cassette G8"
"16","AT5G18840",-1.63215439604893,5.53659596450269,114.930626128197,8.14993094545036e-27,1.71158737268139e-23,NA,NA
"17","AT1G76680",1.61375548231246,6.71467743993989,114.583444437554,9.70933408068113e-27,1.91913555164145e-23,"ATOPR1;OPR1","ARABIDOPSIS 12-OXOPHYTODIENOATE REDUCTASE 1;12-oxophytodienoate reductase 1"
"18","AT3G22740",2.57715719717176,3.01894384308544,113.13453335031,2.01619853105929e-26,3.76379461336967e-23,"HMT3","homocysteine S-methyltransferase 3"
"19","AT4G32810",-2.26765743721768,3.55045741889926,109.045097617492,1.58635223371506e-25,2.8055056714365e-22,"ATCCD8;CCD8;MAX4","NA;carotenoid cleavage dioxygenase 8;MORE AXILLARY BRANCHING 4"
"20","AT1G26560",-4.00262545058986,3.7245471456624,107.734565685537,3.07296210688365e-25,5.16288363577523e-22,"BGLU40","beta glucosidase 40"
