transcript_ID,AGI,At_symbol,At_short_description,perc_ID
BraA01g002770.3C,AT4G35770,ATSEN1,Rhodanese/Cell cycle control phosphatase superfamily protein,84.22
BraA02g016120.3C,AT5G50830,NA,NA,78.201
BraA03g058100.3C,AT4G33720,AtCAPE3,NA,84.082
BraA07g005130.3C,AT2G15780,NA,Cupredoxin superfamily protein,77.415
BraA04g026510.3C,AT2G37460,UMAMIT12,nodulin MtN21 /EamA-like transporter family protein,83.1
BraA03g058110.3C,AT4G33720,AtCAPE3,NA,84.082
