target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	5	0.513066
BraA01g000020.3C	1668	1419	84.8193	6.16427
BraA01g000030.3C	957	708	2	0.291317
BraA01g000040.3C	1299	1050	370.7	36.4085
BraA01g000050.3C	774	525	9	1.76788
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	20.2831	3.72856
BraA01g000080.3C	891	642	150	24.0949
BraA01g000090.3C	1707	1458	141.72	10.024
BraA01g000100.3C	357	108.433	15.1439	14.4028
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	455	27.5852
BraA01g000180.3C	963	714	22	3.17756
BraA01g000190.3C	2436	2187	189	8.91214
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	4	0.349877
BraA01g000240.3C	1617	1368	84	6.33231
BraA01g000250.3C	720	471	2	0.437903
BraA01g000260.3C	2454	2205	475.1	22.2201
BraA01g000270.3C	1104	855	413	49.8142
BraA01g000280.3C	339	91.3223	0	0
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	43	4.32205
BraA01g000320.3C	1035	786	274	35.9499
BraA01g000330.3C	327	80.5083	68.5849	87.8531
BraA01g000340.3C	288	51.0677	1	2.0194
BraA01g000350.3C	489	240	1472	632.507
BraA01g000360.3C	297	56.934	3	5.43399
BraA01g000370.3C	426	177.001	24	13.9831
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	858	30.691
BraA01g000400.3C	345	96.9308	0	0
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	203	27.5818
BraA01g000430.3C	3585	3336	278	8.59385
BraA01g000440.3C	510	261	2	0.790239
BraA01g000450.3C	9402	9153	364	4.10116
