target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	5	0.536252
BraA01g000020.3C	1668	1419	70.0248	5.31905
BraA01g000030.3C	957	708	1	0.152241
BraA01g000040.3C	1299	1050	346.811	35.6015
BraA01g000050.3C	774	525	21	4.31146
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	54	10.3752
BraA01g000080.3C	891	642	164	27.5343
BraA01g000090.3C	1707	1458	518.296	38.3164
BraA01g000100.3C	357	108.433	30.2878	30.1074
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	304	19.2635
BraA01g000180.3C	963	714	26	3.925
BraA01g000190.3C	2436	2187	183	9.01918
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	5	0.45711
BraA01g000240.3C	1617	1368	69	5.43661
BraA01g000250.3C	720	471	1	0.228846
BraA01g000260.3C	2454	2205	567.238	27.7282
BraA01g000270.3C	1104	855	240.171	30.2775
BraA01g000280.3C	339	91.3223	1	1.18029
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	1	0.536252
BraA01g000310.3C	1275	1026	106	11.1358
BraA01g000320.3C	1035	786	359	49.2308
BraA01g000330.3C	327	80.5083	78	104.428
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1269	569.922
BraA01g000360.3C	297	56.934	4	7.57275
BraA01g000370.3C	426	177.001	18	10.9613
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	596	22.2826
BraA01g000400.3C	345	96.9308	4	4.44798
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	120	17.0414
BraA01g000430.3C	3585	3336	233	7.52826
BraA01g000440.3C	510	261	1	0.412976
BraA01g000450.3C	9402	9153	307	3.61526
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	499.446	62.5245
BraA01g000480.3C	897	648	173	28.7764
BraA01g000490.3C	1152	903	29	3.46159
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	0	0
BraA01g000530.3C	3666	3417	824.721	26.0152
BraA01g000540.3C	1416	1167	17	1.57016
BraA01g000550.3C	1722	1473	9	0.658574
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	82	6.01259
BraA01g000580.3C	1431	1182	1191.96	108.695
BraA01g000590.3C	1713	1464	90	6.62623
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	2	0.540284
BraA01g000620.3C	477	228	53	25.0557
BraA01g000630.3C	687	438	1	0.246088
BraA01g000640.3C	873	624	98	16.928
BraA01g000650.3C	810	561	1	0.192133
BraA01g000660.3C	1038	789	95.9005	13.1011
BraA01g000670.3C	831	582	132.304	24.5027
BraA01g000680.3C	2286	2037	68	3.59818
BraA01g000690.3C	366	117.23	59	54.2473
BraA01g000700.3C	1533	1284	434	36.4325
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	496	47.1448
BraA01g000730.3C	963	714	330	49.8173
BraA01g000740.3C	864	615	28	4.90736
BraA01g000750.3C	540	291	465	172.236
BraA01g000760.3C	705	456	34	8.03672
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	100.563	12.5021
BraA01g000790.3C	882	633	31.2571	5.32243
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
BraA01g000820.3C	939	690	0	0
BraA01g000830.3C	1623	1374	349.933	27.4513
BraA01g000840.3C	1590	1341	147	11.8155
BraA01g000850.3C	1557	1308	854	70.3744
BraA01g000860.3C	672	423	143	36.4385
BraA01g000870.3C	819	570	44	8.32037
BraA01g000880.3C	1044	795	517	70.0952
BraA01g000890.3C	1761	1512	118	8.41192
BraA01g000900.3C	411	162.005	1499	997.331
BraA01g000910.3C	276	44.1722	179	436.786
BraA01g000920.3C	276	44.1722	179	436.786
BraA01g000930.3C	510	261	4.5	1.85839
BraA01g000940.3C	510	261	4.5	1.85839
BraA01g000950.3C	1794	1545	252	17.5807
BraA01g000960.3C	525	276	0	0
BraA01g000970.3C	525	276	0	0
BraA01g000980.3C	1794	1545	252	17.5807
BraA01g000990.3C	885	636	236	39.9963
BraA01g001000.3C	1077	828	52	6.76921
BraA01g001010.3C	432	183	260	153.139
BraA01g001020.3C	381	132.072	74	60.393
BraA01g001030.3C	2094	1845	27	1.57737
BraA01g001040.3C	1242	993	148	16.0649
BraA01g001050.3C	1995	1746	0	0
BraA01g001060.3C	1017	768	2	0.280694
BraA01g001070.3C	729	480	0	0
BraA01g001080.3C	1074	825	22	2.87431
BraA01g001090.3C	1263	1014	122	12.9684
BraA01g001100.3C	690	441	60	14.6648
BraA01g001110.3C	1554	1305	45	3.71678
BraA01g001120.3C	1398	1149	33	3.0957
BraA01g001130.3C	2049	1800	1118.37	66.9699
BraA01g001140.3C	1146	897	101	12.1365
BraA01g001150.3C	2010	1761	1111	68.0017
BraA01g001160.3C	1005	756	0	0
BraA01g001170.3C	1011	762	2	0.282905
BraA01g001180.3C	1848	1599	65	4.38157
