target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	8	0.719801
BraA01g000020.3C	1668	1419	150.997	9.62221
BraA01g000030.3C	957	708	0	0
BraA01g000040.3C	1299	1050	398.782	34.3427
BraA01g000050.3C	774	525	19	3.27252
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	29	4.67438
BraA01g000080.3C	891	642	129	18.1695
BraA01g000090.3C	1707	1458	1490.76	92.4567
BraA01g000100.3C	357	108.433	45.4317	37.8868
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	2	2.48252
BraA01g000160.3C	1632	1383	2	0.130766
BraA01g000170.3C	1950	1701	513	27.271
BraA01g000180.3C	963	714	8	1.01317
BraA01g000190.3C	2436	2187	266	10.9982
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	18	1.38053
BraA01g000240.3C	1617	1368	139	9.18792
BraA01g000250.3C	720	471	2	0.38397
BraA01g000260.3C	2454	2205	455.1	18.6632
BraA01g000270.3C	1104	855	527.353	55.773
BraA01g000280.3C	339	91.3223	0	0
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	89	7.84388
BraA01g000320.3C	1035	786	326	37.5045
BraA01g000330.3C	327	80.5083	47.132	52.9376
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1347	507.51
BraA01g000360.3C	297	56.934	0	0
BraA01g000370.3C	426	177.001	32	16.3479
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	1504	47.1728
BraA01g000400.3C	345	96.9308	5	4.66441
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	179	21.3255
BraA01g000430.3C	3585	3336	229	6.20723
BraA01g000440.3C	510	261	7	2.42519
BraA01g000450.3C	9402	9153	366	3.61581
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	655.651	68.8585
BraA01g000480.3C	897	648	157	21.9085
BraA01g000490.3C	1152	903	39	3.9054
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	1	1.97443
BraA01g000530.3C	3666	3417	715.575	18.9365
BraA01g000540.3C	1416	1167	20	1.5497
BraA01g000550.3C	1722	1473	18	1.10499
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	252	15.5014
BraA01g000580.3C	1431	1182	1043.27	79.8118
BraA01g000590.3C	1713	1464	145	8.95603
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	9	2.03966
BraA01g000620.3C	477	228	34	13.4844
BraA01g000630.3C	687	438	2	0.412899
BraA01g000640.3C	873	624	151	21.8817
BraA01g000650.3C	810	561	4	0.644741
BraA01g000660.3C	1038	789	77	8.82474
BraA01g000670.3C	831	582	197.744	30.7234
BraA01g000680.3C	2286	2037	72	3.19617
BraA01g000690.3C	366	117.23	115	88.7049
BraA01g000700.3C	1533	1284	272	19.1554
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	618	49.2792
BraA01g000730.3C	963	714	493	62.4363
BraA01g000740.3C	864	615	39	5.73427
BraA01g000750.3C	540	291	457.388	142.128
BraA01g000760.3C	705	456	27	5.35411
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	150.587	15.7057
BraA01g000790.3C	882	633	167	23.8562
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
BraA01g000820.3C	939	690	0	0
BraA01g000830.3C	1623	1374	510.173	33.5752
BraA01g000840.3C	1590	1341	324	21.8476
BraA01g000850.3C	1557	1308	1066	73.695
BraA01g000860.3C	672	423	182	38.9063
BraA01g000870.3C	819	570	65	10.3116
BraA01g000880.3C	1044	795	364	41.4021
BraA01g000890.3C	1761	1512	708	42.3419
BraA01g000900.3C	411	162.005	1032	576.024
BraA01g000910.3C	276	44.1722	118	241.558
BraA01g000920.3C	276	44.1722	118	241.558
BraA01g000930.3C	510	261	0.5	0.173228
BraA01g000940.3C	510	261	0.5	0.173228
BraA01g000950.3C	1794	1545	248	14.5148
BraA01g000960.3C	525	276	0	0
BraA01g000970.3C	525	276	0	0
BraA01g000980.3C	1794	1545	248	14.5148
BraA01g000990.3C	885	636	217	30.8525
BraA01g001000.3C	1077	828	143	15.6169
BraA01g001010.3C	432	183	95	46.9418
BraA01g001020.3C	381	132.072	48	32.8639
BraA01g001030.3C	2094	1845	77	3.77383
BraA01g001040.3C	1242	993	103	9.37943
BraA01g001050.3C	1995	1746	0	0
BraA01g001060.3C	1017	768	13	1.53063
BraA01g001070.3C	729	480	0	0
BraA01g001080.3C	1074	825	39	4.27464
BraA01g001090.3C	1263	1014	237	21.1348
BraA01g001100.3C	690	441	88	18.044
BraA01g001110.3C	1554	1305	33	2.28661
BraA01g001120.3C	1398	1149	86	6.7681
BraA01g001130.3C	2049	1800	1472.13	73.954
BraA01g001140.3C	1146	897	61	6.1493
BraA01g001150.3C	2010	1761	2820	144.803
BraA01g001160.3C	1005	756	0	0
BraA01g001170.3C	1011	762	7	0.830676
BraA01g001180.3C	1848	1599	101	5.71165
BraA01g001190.3C	369	120.184	0	0
BraA01g001200.3C	849	600	28.198	4.24968
BraA01g001210.3C	918	669	0	0
BraA01g001220.3C	1410	1161	0	0
BraA01g001230.3C	1554	1305	0	0
