target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	2	0.250025
BraA01g000020.3C	1668	1419	89.2613	7.90314
BraA01g000030.3C	957	708	0	0
BraA01g000040.3C	1299	1050	252.712	30.2382
BraA01g000050.3C	774	525	19	4.54688
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	15	3.35929
BraA01g000080.3C	891	642	145	28.3761
BraA01g000090.3C	1707	1458	500.569	43.1346
BraA01g000100.3C	357	108.433	45.4317	52.6403
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	288	21.2719
BraA01g000180.3C	963	714	21	3.69522
BraA01g000190.3C	2436	2187	170	9.76605
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	6	0.639376
BraA01g000240.3C	1617	1368	303	27.8276
BraA01g000250.3C	720	471	4	1.06698
BraA01g000260.3C	2454	2205	395.775	22.5506
BraA01g000270.3C	1104	855	520.375	76.4661
BraA01g000280.3C	339	91.3223	5	6.8788
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	93	11.3882
BraA01g000320.3C	1035	786	216	34.5263
BraA01g000330.3C	327	80.5083	48	74.9065
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	816	427.167
BraA01g000360.3C	297	56.934	5	11.0336
BraA01g000370.3C	426	177.001	8	5.6785
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	971	42.3149
BraA01g000400.3C	345	96.9308	28	36.2924
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	72	11.9182
BraA01g000430.3C	3585	3336	112	4.21804
BraA01g000440.3C	510	261	4	1.92548
BraA01g000450.3C	9402	9153	260	3.56885
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	408.472	59.6044
BraA01g000480.3C	897	648	142	27.5317
BraA01g000490.3C	1152	903	30	4.174
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	3	8.22987
BraA01g000530.3C	3666	3417	615.265	22.6223
BraA01g000540.3C	1416	1167	18	1.93785
BraA01g000550.3C	1722	1473	7	0.597055
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	198	16.9226
BraA01g000580.3C	1431	1182	701.573	74.5718
BraA01g000590.3C	1713	1464	81	6.95125
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	0	0
BraA01g000620.3C	477	228	23	12.674
BraA01g000630.3C	687	438	0	0
BraA01g000640.3C	873	624	136	27.3825
BraA01g000650.3C	810	561	21	4.703
BraA01g000660.3C	1038	789	45	7.16563
BraA01g000670.3C	831	582	63	13.5999
