target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	2	0.259613
BraA01g000020.3C	1668	1419	67.4555	6.2015
BraA01g000030.3C	957	708	1	0.184259
BraA01g000040.3C	1299	1050	236.973	29.4423
BraA01g000050.3C	774	525	13	3.23032
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	30	6.97622
BraA01g000080.3C	891	642	91	18.4913
BraA01g000090.3C	1707	1458	216.618	19.382
BraA01g000100.3C	357	108.433	22.7158	27.3295
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	335	25.6923
BraA01g000180.3C	963	714	22	4.01963
BraA01g000190.3C	2436	2187	189	11.2739
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	14	1.54909
BraA01g000240.3C	1617	1368	103	9.8223
BraA01g000250.3C	720	471	3	0.830926
BraA01g000260.3C	2454	2205	416.695	24.6531
BraA01g000270.3C	1104	855	187.22	28.5659
BraA01g000280.3C	339	91.3223	0	0
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	55	6.99322
BraA01g000320.3C	1035	786	276	45.8087
BraA01g000330.3C	327	80.5083	69	111.807
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1106	601.182
BraA01g000360.3C	297	56.934	0	0
BraA01g000370.3C	426	177.001	23	16.9517
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	729	32.9871
BraA01g000400.3C	345	96.9308	1	1.34586
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	111	19.0785
BraA01g000430.3C	3585	3336	164	6.41327
BraA01g000440.3C	510	261	8	3.99863
BraA01g000450.3C	9402	9153	368	5.24501
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	444.225	67.3072
BraA01g000480.3C	897	648	145	29.1914
BraA01g000490.3C	1152	903	22	3.17831
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	1	2.84849
BraA01g000530.3C	3666	3417	804.781	30.7252
BraA01g000540.3C	1416	1167	7	0.782509
BraA01g000550.3C	1722	1473	1	0.0885644
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	78	6.92212
BraA01g000580.3C	1431	1182	482.854	53.2917
BraA01g000590.3C	1713	1464	74	6.59405
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	2	0.653912
BraA01g000620.3C	477	228	41	23.4591
BraA01g000630.3C	687	438	2	0.595687
BraA01g000640.3C	873	624	136.469	28.5305
BraA01g000650.3C	810	561	3	0.697622
BraA01g000660.3C	1038	789	52	8.59782
BraA01g000670.3C	831	582	48.8297	10.9452
BraA01g000680.3C	2286	2037	38	2.43363
BraA01g000690.3C	366	117.23	45	50.0767
BraA01g000700.3C	1533	1284	254	25.8066
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	675	77.652
BraA01g000730.3C	963	714	278	50.7935
BraA01g000740.3C	864	615	5	1.06061
BraA01g000750.3C	540	291	405.841	181.939
BraA01g000760.3C	705	456	16	4.57738
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	70.6314	10.6277
BraA01g000790.3C	882	633	32	6.5949
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
BraA01g000820.3C	939	690	0	0
BraA01g000830.3C	1623	1374	216	20.5083
BraA01g000840.3C	1590	1341	158	15.3706
BraA01g000850.3C	1557	1308	710	70.8129
BraA01g000860.3C	672	423	144	44.4103
BraA01g000870.3C	819	570	40	9.15476
BraA01g000880.3C	1044	795	329	53.9872
BraA01g000890.3C	1761	1512	95	8.1966
BraA01g000900.3C	411	162.005	1088	876.12
BraA01g000910.3C	276	44.1722	117.5	347.017
BraA01g000920.3C	276	44.1722	117.5	347.017
BraA01g000930.3C	510	261	2	0.999658
BraA01g000940.3C	510	261	2	0.999658
BraA01g000950.3C	1794	1545	238.5	20.1383
BraA01g000960.3C	525	276	0	0
BraA01g000970.3C	525	276	0	0
BraA01g000980.3C	1794	1545	238.5	20.1383
BraA01g000990.3C	885	636	254	52.1001
BraA01g001000.3C	1077	828	39	6.14464
BraA01g001010.3C	432	183	169	120.475
BraA01g001020.3C	381	132.072	28	27.6573
BraA01g001030.3C	2094	1845	41	2.89901
BraA01g001040.3C	1242	993	107	14.0571
BraA01g001050.3C	1995	1746	0	0
BraA01g001060.3C	1017	768	5	0.849319
BraA01g001070.3C	729	480	0	0
BraA01g001080.3C	1074	825	19	3.00443
BraA01g001090.3C	1263	1014	83	10.6783
BraA01g001100.3C	690	441	40	11.8327
BraA01g001110.3C	1554	1305	20	1.99932
BraA01g001120.3C	1398	1149	50	5.67691
BraA01g001130.3C	2049	1800	994.855	72.1023
BraA01g001140.3C	1146	897	46	6.69002
BraA01g001150.3C	2010	1761	904	66.9686
BraA01g001160.3C	1005	756	0	0
BraA01g001170.3C	1011	762	2	0.342402
BraA01g001180.3C	1848	1599	45	3.67135
BraA01g001190.3C	369	120.184	0	0
BraA01g001200.3C	849	600	43.642	9.48889
BraA01g001210.3C	918	669	9	1.755
BraA01g001220.3C	1410	1161	0	0
BraA01g001230.3C	1554	1305	0	0
BraA01g001240.3C	1638	1389	236.246	22.1883
BraA01g001250.3C	1269	1020	23	2.94164
BraA01g001260.3C	741	492	56	14.8486
BraA01g001270.3C	1125	876	40	5.95687
BraA01g001280.3C	1845	1596	103	8.41911
BraA01g001290.3C	1602	1353	110.094	10.6152
BraA01g001300.3C	1125	876	147	21.8915
BraA01g001310.3C	1218	969	7	0.942402
BraA01g001320.3C	1365	1116	12	1.40275
BraA01g001330.3C	1359	1110	114	13.3981
BraA01g001340.3C	687	438	40.4246	12.0402
BraA01g001350.3C	516	267	0	0
BraA01g001360.3C	981	732	51	9.0891
BraA01g001370.3C	1599	1350	36	3.47881
BraA01g001380.3C	1443	1194	168	18.3555
BraA01g001390.3C	432	183	0	0
BraA01g001400.3C	3078	2829	143	6.59424
BraA01g001410.3C	537	288	637	288.542
BraA01g001420.3C	1587	1338	252	24.5701
BraA01g001430.3C	1086	837	424	66.0849
BraA01g001440.3C	1131	882	27	3.99353
BraA01g001450.3C	426	177.001	0	0
BraA01g001460.3C	1212	963	44	5.96058
BraA01g001470.3C	897	648	0	0
BraA01g001480.3C	1719	1470	0	0
BraA01g001490.3C	1506	1257	1603	166.364
BraA01g001500.3C	897	648	114	22.9505
BraA01g001510.3C	1764	1515	8	0.688873
BraA01g001520.3C	1512	1263	0	0
BraA01g001530.3C	1560	1311	134.35	13.369
BraA01g001540.3C	1542	1293	13	1.31162
BraA01g001550.3C	519	270	60	28.9901
BraA01g001560.3C	264	38.2937	1	3.4067
BraA01g001570.3C	258	35.7089	0	0
BraA01g001580.3C	969	720	586	106.176
BraA01g001590.3C	987	738	226	39.9497
BraA01g001600.3C	231	26.552	0	0
BraA01g001610.3C	2286	2037	58	3.71449
BraA01g001620.3C	1125	876	45	6.70147
BraA01g001630.3C	1557	1308	646	64.4298
BraA01g001640.3C	588	339	40	15.393
BraA01g001650.3C	210	21.6077	0	0
BraA01g001660.3C	483	234	0	0
BraA01g001670.3C	1296	1047	246.924	30.7666
BraA01g001680.3C	249	32.2352	15	60.7047
BraA01g001690.3C	1065	816	6	0.95923
BraA01g001700.3C	1065	816	1	0.159872
BraA01g001710.3C	300	59.0212	0	0
BraA01g001720.3C	1311	1062	130	15.9691
BraA01g001730.3C	1485	1236	920	97.1027
BraA01g001740.3C	861	612	181	38.5824
BraA01g001750.3C	1473	1224	116	12.3634
BraA01g001760.3C	1056	807	21	3.39475
BraA01g001770.3C	1239	990	1	0.131773
BraA01g001780.3C	1146	897	0	0
BraA01g001790.3C	1227	978	14	1.86746
BraA01g001800.3C	1650	1401	35	3.25906
BraA01g001810.3C	1557	1308	259	25.8318
BraA01g001820.3C	2541	2292	151	8.59457
