target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	11	1.24728
BraA01g000020.3C	1668	1419	72.2722	5.80398
BraA01g000030.3C	957	708	0	0
BraA01g000040.3C	1299	1050	367.28	39.8607
BraA01g000050.3C	774	525	13	2.82177
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	24	4.87512
BraA01g000080.3C	891	642	119	21.1227
BraA01g000090.3C	1707	1458	247.225	19.3228
BraA01g000100.3C	357	108.433	7.57195	7.95765
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	1	1.56427
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	276	18.4902
BraA01g000180.3C	963	714	22	3.51125
BraA01g000190.3C	2436	2187	151	7.86801
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	2	0.193309
BraA01g000240.3C	1617	1368	62	5.16467
BraA01g000250.3C	720	471	2	0.483889
BraA01g000260.3C	2454	2205	460.338	23.7906
BraA01g000270.3C	1104	855	546.37	72.8211
BraA01g000280.3C	339	91.3223	2	2.49569
BraA01g000290.3C	1656	1407	1	0.0809921
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	69	7.6637
BraA01g000320.3C	1035	786	308.948	44.7919
BraA01g000330.3C	327	80.5083	41.1066	58.1846
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1195	567.406
BraA01g000360.3C	297	56.934	2	4.00309
BraA01g000370.3C	426	177.001	14	9.01342
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	633	25.0205
BraA01g000400.3C	345	96.9308	5	5.87821
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	157	23.5719
BraA01g000430.3C	3585	3336	274	9.35969
BraA01g000440.3C	510	261	4	1.74645
BraA01g000450.3C	9402	9153	270	3.36153
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	480.552	63.6025
BraA01g000480.3C	897	648	127	22.334
BraA01g000490.3C	1152	903	22	2.77634
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	2	4.97645
BraA01g000530.3C	3666	3417	781.109	26.0497
BraA01g000540.3C	1416	1167	7	0.68354
BraA01g000550.3C	1722	1473	8	0.618905
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	109	8.44979
BraA01g000580.3C	1431	1182	1056.85	101.89
BraA01g000590.3C	1713	1464	98	7.6282
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	2	0.571208
BraA01g000620.3C	477	228	30	14.9942
BraA01g000630.3C	687	438	1	0.260173
BraA01g000640.3C	873	624	67	12.2357
BraA01g000650.3C	810	561	1	0.20313
BraA01g000660.3C	1038	789	64	9.24357
BraA01g000670.3C	831	582	84	16.4472
BraA01g000680.3C	2286	2037	68	3.80413
BraA01g000690.3C	366	117.23	71	69.0171
BraA01g000700.3C	1533	1284	377	33.459
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	697	70.0417
BraA01g000730.3C	963	714	409	65.2773
