target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	2	0.229334
BraA01g000020.3C	1668	1419	89.9895	7.30827
BraA01g000030.3C	957	708	1	0.162769
BraA01g000040.3C	1299	1050	328.48	36.0517
BraA01g000050.3C	774	525	10	2.19506
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	21	4.31382
BraA01g000080.3C	891	642	123	22.0788
BraA01g000090.3C	1707	1458	467.459	36.948
BraA01g000100.3C	357	108.433	7.57195	8.04736
BraA01g000110.3C	567	318	2	0.724783
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	361	24.4573
BraA01g000180.3C	963	714	13	2.09822
BraA01g000190.3C	2436	2187	205	10.8022
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	4	0.390977
BraA01g000240.3C	1617	1368	27	2.27448
BraA01g000250.3C	720	471	0	0
BraA01g000260.3C	2454	2205	559.243	29.2279
BraA01g000270.3C	1104	855	424.483	57.2136
BraA01g000280.3C	339	91.3223	0	0
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	79	8.8733
BraA01g000320.3C	1035	786	359	52.6353
BraA01g000330.3C	327	80.5083	47.1688	67.518
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1203	577.643
BraA01g000360.3C	297	56.934	3	6.07233
BraA01g000370.3C	426	177.001	7	4.55751
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	408	16.3088
BraA01g000400.3C	345	96.9308	2	2.37779
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	128.736	19.5462
BraA01g000430.3C	3585	3336	252	8.70522
BraA01g000440.3C	510	261	5	2.20767
BraA01g000450.3C	9402	9153	283	3.5631
BraA01g000460.3C	1512	1263	0	0
