target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	1	0.116401
BraA01g000020.3C	1668	1419	106.35	8.76755
BraA01g000030.3C	957	708	0	0
BraA01g000040.3C	1299	1050	330.359	36.8061
BraA01g000050.3C	774	525	26	5.79346
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	31	6.46432
BraA01g000080.3C	891	642	98	17.8573
BraA01g000090.3C	1707	1458	220.568	17.6973
BraA01g000100.3C	357	108.433	37.8597	40.8453
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	383	26.3401
BraA01g000180.3C	963	714	25	4.09605
BraA01g000190.3C	2436	2187	219	11.7144
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	8	0.79378
BraA01g000240.3C	1617	1368	47	4.01916
BraA01g000250.3C	720	471	3	0.745116
BraA01g000260.3C	2454	2205	357.021	18.9412
BraA01g000270.3C	1104	855	551.571	75.4674
BraA01g000280.3C	339	91.3223	2	2.56199
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	71	8.09533
BraA01g000320.3C	1035	786	299	44.5013
BraA01g000330.3C	327	80.5083	61.2396	88.9847
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1284	625.86
BraA01g000360.3C	297	56.934	1	2.05472
BraA01g000370.3C	426	177.001	18	11.8965
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	842	34.1658
BraA01g000400.3C	345	96.9308	1	1.20687
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	137.778	21.2355
BraA01g000430.3C	3585	3336	162	5.68084
BraA01g000440.3C	510	261	20	8.96424
BraA01g000450.3C	9402	9153	370	4.72892
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	685.273	93.1073
BraA01g000480.3C	897	648	128	23.1078
BraA01g000490.3C	1152	903	33	4.27514
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	0	0
BraA01g000530.3C	3666	3417	632.252	21.6456
BraA01g000540.3C	1416	1167	14	1.4034
BraA01g000550.3C	1722	1473	4	0.317674
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	84	6.68476
BraA01g000580.3C	1431	1182	602	59.5803
BraA01g000590.3C	1713	1464	79	6.31262
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	3	0.879573
BraA01g000620.3C	477	228	19	9.74861
BraA01g000630.3C	687	438	0	0
BraA01g000640.3C	873	624	131	24.559
BraA01g000650.3C	810	561	2	0.417053
BraA01g000660.3C	1038	789	77	11.4166
BraA01g000670.3C	831	582	24	4.82405
BraA01g000680.3C	2286	2037	100	5.74292
BraA01g000690.3C	366	117.23	59	58.8758
BraA01g000700.3C	1533	1284	263	23.9615
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	693	71.4898
BraA01g000730.3C	963	714	350	57.3447
BraA01g000740.3C	864	615	4	0.760867
BraA01g000750.3C	540	291	343	137.887
BraA01g000760.3C	705	456	36	9.23552
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	130	17.5407
BraA01g000790.3C	882	633	42	7.76192
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
BraA01g000820.3C	939	690	0	0
BraA01g000830.3C	1623	1374	203	17.2836
BraA01g000840.3C	1590	1341	167	14.5684
BraA01g000850.3C	1557	1308	882	78.8832
BraA01g000860.3C	672	423	178	49.227
BraA01g000870.3C	819	570	46	9.44075
BraA01g000880.3C	1044	795	207	30.4598
BraA01g000890.3C	1761	1512	108	8.35595
BraA01g000900.3C	411	162.005	804	580.567
BraA01g000910.3C	276	44.1722	116.5	308.532
BraA01g000920.3C	276	44.1722	116.5	308.532
BraA01g000930.3C	510	261	1.5	0.672318
BraA01g000940.3C	510	261	1.5	0.672318
BraA01g000950.3C	1794	1545	182.5	13.8184
BraA01g000960.3C	525	276	0	0
BraA01g000970.3C	525	276	0	0
BraA01g000980.3C	1794	1545	182.5	13.8184
BraA01g000990.3C	885	636	91	16.7382
BraA01g001000.3C	1077	828	59	8.33576
BraA01g001010.3C	432	183	84	53.6971
BraA01g001020.3C	381	132.072	22	19.4866
BraA01g001030.3C	2094	1845	57	3.61412
BraA01g001040.3C	1242	993	145	17.0821
BraA01g001050.3C	1995	1746	0	0
BraA01g001060.3C	1017	768	14	2.13251
BraA01g001070.3C	729	480	0	0
BraA01g001080.3C	1074	825	24	3.40315
BraA01g001090.3C	1263	1014	172	19.8433
BraA01g001100.3C	690	441	90	23.8741
BraA01g001110.3C	1554	1305	19	1.7032
BraA01g001120.3C	1398	1149	48	4.88703
BraA01g001130.3C	2049	1800	932.968	60.6342
BraA01g001140.3C	1146	897	50	6.52081
BraA01g001150.3C	2010	1761	1392	92.4706
BraA01g001160.3C	1005	756	2	0.30948
BraA01g001170.3C	1011	762	7	1.07465
BraA01g001180.3C	1848	1599	96	7.02339
BraA01g001190.3C	369	120.184	0	0
BraA01g001200.3C	849	600	49.9104	9.73114
BraA01g001210.3C	918	669	9	1.57377
BraA01g001220.3C	1410	1161	2	0.201522
BraA01g001230.3C	1554	1305	0	0
BraA01g001240.3C	1638	1389	253.046	21.3118
BraA01g001250.3C	1269	1020	30	3.44068
BraA01g001260.3C	741	492	37	8.79752
BraA01g001270.3C	1125	876	26	3.47211
BraA01g001280.3C	1845	1596	112	8.20935
BraA01g001290.3C	1602	1353	139	12.0182
BraA01g001300.3C	1125	876	19	2.53731
BraA01g001310.3C	1218	969	6	0.724355
BraA01g001320.3C	1365	1116	16	1.67718
BraA01g001330.3C	1359	1110	165	17.3894
BraA01g001340.3C	687	438	85.4069	22.8109
BraA01g001350.3C	516	267	2	0.876279
BraA01g001360.3C	981	732	76	12.1458
BraA01g001370.3C	1599	1350	64	5.54587
BraA01g001380.3C	1443	1194	144	14.1085
BraA01g001390.3C	432	183	0	0
BraA01g001400.3C	3078	2829	147	6.07866
BraA01g001410.3C	537	288	488	198.222
BraA01g001420.3C	1587	1338	326	28.5026
BraA01g001430.3C	1086	837	366	51.154
BraA01g001440.3C	1131	882	46	6.10117
BraA01g001450.3C	426	177.001	0	0
BraA01g001460.3C	1212	963	28	3.40138
BraA01g001470.3C	897	648	0	0
BraA01g001480.3C	1719	1470	0	0
BraA01g001490.3C	1506	1257	2682	249.602
BraA01g001500.3C	897	648	199	35.9254
BraA01g001510.3C	1764	1515	10	0.772167
BraA01g001520.3C	1512	1263	3	0.27787
BraA01g001530.3C	1560	1311	94	8.38782
BraA01g001540.3C	1542	1293	2	0.180949
BraA01g001550.3C	519	270	125	54.1589
BraA01g001560.3C	264	38.2937	0	0
BraA01g001570.3C	258	35.7089	0	0
BraA01g001580.3C	969	720	680	110.484
BraA01g001590.3C	987	738	248	39.3115
BraA01g001600.3C	231	26.552	0	0
BraA01g001610.3C	2286	2037	94	5.39834
BraA01g001620.3C	1125	876	14	1.8696
BraA01g001630.3C	1557	1308	856	76.5579
BraA01g001640.3C	588	339	26	8.97217
BraA01g001650.3C	210	21.6077	0	0
BraA01g001660.3C	483	234	0	0
BraA01g001670.3C	1296	1047	318.644	35.6027
BraA01g001680.3C	249	32.2352	20	72.581
BraA01g001690.3C	1065	816	7	1.00353
BraA01g001700.3C	1065	816	6	0.860171
BraA01g001710.3C	300	59.0212	0	0
BraA01g001720.3C	1311	1062	147	16.1926
BraA01g001730.3C	1485	1236	1583	149.826
BraA01g001740.3C	861	612	181	34.598
BraA01g001750.3C	1473	1224	253	24.1804
BraA01g001760.3C	1056	807	32	4.63874
BraA01g001770.3C	1239	990	0	0
BraA01g001780.3C	1146	897	0	0
BraA01g001790.3C	1227	978	65	7.77496
