target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	4	0.469345
BraA01g000020.3C	1668	1419	55.9235	4.64741
BraA01g000030.3C	957	708	0	0
BraA01g000040.3C	1299	1050	261.739	29.3953
BraA01g000050.3C	774	525	16	3.59384
BraA01g000060.3C	3327	3078	1	0.0383116
BraA01g000070.3C	810	561	38	7.98766
BraA01g000080.3C	891	642	101	18.5518
BraA01g000090.3C	1707	1458	225.844	18.2663
BraA01g000100.3C	357	108.433	7.57195	8.23467
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	1	0.0852661
BraA01g000170.3C	1950	1701	344	23.848
BraA01g000180.3C	963	714	15	2.47737
BraA01g000190.3C	2436	2187	187	10.083
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	4	0.400078
BraA01g000240.3C	1617	1368	29	2.49983
BraA01g000250.3C	720	471	3	0.751102
BraA01g000260.3C	2454	2205	514.453	27.5128
BraA01g000270.3C	1104	855	527.197	72.7118
BraA01g000280.3C	339	91.3223	1	1.29128
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	2	1.17336
BraA01g000310.3C	1275	1026	67.5695	7.76608
BraA01g000320.3C	1035	786	339	50.8599
BraA01g000330.3C	327	80.5083	52	76.166
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1210	594.529
BraA01g000360.3C	297	56.934	2	4.14245
BraA01g000370.3C	426	177.001	14	9.32719
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	579	23.6828
BraA01g000400.3C	345	96.9308	2	2.43314
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	169	26.2569
BraA01g000430.3C	3585	3336	226	7.98879
BraA01g000440.3C	510	261	2	0.903625
BraA01g000450.3C	9402	9153	266	3.42702
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	564.925	77.3724
BraA01g000480.3C	897	648	101	18.38
BraA01g000490.3C	1152	903	31	4.0483
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	0	0
BraA01g000530.3C	3666	3417	879.818	30.3631
BraA01g000540.3C	1416	1167	11	1.11153
