target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	5	0.589365
BraA01g000020.3C	1668	1419	74.3767	6.2092
BraA01g000030.3C	957	708	0	0
BraA01g000040.3C	1299	1050	237.512	26.7964
BraA01g000050.3C	774	525	12	2.70771
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	65	13.7256
BraA01g000080.3C	891	642	125	23.0651
BraA01g000090.3C	1707	1458	250.034	20.3153
BraA01g000100.3C	357	108.433	45.4317	49.634
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	263	18.3161
BraA01g000180.3C	963	714	16	2.65462
BraA01g000190.3C	2436	2187	348	18.85
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	1	0.100477
BraA01g000240.3C	1617	1368	38	3.29062
BraA01g000250.3C	720	471	1	0.251513
BraA01g000260.3C	2454	2205	480.294	25.8035
BraA01g000270.3C	1104	855	233	32.2827
BraA01g000280.3C	339	91.3223	0	0
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	4	2.35746
BraA01g000310.3C	1275	1026	102	11.777
BraA01g000320.3C	1035	786	350	52.7504
BraA01g000330.3C	327	80.5083	69.1916	101.811
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1052	519.26
BraA01g000360.3C	297	56.934	2	4.1614
BraA01g000370.3C	426	177.001	9	6.02348
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	366	15.0389
BraA01g000400.3C	345	96.9308	5	6.11067
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	146	22.7872
BraA01g000430.3C	3585	3336	209	7.42166
BraA01g000440.3C	510	261	5	2.2694
BraA01g000450.3C	9402	9153	265	3.42975
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	562.803	77.4343
BraA01g000480.3C	897	648	114	20.8406
BraA01g000490.3C	1152	903	35	4.59157
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	0	0
BraA01g000530.3C	3666	3417	804.311	27.8843
BraA01g000540.3C	1416	1167	9	0.913592
BraA01g000550.3C	1722	1473	6	0.482535
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	73	5.88283
BraA01g000580.3C	1431	1182	778.841	78.057
BraA01g000590.3C	1713	1464	82	6.63519
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	2	0.593797
BraA01g000620.3C	477	228	44	22.8612
BraA01g000630.3C	687	438	0	0
BraA01g000640.3C	873	624	63	11.9601
BraA01g000650.3C	810	561	9	1.90047
