target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	1	0.119554
BraA01g000020.3C	1668	1419	56.2371	4.76181
BraA01g000030.3C	957	708	3	0.509118
BraA01g000040.3C	1299	1050	274.532	31.4148
BraA01g000050.3C	774	525	15	3.43291
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	76	16.2773
BraA01g000080.3C	891	642	113	21.1482
BraA01g000090.3C	1707	1458	356.013	29.3386
BraA01g000100.3C	357	108.433	15.1439	16.7806
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	345	24.3694
BraA01g000180.3C	963	714	22	3.70216
BraA01g000190.3C	2436	2187	218	11.9767
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	5	0.50955
BraA01g000240.3C	1617	1368	80	7.02643
BraA01g000250.3C	720	471	3	0.765299
BraA01g000260.3C	2454	2205	437.953	23.8644
BraA01g000270.3C	1104	855	240.164	33.7499
BraA01g000280.3C	339	91.3223	1	1.31569
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	1	0.597771
BraA01g000310.3C	1275	1026	95	11.1252
BraA01g000320.3C	1035	786	295	45.0952
BraA01g000330.3C	327	80.5083	59.4902	88.7842
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	872	436.552
BraA01g000360.3C	297	56.934	1	2.11037
BraA01g000370.3C	426	177.001	11	7.46703
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	340	14.1698
BraA01g000400.3C	345	96.9308	7	8.67695
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	140	22.1624
BraA01g000430.3C	3585	3336	224	8.06776
BraA01g000440.3C	510	261	5	2.30176
BraA01g000450.3C	9402	9153	300	3.93812
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	585.231	81.6686
BraA01g000480.3C	897	648	130	24.1046
BraA01g000490.3C	1152	903	19	2.52811
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	0	0
BraA01g000530.3C	3666	3417	764.472	26.8811
BraA01g000540.3C	1416	1167	14	1.44141
BraA01g000550.3C	1722	1473	1	0.0815696
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	98	8.01013
BraA01g000580.3C	1431	1182	666.679	67.7688
BraA01g000590.3C	1713	1464	95	7.79675
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	1	0.301133
BraA01g000620.3C	477	228	19	10.0127
BraA01g000630.3C	687	438	0	0
BraA01g000640.3C	873	624	99	19.0626
BraA01g000650.3C	810	561	2	0.428349
BraA01g000660.3C	1038	789	61	9.28932
BraA01g000670.3C	831	582	51	10.5288
BraA01g000680.3C	2286	2037	54	3.18518
BraA01g000690.3C	366	117.23	96	98.3928
BraA01g000700.3C	1533	1284	499	46.6946
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	528	55.9438
BraA01g000730.3C	963	714	347	58.3932
BraA01g000740.3C	864	615	20	3.90738
BraA01g000750.3C	540	291	344.831	142.378
BraA01g000760.3C	705	456	23	6.0603
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	77	10.6709
BraA01g000790.3C	882	633	33	6.26385
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
BraA01g000820.3C	939	690	0	0
BraA01g000830.3C	1623	1374	208.775	18.2567
BraA01g000840.3C	1590	1341	161	14.4254
BraA01g000850.3C	1557	1308	688	63.1992
BraA01g000860.3C	672	423	142	40.3347
BraA01g000870.3C	819	570	50	10.5396
BraA01g000880.3C	1044	795	179	27.0531
BraA01g000890.3C	1761	1512	49	3.89381
BraA01g000900.3C	411	162.005	1012	750.558
BraA01g000910.3C	276	44.1722	133	361.771
BraA01g000920.3C	276	44.1722	133	361.771
BraA01g000930.3C	510	261	1.5	0.690529
BraA01g000940.3C	510	261	1.5	0.690529
BraA01g000950.3C	1794	1545	274	21.3085
BraA01g000960.3C	525	276	0	0
BraA01g000970.3C	525	276	0	0
BraA01g000980.3C	1794	1545	274	21.3085
BraA01g000990.3C	885	636	236.835	44.7424
BraA01g001000.3C	1077	828	43	6.23978
BraA01g001010.3C	432	183	251	164.798
BraA01g001020.3C	381	132.072	57	51.8556
BraA01g001030.3C	2094	1845	33	2.14906
BraA01g001040.3C	1242	993	120.773	14.6134
BraA01g001050.3C	1995	1746	0	0
BraA01g001060.3C	1017	768	3	0.469344
BraA01g001070.3C	729	480	0	0
BraA01g001080.3C	1074	825	30	4.36916
BraA01g001090.3C	1263	1014	109	12.9157
BraA01g001100.3C	690	441	48	13.0778
BraA01g001110.3C	1554	1305	13	1.19692
BraA01g001120.3C	1398	1149	65	6.79711
BraA01g001130.3C	2049	1800	1333.98	89.0449
BraA01g001140.3C	1146	897	78	10.448
BraA01g001150.3C	2010	1761	1047	71.4362
BraA01g001160.3C	1005	756	0	0
BraA01g001170.3C	1011	762	0	0
BraA01g001180.3C	1848	1599	50	3.7571
BraA01g001190.3C	369	120.184	0	0
BraA01g001200.3C	849	600	59.6243	11.94
BraA01g001210.3C	918	669	6	1.0776
BraA01g001220.3C	1410	1161	0	0
BraA01g001230.3C	1554	1305	0	0
BraA01g001240.3C	1638	1389	159.898	13.8316
BraA01g001250.3C	1269	1020	21	2.47372
BraA01g001260.3C	741	492	53	12.9432
BraA01g001270.3C	1125	876	38	5.21207
BraA01g001280.3C	1845	1596	123	9.25983
BraA01g001290.3C	1602	1353	92	8.16998
BraA01g001300.3C	1125	876	156	21.3969
BraA01g001310.3C	1218	969	11	1.36395
BraA01g001320.3C	1365	1116	39	4.19886
BraA01g001330.3C	1359	1110	180	19.4841
BraA01g001340.3C	687	438	49.7349	13.6433
BraA01g001350.3C	516	267	0	0
BraA01g001360.3C	981	732	81	13.2955
BraA01g001370.3C	1599	1350	40	3.56006
BraA01g001380.3C	1443	1194	184	18.5159
BraA01g001390.3C	432	183	0	0
BraA01g001400.3C	3078	2829	191	8.11206
BraA01g001410.3C	537	288	353	147.27
BraA01g001420.3C	1587	1338	284	25.5031
BraA01g001430.3C	1086	837	357	51.2476
BraA01g001440.3C	1131	882	30	4.0868
BraA01g001450.3C	426	177.001	0	0
BraA01g001460.3C	1212	963	51	6.36319
BraA01g001470.3C	897	648	0	0
BraA01g001480.3C	1719	1470	0	0
BraA01g001490.3C	1506	1257	1247	119.196
BraA01g001500.3C	897	648	141	26.1442
BraA01g001510.3C	1764	1515	11	0.87239
BraA01g001520.3C	1512	1263	0	0
BraA01g001530.3C	1560	1311	118	10.8146
BraA01g001540.3C	1542	1293	9	0.836325
BraA01g001550.3C	519	270	35	15.5753
BraA01g001560.3C	264	38.2937	0	0
BraA01g001570.3C	258	35.7089	0	0
BraA01g001580.3C	969	720	487	81.2695
BraA01g001590.3C	987	738	284	46.2373
BraA01g001600.3C	231	26.552	0	0
BraA01g001610.3C	2286	2037	77	4.54183
BraA01g001620.3C	1125	876	47	6.44651
BraA01g001630.3C	1557	1308	694	63.7504
BraA01g001640.3C	588	339	61	21.6203
BraA01g001650.3C	210	21.6077	0	0
BraA01g001660.3C	483	234	0	0
BraA01g001670.3C	1296	1047	203.489	23.3521
BraA01g001680.3C	249	32.2352	16	59.6376
BraA01g001690.3C	1065	816	2	0.29449
BraA01g001700.3C	1065	816	1	0.147245
BraA01g001710.3C	300	59.0212	0	0
BraA01g001720.3C	1311	1062	123	13.9159
BraA01g001730.3C	1485	1236	1007	97.8908
BraA01g001740.3C	861	612	152	29.8417
BraA01g001750.3C	1473	1224	316	31.0196
BraA01g001760.3C	1056	807	17	2.53108
BraA01g001770.3C	1239	990	0	0
BraA01g001780.3C	1146	897	1	0.133949
BraA01g001790.3C	1227	978	41	5.03705
BraA01g001800.3C	1650	1401	19	1.62947
BraA01g001810.3C	1557	1308	302	27.7415
BraA01g001820.3C	2541	2292	112	5.8713
BraA01g001830.3C	1161	912	92	12.1206
BraA01g001840.3C	972	723	0	0
BraA01g001850.3C	1464	1215	186	18.3936
BraA01g001860.3C	774	525	10	2.28861
BraA01g001870.3C	1602	1353	1.0013	0.0889197
BraA01g001880.3C	2058	1809	47	3.12169
BraA01g001890.3C	978	729	85	14.0095
BraA01g001900.3C	1002	753	0	0
BraA01g001910.3C	759	510	81	19.083
BraA01g001920.3C	1278	1029	48	5.60476
BraA01g001930.3C	462	213	1	0.564094
BraA01g001940.3C	717	468	0	0
BraA01g001950.3C	528	279	3.74486	1.61273
BraA01g001960.3C	1347	1098	90	9.84852
BraA01g001970.3C	2004	1755	13	0.890015
BraA01g001980.3C	2928	2679	404	18.1192
BraA01g001990.3C	996	747	9	1.44761
BraA01g002000.3C	1092	843	455	64.8507
BraA01g002010.3C	558	309	42.3079	16.4511
BraA01g002020.3C	1461	1212	15	1.48703
BraA01g002030.3C	912	663	188	34.0702
BraA01g002040.3C	1386	1137	0	0
BraA01g002050.3C	294	54.9123	0	0
BraA01g002060.3C	1932	1683	90	6.42524
BraA01g002070.3C	273	42.6101	0	0
BraA01g002080.3C	654	405	64.3751	19.0983
BraA01g002090.3C	942	693	52	9.01573
BraA01g002100.3C	627	378	1	0.317862
BraA01g002110.3C	1374	1125	29	3.09725
BraA01g002120.3C	1209	960	0	0
BraA01g002130.3C	783	534	48	10.8002
BraA01g002140.3C	738	489	24	5.89703
BraA01g002150.3C	519	270	33	14.6852
BraA01g002160.3C	2295	2046	2508	147.283
BraA01g002170.3C	873	624	0	0
BraA01g002180.3C	672	423	1	0.284047
BraA01g002190.3C	948	699	9	1.54702
BraA01g002200.3C	873	624	0	0
BraA01g002210.3C	1800	1551	74	5.73259
BraA01g002220.3C	240	29.2001	9	37.033
BraA01g002230.3C	2148	1899	24.0377	1.52089
BraA01g002240.3C	1122	873	48	6.60629
BraA01g002250.3C	3759	3510	2225	76.1647
BraA01g002260.3C	369	120.184	0	0
BraA01g002270.3C	375	126.116	2	1.90541
BraA01g002280.3C	1113	864	83	11.5424
BraA01g002290.3C	1443	1194	7.099	0.714371
BraA01g002300.3C	2496	2247	62.227	3.32741
BraA01g002310.3C	1269	1020	49	5.77201
