target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	1	0.114185
BraA01g000020.3C	1668	1419	108.56	8.77934
BraA01g000030.3C	957	708	5	0.810421
BraA01g000040.3C	1299	1050	306.035	33.4469
BraA01g000050.3C	774	525	11	2.4044
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	22	4.50022
BraA01g000080.3C	891	642	126	22.5221
BraA01g000090.3C	1707	1458	378.553	29.795
BraA01g000100.3C	357	108.433	45.4317	48.081
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	278	18.7549
BraA01g000180.3C	963	714	22	3.53589
BraA01g000190.3C	2436	2187	188	9.86469
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	7	0.681331
BraA01g000240.3C	1617	1368	49	4.1104
BraA01g000250.3C	720	471	4	0.974571
BraA01g000260.3C	2454	2205	418.522	21.7813
BraA01g000270.3C	1104	855	718.187	96.393
BraA01g000280.3C	339	91.3223	1	1.2566
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	72	8.05303
BraA01g000320.3C	1035	786	301	43.9459
BraA01g000330.3C	327	80.5083	45.2039	64.4332
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1479	707.182
BraA01g000360.3C	297	56.934	3	6.04678
BraA01g000370.3C	426	177.001	31	20.0983
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	731	29.0969
BraA01g000400.3C	345	96.9308	1	1.18389
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	113	17.0848
BraA01g000430.3C	3585	3336	235	8.08381
BraA01g000440.3C	510	261	8	3.51742
BraA01g000450.3C	9402	9153	369	4.62634
BraA01g000460.3C	1512	1263	1	0.0908596
BraA01g000470.3C	1110	861	574.174	76.527
BraA01g000480.3C	897	648	87	15.407
BraA01g000490.3C	1152	903	37	4.70206
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	0	0
BraA01g000530.3C	3666	3417	714.553	23.9974
BraA01g000540.3C	1416	1167	9	0.885005
BraA01g000550.3C	1722	1473	6.06174	0.472246
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	91.9383	7.17717
BraA01g000580.3C	1431	1182	843.163	81.8593
BraA01g000590.3C	1713	1464	78	6.11403
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	1	0.287608
