target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	2	0.193719
BraA01g000020.3C	1668	1419	108.411	7.43707
BraA01g000030.3C	957	708	0	0
BraA01g000040.3C	1299	1050	285.999	26.5146
BraA01g000050.3C	774	525	20	3.70834
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	51	8.84946
BraA01g000080.3C	891	642	139	21.076
BraA01g000090.3C	1707	1458	198.884	13.2786
BraA01g000100.3C	357	108.433	53.0036	47.5834
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	358	20.4875
BraA01g000180.3C	963	714	10	1.36336
BraA01g000190.3C	2436	2187	72	3.20474
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	3	0.247695
BraA01g000240.3C	1617	1368	71	5.05221
BraA01g000250.3C	720	471	6	1.24005
BraA01g000260.3C	2454	2205	409.533	18.0796
BraA01g000270.3C	1104	855	80.1125	9.12102
BraA01g000280.3C	339	91.3223	0	0
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	5	2.42149
BraA01g000310.3C	1275	1026	80	7.59018
BraA01g000320.3C	1035	786	309	38.2688
BraA01g000330.3C	327	80.5083	74.1659	89.6753
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1254	508.623
BraA01g000360.3C	297	56.934	4	6.83909
BraA01g000370.3C	426	177.001	7	3.84974
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	963	32.5155
BraA01g000400.3C	345	96.9308	2	2.00853
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	79	10.132
BraA01g000430.3C	3585	3336	168	4.90222
BraA01g000440.3C	510	261	3	1.1189
BraA01g000450.3C	9402	9153	247	2.6269
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	713.339	80.6496
BraA01g000480.3C	897	648	133	19.9796
BraA01g000490.3C	1152	903	31	3.34182
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	2	4.25101
BraA01g000530.3C	3666	3417	561.954	16.009
BraA01g000540.3C	1416	1167	12	1.00097
BraA01g000550.3C	1722	1473	4	0.264342
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	90	5.95984
BraA01g000580.3C	1431	1182	1276.71	105.144
BraA01g000590.3C	1713	1464	84	5.58531
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	1	0.24397
BraA01g000620.3C	477	228	55	23.4821
BraA01g000630.3C	687	438	0	0
BraA01g000640.3C	873	624	90	14.04
BraA01g000650.3C	810	561	71	12.3198
BraA01g000660.3C	1038	789	19	2.34415
BraA01g000670.3C	831	582	167.884	28.08
BraA01g000680.3C	2286	2037	78	3.72746
BraA01g000690.3C	366	117.23	56	46.5006
BraA01g000700.3C	1533	1284	286	21.6826
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	748	64.2093
BraA01g000730.3C	963	714	403	54.9435
BraA01g000740.3C	864	615	50.6667	8.01968
BraA01g000750.3C	540	291	636.606	212.954
BraA01g000760.3C	705	456	25	5.33684
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	125.293	14.0675
BraA01g000790.3C	882	633	38.3737	5.90118
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
BraA01g000820.3C	939	690	0	0
BraA01g000830.3C	1623	1374	340.264	24.1068
BraA01g000840.3C	1590	1341	207	15.0263
BraA01g000850.3C	1557	1308	722	53.7327
BraA01g000860.3C	672	423	122	28.0756
BraA01g000870.3C	819	570	33	5.63571
BraA01g000880.3C	1044	795	415	50.8148
BraA01g000890.3C	1761	1512	148	9.52839
BraA01g000900.3C	411	162.005	843	506.535
BraA01g000910.3C	276	44.1722	193	425.322
BraA01g000920.3C	276	44.1722	193	425.322
BraA01g000930.3C	510	261	1.5	0.559449
BraA01g000940.3C	510	261	1.5	0.559449
BraA01g000950.3C	1794	1545	204.5	12.8847
BraA01g000960.3C	525	276	0	0
BraA01g000970.3C	525	276	0	0
BraA01g000980.3C	1794	1545	204.5	12.8847
BraA01g000990.3C	885	636	122	18.6729
BraA01g001000.3C	1077	828	38	4.46748
BraA01g001010.3C	432	183	51	27.1286
BraA01g001020.3C	381	132.072	4	2.94822
BraA01g001030.3C	2094	1845	25	1.31902
BraA01g001040.3C	1242	993	117	11.4695
BraA01g001050.3C	1995	1746	2	0.111505
BraA01g001060.3C	1017	768	6	0.7605
BraA01g001070.3C	729	480	0	0
BraA01g001080.3C	1074	825	20	2.35986
BraA01g001090.3C	1263	1014	143	13.728
BraA01g001100.3C	690	441	90	19.8661
BraA01g001110.3C	1554	1305	36	2.68535
BraA01g001120.3C	1398	1149	63	5.3374
BraA01g001130.3C	2049	1800	1704.86	92.199
BraA01g001140.3C	1146	897	42	4.55792
BraA01g001150.3C	2010	1761	2166	119.732
BraA01g001160.3C	1005	756	0	0
BraA01g001170.3C	1011	762	5	0.63874
BraA01g001180.3C	1848	1599	98	5.96605
BraA01g001190.3C	369	120.184	0	0
BraA01g001200.3C	849	600	33.8755	5.49596
BraA01g001210.3C	918	669	0	0
BraA01g001220.3C	1410	1161	1	0.083845
BraA01g001230.3C	1554	1305	0	0
BraA01g001240.3C	1638	1389	69.7721	4.88977
BraA01g001250.3C	1269	1020	26	2.48132
BraA01g001260.3C	741	492	47	9.29913
BraA01g001270.3C	1125	876	49	5.44504
BraA01g001280.3C	1845	1596	98	5.97727
BraA01g001290.3C	1602	1353	150.875	10.855
BraA01g001300.3C	1125	876	126	14.0015
BraA01g001310.3C	1218	969	5	0.502291
BraA01g001320.3C	1365	1116	11	0.959484
BraA01g001330.3C	1359	1110	42	3.68329
BraA01g001340.3C	687	438	43.2691	9.61641
BraA01g001350.3C	516	267	0	0
BraA01g001360.3C	981	732	166	22.0753
BraA01g001370.3C	1599	1350	57	4.11008
BraA01g001380.3C	1443	1194	199	16.224
BraA01g001390.3C	432	183	0	0
BraA01g001400.3C	3078	2829	121	4.16353
BraA01g001410.3C	537	288	615	207.87
BraA01g001420.3C	1587	1338	330	24.0086
BraA01g001430.3C	1086	837	480	55.8245
BraA01g001440.3C	1131	882	48	5.29763
BraA01g001450.3C	426	177.001	0	0
BraA01g001460.3C	1212	963	36	3.63903
BraA01g001470.3C	897	648	0	0
BraA01g001480.3C	1719	1470	0	0
BraA01g001490.3C	1506	1257	1574	121.893
BraA01g001500.3C	897	648	95	14.2711
BraA01g001510.3C	1764	1515	19	1.22082
BraA01g001520.3C	1512	1263	0	0
BraA01g001530.3C	1560	1311	118	8.76171
BraA01g001540.3C	1542	1293	6	0.451712
BraA01g001550.3C	519	270	48	17.3056
BraA01g001560.3C	264	38.2937	0	0
BraA01g001570.3C	258	35.7089	0	0
BraA01g001580.3C	969	720	591	79.9032
BraA01g001590.3C	987	738	352	46.4297
BraA01g001600.3C	231	26.552	0	0
BraA01g001610.3C	2286	2037	47	2.24603
BraA01g001620.3C	1125	876	32	3.55595
BraA01g001630.3C	1557	1308	686	51.0535
BraA01g001640.3C	588	339	132	37.9039
BraA01g001650.3C	210	21.6077	0	0
BraA01g001660.3C	483	234	0	0
BraA01g001670.3C	1296	1047	175	16.2705
BraA01g001680.3C	249	32.2352	23	69.4555
BraA01g001690.3C	1065	816	0	0
BraA01g001700.3C	1065	816	2	0.238588
BraA01g001710.3C	300	59.0212	0	0
BraA01g001720.3C	1311	1062	128	11.7326
BraA01g001730.3C	1485	1236	1576	124.122
BraA01g001740.3C	861	612	297	47.2405
BraA01g001750.3C	1473	1224	240	19.0871
BraA01g001760.3C	1056	807	43	5.18686
BraA01g001770.3C	1239	990	0	0
BraA01g001780.3C	1146	897	0	0
BraA01g001790.3C	1227	978	17	1.69207
BraA01g001800.3C	1650	1401	40	2.77927
BraA01g001810.3C	1557	1308	454	33.7876
BraA01g001820.3C	2541	2292	124	5.26643
BraA01g001830.3C	1161	912	79	8.43221
BraA01g001840.3C	972	723	0	0
BraA01g001850.3C	1464	1215	187	14.9822
BraA01g001860.3C	774	525	7	1.29792
BraA01g001870.3C	1602	1353	7.00735	0.504157
BraA01g001880.3C	2058	1809	43	2.31387
BraA01g001890.3C	978	729	96	12.819
BraA01g001900.3C	1002	753	0	0
BraA01g001910.3C	759	510	86	16.4149
BraA01g001920.3C	1278	1029	40	3.78402
BraA01g001930.3C	462	213	1	0.457014
BraA01g001940.3C	717	468	0	0
BraA01g001950.3C	528	279	4	1.39561
BraA01g001960.3C	1347	1098	103	9.13154
BraA01g001970.3C	2004	1755	50	2.77333
BraA01g001980.3C	2928	2679	1023	37.1717
BraA01g001990.3C	996	747	8	1.04251
BraA01g002000.3C	1092	843	1139	131.524
BraA01g002010.3C	558	309	42.6394	13.4327
BraA01g002020.3C	1461	1212	19	1.52602
BraA01g002030.3C	912	663	180	26.4282
BraA01g002040.3C	1386	1137	2	0.17123
BraA01g002050.3C	294	54.9123	0	0
BraA01g002060.3C	1932	1683	75	4.33797
BraA01g002070.3C	273	42.6101	0	0
BraA01g002080.3C	654	405	45	10.816
BraA01g002090.3C	942	693	58	8.14712
