target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	5	0.465542
BraA01g000020.3C	1668	1419	80.1789	5.28729
BraA01g000030.3C	957	708	0	0
BraA01g000040.3C	1299	1050	380.074	33.8715
BraA01g000050.3C	774	525	28	4.99062
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	65	10.8419
BraA01g000080.3C	891	642	170	24.7782
BraA01g000090.3C	1707	1458	345.309	22.1618
BraA01g000100.3C	357	108.433	53.0036	45.7405
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	540	29.706
BraA01g000180.3C	963	714	36	4.71802
BraA01g000190.3C	2436	2187	223	9.54139
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	6	0.476204
BraA01g000240.3C	1617	1368	82	5.60897
BraA01g000250.3C	720	471	4	0.794684
BraA01g000260.3C	2454	2205	613.585	26.0388
BraA01g000270.3C	1104	855	779.978	85.3634
BraA01g000280.3C	339	91.3223	6	6.14795
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	2	0.931085
BraA01g000310.3C	1275	1026	97	8.84667
BraA01g000320.3C	1035	786	419	49.8823
BraA01g000330.3C	327	80.5083	92.6833	107.725
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1465	571.192
BraA01g000360.3C	297	56.934	6	9.86133
BraA01g000370.3C	426	177.001	8	4.22931
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	597	19.3769
BraA01g000400.3C	345	96.9308	2	1.93074
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	163	20.0956
BraA01g000430.3C	3585	3336	248	6.95634
BraA01g000440.3C	510	261	4	1.43408
BraA01g000450.3C	9402	9153	328	3.35325
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	646.261	70.2361
BraA01g000480.3C	897	648	119	17.1841
BraA01g000490.3C	1152	903	40	4.14503
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	0	0
BraA01g000530.3C	3666	3417	793.823	21.7387
BraA01g000540.3C	1416	1167	13	1.04238
BraA01g000550.3C	1722	1473	4	0.254105
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	109	6.93848
BraA01g000580.3C	1431	1182	974.979	77.185
BraA01g000590.3C	1713	1464	123	7.86175
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	2	0.469043
BraA01g000620.3C	477	228	74	30.3705
BraA01g000630.3C	687	438	16	3.41823
BraA01g000640.3C	873	624	105	15.7456
BraA01g000650.3C	810	561	0	0
BraA01g000660.3C	1038	789	128	15.1806
BraA01g000670.3C	831	582	52.1523	8.38505
BraA01g000680.3C	2286	2037	62	2.84811
BraA01g000690.3C	366	117.23	200	159.642
BraA01g000700.3C	1533	1284	690	50.2851
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	504	41.5885
BraA01g000730.3C	963	714	579	75.8815
BraA01g000740.3C	864	615	21	3.19521
BraA01g000750.3C	540	291	541.589	174.153
BraA01g000760.3C	705	456	24	4.92495
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	162	17.4844
BraA01g000790.3C	882	633	57.4609	8.49423
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
BraA01g000820.3C	939	690	0	0
BraA01g000830.3C	1623	1374	258	17.5707
BraA01g000840.3C	1590	1341	180	12.5603
BraA01g000850.3C	1557	1308	897	64.1712
BraA01g000860.3C	672	423	195	43.137
BraA01g000870.3C	819	570	63	10.3424
