target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	11	1.36261
BraA01g000020.3C	1668	1419	64.9008	5.69391
BraA01g000030.3C	957	708	0	0
BraA01g000040.3C	1299	1050	300.17	35.5895
BraA01g000050.3C	774	525	15	3.55693
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	41	9.09839
BraA01g000080.3C	891	642	104	20.167
BraA01g000090.3C	1707	1458	266.078	22.7193
BraA01g000100.3C	357	108.433	60.5756	69.5475
BraA01g000110.3C	567	318	3	1.17446
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	1	1.7089
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	332	24.2984
BraA01g000180.3C	963	714	15	2.61539
BraA01g000190.3C	2436	2187	190	10.8155
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	0	0
BraA01g000240.3C	1617	1368	35	3.18512
BraA01g000250.3C	720	471	2.07498	0.548449
BraA01g000260.3C	2454	2205	438.76	24.7721
BraA01g000270.3C	1104	855	450	65.5224
BraA01g000280.3C	339	91.3223	0	0
BraA01g000290.3C	1656	1407	1	0.0884809
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	68	8.25097
BraA01g000320.3C	1035	786	320	50.684
BraA01g000330.3C	327	80.5083	46	71.1313
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1059	549.323
BraA01g000360.3C	297	56.934	8	17.4929
BraA01g000370.3C	426	177.001	22	15.4736
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	662	28.5862
BraA01g000400.3C	345	96.9308	3	3.85304
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	102	16.7302
BraA01g000430.3C	3585	3336	262	9.77729
BraA01g000440.3C	510	261	9	4.29285
BraA01g000450.3C	9402	9153	270	3.67235
BraA01g000460.3C	1512	1263	1	0.0985689
BraA01g000470.3C	1110	861	586	84.7301
BraA01g000480.3C	897	648	90	17.2906
BraA01g000490.3C	1152	903	25	3.44664
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	0	0
BraA01g000530.3C	3666	3417	677.482	24.6829
BraA01g000540.3C	1416	1167	12	1.28013
BraA01g000550.3C	1722	1473	3	0.253549
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	77	6.52104
BraA01g000580.3C	1431	1182	887.858	93.5124
BraA01g000590.3C	1713	1464	68	5.78244
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	2	0.624023
BraA01g000620.3C	477	228	16	8.73632
BraA01g000630.3C	687	438	0	0
BraA01g000640.3C	873	624	66	13.1675
BraA01g000650.3C	810	561	4	0.887648
BraA01g000660.3C	1038	789	92	14.5162
BraA01g000670.3C	831	582	54.6734	11.6949
BraA01g000680.3C	2286	2037	72	4.40033
BraA01g000690.3C	366	117.23	66	70.0888
BraA01g000700.3C	1533	1284	283	27.4388
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	615	67.5158
BraA01g000730.3C	963	714	328	57.1899
BraA01g000740.3C	864	615	16	3.23883
BraA01g000750.3C	540	291	394.646	168.833
BraA01g000760.3C	705	456	23	6.27923
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	116.567	16.7378
BraA01g000790.3C	882	633	15	2.95006
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
BraA01g000820.3C	939	690	0	0
BraA01g000830.3C	1623	1374	100	9.06059
BraA01g000840.3C	1590	1341	153	14.2038
BraA01g000850.3C	1557	1308	793	75.476
BraA01g000860.3C	672	423	131	38.5544
BraA01g000870.3C	819	570	47	10.2652
BraA01g000880.3C	1044	795	292	45.7256
BraA01g000890.3C	1761	1512	137	11.2801
BraA01g000900.3C	411	162.005	971	746.166
BraA01g000910.3C	276	44.1722	123.5	348.066
BraA01g000920.3C	276	44.1722	123.5	348.066
BraA01g000930.3C	510	261	4	1.90793
BraA01g000940.3C	510	261	4	1.90793
BraA01g000950.3C	1794	1545	184.5	14.8666
BraA01g000960.3C	525	276	0	0
BraA01g000970.3C	525	276	0	0
BraA01g000980.3C	1794	1545	184.5	14.8666
BraA01g000990.3C	885	636	130	25.4466
BraA01g001000.3C	1077	828	34	5.11201
BraA01g001010.3C	432	183	196	133.336
BraA01g001020.3C	381	132.072	32	30.1636
BraA01g001030.3C	2094	1845	47	3.17136
BraA01g001040.3C	1242	993	130	16.2981
BraA01g001050.3C	1995	1746	0	0
BraA01g001060.3C	1017	768	4	0.648399
BraA01g001070.3C	729	480	0	0
BraA01g001080.3C	1074	825	60	9.054
BraA01g001090.3C	1263	1014	100	12.2774
BraA01g001100.3C	690	441	71	20.043
BraA01g001110.3C	1554	1305	24	2.28952
BraA01g001120.3C	1398	1149	47	5.09239
BraA01g001130.3C	2049	1800	859.212	59.4253
BraA01g001140.3C	1146	897	71	9.85393
BraA01g001150.3C	2010	1761	1628	115.09
BraA01g001160.3C	1005	756	0	0
BraA01g001170.3C	1011	762	8	1.30701
BraA01g001180.3C	1848	1599	92	7.1628
BraA01g001190.3C	369	120.184	0	0
BraA01g001200.3C	849	600	24.5373	5.09119
BraA01g001210.3C	918	669	35	6.51306
BraA01g001220.3C	1410	1161	0	0
BraA01g001230.3C	1554	1305	0	0
BraA01g001240.3C	1638	1389	140.235	12.5689
BraA01g001250.3C	1269	1020	24.2692	2.96209
BraA01g001260.3C	741	492	58	14.676
BraA01g001270.3C	1125	876	22	3.12653
BraA01g001280.3C	1845	1596	86	6.70825
BraA01g001290.3C	1602	1353	148	13.6178
BraA01g001300.3C	1125	876	62	8.81112
BraA01g001310.3C	1218	969	3	0.385426
BraA01g001320.3C	1365	1116	15	1.67329
BraA01g001330.3C	1359	1110	155	17.3841
BraA01g001340.3C	687	438	60.4877	17.1924
BraA01g001350.3C	516	267	0	0
BraA01g001360.3C	981	732	76	12.9255
BraA01g001370.3C	1599	1350	75	6.91625
BraA01g001380.3C	1443	1194	105	10.9478
BraA01g001390.3C	432	183	0	0
BraA01g001400.3C	3078	2829	142	6.24883
BraA01g001410.3C	537	288	393	169.88
BraA01g001420.3C	1587	1338	323	30.0531
BraA01g001430.3C	1086	837	285	42.3899
BraA01g001440.3C	1131	882	33	4.65789
BraA01g001450.3C	426	177.001	0	0
BraA01g001460.3C	1212	963	18	2.32696
BraA01g001470.3C	897	648	0	0
BraA01g001480.3C	1719	1470	3	0.254066
