target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	6	0.491416
BraA01g000020.3C	1668	1419	95.0917	5.516
BraA01g000030.3C	957	708	2	0.23252
BraA01g000040.3C	1299	1050	360.601	28.2684
BraA01g000050.3C	774	525	20	3.1357
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	43	6.30913
BraA01g000080.3C	891	642	209	26.7963
BraA01g000090.3C	1707	1458	467.013	26.3655
BraA01g000100.3C	357	108.433	45.4317	34.4876
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	488	23.6145
BraA01g000180.3C	963	714	39	4.49604
BraA01g000190.3C	2436	2187	197	7.41449
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	9	0.628337
BraA01g000240.3C	1617	1368	65	3.91103
BraA01g000250.3C	720	471	3	0.524281
BraA01g000260.3C	2454	2205	813.151	30.3547
BraA01g000270.3C	1104	855	339.179	32.6532
BraA01g000280.3C	339	91.3223	0	0
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	140	11.2317
BraA01g000320.3C	1035	786	466	48.8008
BraA01g000330.3C	327	80.5083	136.923	139.991
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1585	543.603
BraA01g000360.3C	297	56.934	8	11.566
BraA01g000370.3C	426	177.001	24	11.1609
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	716	20.4424
BraA01g000400.3C	345	96.9308	2	1.69837
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	161	17.4601
BraA01g000430.3C	3585	3336	361	8.90728
BraA01g000440.3C	510	261	2	0.630744
BraA01g000450.3C	9402	9153	394	3.54321
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	739.225	70.6703
BraA01g000480.3C	897	648	209	26.5482
BraA01g000490.3C	1152	903	32	2.91693
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	0	0
BraA01g000530.3C	3666	3417	1098.67	26.4659
BraA01g000540.3C	1416	1167	8	0.564265
BraA01g000550.3C	1722	1473	4	0.223522
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	95	5.31949
BraA01g000580.3C	1431	1182	1924.41	134.012
BraA01g000590.3C	1713	1464	148	8.32117
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	3	0.618888
BraA01g000620.3C	477	228	96	34.6577
BraA01g000630.3C	687	438	10	1.87927
BraA01g000640.3C	873	624	94	12.3996
BraA01g000650.3C	810	561	7	1.02707
BraA01g000660.3C	1038	789	182.396	19.0284
BraA01g000670.3C	831	582	159.548	22.5649
BraA01g000680.3C	2286	2037	78	3.15186
BraA01g000690.3C	366	117.23	162	113.747
BraA01g000700.3C	1533	1284	712.609	45.6825
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	578.565	41.9955
BraA01g000730.3C	963	714	477	54.99
BraA01g000740.3C	864	615	40	5.35363
BraA01g000750.3C	540	291	524.713	148.42
BraA01g000760.3C	705	456	66	11.9136
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	126.148	11.9764
BraA01g000790.3C	882	633	35.6385	4.63424
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
BraA01g000820.3C	939	690	0	0
BraA01g000830.3C	1623	1374	279.901	16.768
BraA01g000840.3C	1590	1341	189	11.601
BraA01g000850.3C	1557	1308	1312	82.5638
BraA01g000860.3C	672	423	193	37.5561
BraA01g000870.3C	819	570	53	7.65358
BraA01g000880.3C	1044	795	943	97.6356
BraA01g000890.3C	1761	1512	66	3.59299
BraA01g000900.3C	411	162.005	1895	962.821
BraA01g000910.3C	276	44.1722	215	400.639
BraA01g000920.3C	276	44.1722	215	400.639
BraA01g000930.3C	510	261	10	3.15372
BraA01g000940.3C	510	261	10	3.15372
BraA01g000950.3C	1794	1545	376.5	20.0586
BraA01g000960.3C	525	276	0	0
BraA01g000970.3C	525	276	0	0
BraA01g000980.3C	1794	1545	376.5	20.0586
BraA01g000990.3C	885	636	343.805	44.4958
BraA01g001000.3C	1077	828	58	5.76582
BraA01g001010.3C	432	183	282	126.841
BraA01g001020.3C	381	132.072	39	24.3063
BraA01g001030.3C	2094	1845	46	2.05223
BraA01g001040.3C	1242	993	196.8	16.3132
BraA01g001050.3C	1995	1746	1	0.0471432
BraA01g001060.3C	1017	768	7	0.750241
BraA01g001070.3C	729	480	0	0
BraA01g001080.3C	1074	825	43	4.29021
BraA01g001090.3C	1263	1014	101	8.19874
BraA01g001100.3C	690	441	85	15.8651
BraA01g001110.3C	1554	1305	74	4.66751
BraA01g001120.3C	1398	1149	81	5.80268
BraA01g001130.3C	2049	1800	1932.24	88.3592
BraA01g001140.3C	1146	897	156	14.3151
BraA01g001150.3C	2010	1761	1981	92.5953
BraA01g001160.3C	1005	756	0	0
BraA01g001170.3C	1011	762	4	0.432085
BraA01g001180.3C	1848	1599	56	2.88273
BraA01g001190.3C	369	120.184	0	0
BraA01g001200.3C	849	600	25.3825	3.48215
BraA01g001210.3C	918	669	16	1.9686
BraA01g001220.3C	1410	1161	2	0.141795
BraA01g001230.3C	1554	1305	0	0
BraA01g001240.3C	1638	1389	136.714	8.10169
BraA01g001250.3C	1269	1020	37	2.98583
BraA01g001260.3C	741	492	82	13.7187
BraA01g001270.3C	1125	876	69	6.48349
BraA01g001280.3C	1845	1596	169	8.71601
BraA01g001290.3C	1602	1353	146.966	8.94095
BraA01g001300.3C	1125	876	125	11.7454
BraA01g001310.3C	1218	969	16	1.35913
