target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	5	0.432328
BraA01g000020.3C	1668	1419	108.08	6.61867
BraA01g000030.3C	957	708	2	0.245474
BraA01g000040.3C	1299	1050	365.884	30.2806
BraA01g000050.3C	774	525	15	2.4828
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	78	12.0821
BraA01g000080.3C	891	642	152	20.574
BraA01g000090.3C	1707	1458	1119.96	66.7504
BraA01g000100.3C	357	108.433	45.4317	36.409
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	363	18.5443
BraA01g000180.3C	963	714	36	4.38141
BraA01g000190.3C	2436	2187	219	8.70171
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	7	0.515933
BraA01g000240.3C	1617	1368	181	11.4975
BraA01g000250.3C	720	471	8	1.47597
BraA01g000260.3C	2454	2205	633.226	24.9551
BraA01g000270.3C	1104	855	226	22.9695
BraA01g000280.3C	339	91.3223	3	2.85466
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	87	7.36853
BraA01g000320.3C	1035	786	442	48.8662
BraA01g000330.3C	327	80.5083	100.878	108.884
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	2040	738.632
BraA01g000360.3C	297	56.934	2	3.05259
BraA01g000370.3C	426	177.001	8	3.92757
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	472	14.2268
BraA01g000400.3C	345	96.9308	0	0
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	185	21.1806
BraA01g000430.3C	3585	3336	340	8.8565
BraA01g000440.3C	510	261	31	10.3212
BraA01g000450.3C	9402	9153	311	2.95261
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	622.425	62.8193
BraA01g000480.3C	897	648	249	33.3913
BraA01g000490.3C	1152	903	27	2.59828
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	2	3.79483
BraA01g000530.3C	3666	3417	1081.87	27.5131
BraA01g000540.3C	1416	1167	11	0.819089
BraA01g000550.3C	1722	1473	10	0.589938
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	251	14.8377
BraA01g000580.3C	1431	1182	1575.97	115.862
BraA01g000590.3C	1713	1464	120	7.12278
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	1	0.217789
BraA01g000620.3C	477	228	54	20.5811
BraA01g000630.3C	687	438	7	1.38878
BraA01g000640.3C	873	624	121	16.8504
BraA01g000650.3C	810	561	2	0.309796
BraA01g000660.3C	1038	789	87.2969	9.6146
BraA01g000670.3C	831	582	144.871	21.6306
BraA01g000680.3C	2286	2037	56	2.38895
BraA01g000690.3C	366	117.23	49	36.3217
BraA01g000700.3C	1533	1284	453.371	30.683
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	541	41.4566
BraA01g000730.3C	963	714	373	45.3962
BraA01g000740.3C	864	615	52	7.34746
BraA01g000750.3C	540	291	469.675	140.253
BraA01g000760.3C	705	456	25	4.76414
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	126	12.6288
BraA01g000790.3C	882	633	27.838	3.82158
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
BraA01g000820.3C	939	690	0	0
BraA01g000830.3C	1623	1374	354.832	22.4412
BraA01g000840.3C	1590	1341	201	13.025
BraA01g000850.3C	1557	1308	1182	78.527
BraA01g000860.3C	672	423	182	37.3887
BraA01g000870.3C	819	570	38	5.79319
BraA01g000880.3C	1044	795	609	66.5671
BraA01g000890.3C	1761	1512	385	22.1268
BraA01g000900.3C	411	162.005	1431	767.576
BraA01g000910.3C	276	44.1722	166.5	327.548
BraA01g000920.3C	276	44.1722	166.5	327.548
BraA01g000930.3C	510	261	4.5	1.49824
BraA01g000940.3C	510	261	4.5	1.49824
BraA01g000950.3C	1794	1545	430	24.1852
BraA01g000960.3C	525	276	0	0
BraA01g000970.3C	525	276	0	0
BraA01g000980.3C	1794	1545	430	24.1852
BraA01g000990.3C	885	636	377	51.5102
BraA01g001000.3C	1077	828	125	13.1186
BraA01g001010.3C	432	183	223	105.892
BraA01g001020.3C	381	132.072	68	44.7412
BraA01g001030.3C	2094	1845	36	1.69557
BraA01g001040.3C	1242	993	173	15.1393
BraA01g001050.3C	1995	1746	0	0
BraA01g001060.3C	1017	768	5	0.565741
BraA01g001070.3C	729	480	0	0
BraA01g001080.3C	1074	825	16	1.68529
BraA01g001090.3C	1263	1014	68	5.82747
BraA01g001100.3C	690	441	73	14.3845
BraA01g001110.3C	1554	1305	33.9706	2.26205
BraA01g001120.3C	1398	1149	65	4.91589
BraA01g001130.3C	2049	1800	1274.34	61.5208
BraA01g001140.3C	1146	897	122	11.8189
BraA01g001150.3C	2010	1761	2128	105.008
BraA01g001160.3C	1005	756	0	0
BraA01g001170.3C	1011	762	3	0.342118
BraA01g001180.3C	1848	1599	70	3.80416
BraA01g001190.3C	369	120.184	0	0
BraA01g001200.3C	849	600	81.4145	11.7912
BraA01g001210.3C	918	669	8	1.03914
BraA01g001220.3C	1410	1161	5	0.374237
BraA01g001230.3C	1554	1305	0	0
BraA01g001240.3C	1638	1389	121	7.56994
BraA01g001250.3C	1269	1020	22	1.87427
BraA01g001260.3C	741	492	65	11.4804
BraA01g001270.3C	1125	876	46	4.56313
BraA01g001280.3C	1845	1596	177	9.63717
BraA01g001290.3C	1602	1353	140.926	9.05112
BraA01g001300.3C	1125	876	356	35.3147
BraA01g001310.3C	1218	969	3	0.269034
BraA01g001320.3C	1365	1116	41.1166	3.20156
BraA01g001330.3C	1359	1110	309.883	24.2597
BraA01g001340.3C	687	438	67.1969	13.3317
