target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	3	0.315327
BraA01g000020.3C	1668	1419	65.6114	4.88431
BraA01g000030.3C	957	708	1	0.149202
BraA01g000040.3C	1299	1050	249.874	25.1385
BraA01g000050.3C	774	525	11	2.2133
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	16	3.01275
BraA01g000080.3C	891	642	117	19.2512
BraA01g000090.3C	1707	1458	303.847	22.0143
BraA01g000100.3C	357	108.433	7.57195	7.37657
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	1	1.85539
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	320	19.8725
BraA01g000180.3C	963	714	23	3.4028
BraA01g000190.3C	2436	2187	182	8.79081
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	4	0.358387
BraA01g000240.3C	1617	1368	100	7.72183
BraA01g000250.3C	720	471	3	0.672832
BraA01g000260.3C	2454	2205	515.35	24.6888
BraA01g000270.3C	1104	855	613	75.7357
BraA01g000280.3C	339	91.3223	1	1.15672
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	55	5.66268
BraA01g000320.3C	1035	786	374	50.2638
BraA01g000330.3C	327	80.5083	110.077	144.432
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1262	555.462
BraA01g000360.3C	297	56.934	6	11.1323
BraA01g000370.3C	426	177.001	7	4.17762
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	766	28.0667
BraA01g000400.3C	345	96.9308	4	4.35918
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	160	22.2682
BraA01g000430.3C	3585	3336	282	8.92955
BraA01g000440.3C	510	261	5	2.02365
BraA01g000450.3C	9402	9153	245	2.82754
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	496.349	60.8963
BraA01g000480.3C	897	648	133	21.6812
BraA01g000490.3C	1152	903	33	3.8604
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	1	0.198935
BraA01g000520.3C	279	45.7981	5	11.5327
BraA01g000530.3C	3666	3417	820.125	25.3537
BraA01g000540.3C	1416	1167	11	0.995699
BraA01g000550.3C	1722	1473	13	0.932281
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	145	10.4197
BraA01g000580.3C	1431	1182	1092	97.5915
BraA01g000590.3C	1713	1464	77	5.55592
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	0	0
BraA01g000620.3C	477	228	56	25.9454
BraA01g000630.3C	687	438	1	0.241175
BraA01g000640.3C	873	624	72	12.1886
BraA01g000650.3C	810	561	27	5.08402
BraA01g000660.3C	1038	789	57.4351	7.68966
BraA01g000670.3C	831	582	92	16.6983
BraA01g000680.3C	2286	2037	62	3.21519
BraA01g000690.3C	366	117.23	57	51.3621
BraA01g000700.3C	1533	1284	317	26.0796
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	686	63.9025
BraA01g000730.3C	963	714	418	61.8421
BraA01g000740.3C	864	615	24	4.12233
BraA01g000750.3C	540	291	473.683	171.95
BraA01g000760.3C	705	456	20	4.6331
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	107	13.0368
BraA01g000790.3C	882	633	29	4.8395
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
BraA01g000820.3C	939	690	0	0
BraA01g000830.3C	1623	1374	156.955	12.0669
BraA01g000840.3C	1590	1341	167	13.1551
BraA01g000850.3C	1557	1308	1200	96.9125
BraA01g000860.3C	672	423	112	27.9695
BraA01g000870.3C	819	570	68	12.602
BraA01g000880.3C	1044	795	354	47.0373
BraA01g000890.3C	1761	1512	129	9.01248
BraA01g000900.3C	411	162.005	1318	859.398
BraA01g000910.3C	276	44.1722	132	315.669
BraA01g000920.3C	276	44.1722	132	315.669
BraA01g000930.3C	510	261	4	1.61892
BraA01g000940.3C	510	261	4	1.61892
BraA01g000950.3C	1794	1545	203.5	13.9137
BraA01g000960.3C	525	276	0	0
BraA01g000970.3C	525	276	0	0
BraA01g000980.3C	1794	1545	203.5	13.9137
BraA01g000990.3C	885	636	185	30.7271
BraA01g001000.3C	1077	828	75	9.56836
BraA01g001010.3C	432	183	307	177.212
BraA01g001020.3C	381	132.072	22	17.5962
BraA01g001030.3C	2094	1845	25	1.43136
BraA01g001040.3C	1242	993	107	11.3826
BraA01g001050.3C	1995	1746	0	0
BraA01g001060.3C	1017	768	5	0.687726
BraA01g001070.3C	729	480	0	0
BraA01g001080.3C	1074	825	19	2.4328
BraA01g001090.3C	1263	1014	64	6.66728
BraA01g001100.3C	690	441	63.7491	15.2701
BraA01g001110.3C	1554	1305	23.913	1.93567
BraA01g001120.3C	1398	1149	56	5.14843
BraA01g001130.3C	2049	1800	1274.11	74.7721
BraA01g001140.3C	1146	897	53	6.24151
BraA01g001150.3C	2010	1761	1620	97.1767
BraA01g001160.3C	1005	756	1	0.139728
BraA01g001170.3C	1011	762	4	0.554513
BraA01g001180.3C	1848	1599	43	2.84071
BraA01g001190.3C	369	120.184	0	0
BraA01g001200.3C	849	600	14.3543	2.52719
BraA01g001210.3C	918	669	10	1.57899
BraA01g001220.3C	1410	1161	0	0
BraA01g001230.3C	1554	1305	0	0
BraA01g001240.3C	1638	1389	174.715	13.2872
BraA01g001250.3C	1269	1020	26	2.69265
BraA01g001260.3C	741	492	31	6.65584
BraA01g001270.3C	1125	876	20	2.41175
BraA01g001280.3C	1845	1596	125	8.27339
BraA01g001290.3C	1602	1353	145	11.3208
BraA01g001300.3C	1125	876	82	9.88818
BraA01g001310.3C	1218	969	2.06973	0.22563
BraA01g001320.3C	1365	1116	20	1.89309
BraA01g001330.3C	1359	1110	89	8.46981
BraA01g001340.3C	687	438	58.581	14.1283
BraA01g001350.3C	516	267	0	0
BraA01g001360.3C	981	732	128	18.4716
BraA01g001370.3C	1599	1350	60	4.69487
BraA01g001380.3C	1443	1194	170	15.0401
BraA01g001390.3C	432	183	0	0
BraA01g001400.3C	3078	2829	176.981	6.60845
BraA01g001410.3C	537	288	474	173.857
BraA01g001420.3C	1587	1338	226	17.8426
BraA01g001430.3C	1086	837	492	62.0935
BraA01g001440.3C	1131	882	39	4.67092
BraA01g001450.3C	426	177.001	0	0
BraA01g001460.3C	1212	963	29	3.18111
BraA01g001470.3C	897	648	0	0
BraA01g001480.3C	1719	1470	0	0
BraA01g001490.3C	1506	1257	1999	167.99
BraA01g001500.3C	897	648	221	36.0266
BraA01g001510.3C	1764	1515	7	0.488081
BraA01g001520.3C	1512	1263	0	0
BraA01g001530.3C	1560	1311	138.386	11.1506
BraA01g001540.3C	1542	1293	7	0.571881
BraA01g001550.3C	519	270	148	57.9034
BraA01g001560.3C	264	38.2937	0	0
BraA01g001570.3C	258	35.7089	0	0
BraA01g001580.3C	969	720	548	80.3997
BraA01g001590.3C	987	738	283	40.5076
BraA01g001600.3C	231	26.552	0	0
BraA01g001610.3C	2286	2037	67	3.47448
BraA01g001620.3C	1125	876	44	5.30585
BraA01g001630.3C	1557	1308	608	49.1024
BraA01g001640.3C	588	339	58	18.0732
BraA01g001650.3C	210	21.6077	0	0
BraA01g001660.3C	483	234	0	0
BraA01g001670.3C	1296	1047	331	33.3955
BraA01g001680.3C	249	32.2352	14	45.8779
BraA01g001690.3C	1065	816	5	0.647271
BraA01g001700.3C	1065	816	2	0.258908
BraA01g001710.3C	300	59.0212	1	1.78977
BraA01g001720.3C	1311	1062	193	19.1973
BraA01g001730.3C	1485	1236	1382	118.113
BraA01g001740.3C	861	612	287	49.5378
BraA01g001750.3C	1473	1224	255	22.0072
BraA01g001760.3C	1056	807	28	3.66514
BraA01g001770.3C	1239	990	2	0.213403
BraA01g001780.3C	1146	897	1	0.117764
BraA01g001790.3C	1227	978	57	6.15662
BraA01g001800.3C	1650	1401	15	1.13099
BraA01g001810.3C	1557	1308	275	22.2091
BraA01g001820.3C	2541	2292	147	6.775
BraA01g001830.3C	1161	912	70	8.10792
BraA01g001840.3C	972	723	0	0
BraA01g001850.3C	1464	1215	183	15.9104
BraA01g001860.3C	774	525	2	0.402418
BraA01g001870.3C	1602	1353	1.00553	0.0785065
BraA01g001880.3C	2058	1809	42	2.45255
BraA01g001890.3C	978	729	60	8.69421
BraA01g001900.3C	1002	753	0	0
BraA01g001910.3C	759	510	33	6.83518
BraA01g001920.3C	1278	1029	45	4.61959
BraA01g001930.3C	462	213	0	0
BraA01g001940.3C	717	468	0	0
BraA01g001950.3C	528	279	3	1.13586
BraA01g001960.3C	1347	1098	68	6.54204
BraA01g001970.3C	2004	1755	21.1935	1.27565
BraA01g001980.3C	2928	2679	791	31.1896
BraA01g001990.3C	996	747	1	0.141412
BraA01g002000.3C	1092	843	743	93.1039
BraA01g002010.3C	558	309	44.2207	15.1173
BraA01g002020.3C	1461	1212	17	1.48167
BraA01g002030.3C	912	663	210	33.4589
BraA01g002040.3C	1386	1137	1	0.0929065
BraA01g002050.3C	294	54.9123	0	0
BraA01g002060.3C	1932	1683	82	5.14679
BraA01g002070.3C	273	42.6101	0	0
BraA01g002080.3C	654	405	9	2.34744
BraA01g002090.3C	942	693	74	11.2799
BraA01g002100.3C	627	378	2	0.558914
BraA01g002110.3C	1374	1125	30	2.81692
BraA01g002120.3C	1209	960	0	0
BraA01g002130.3C	783	534	57	11.2756
BraA01g002140.3C	738	489	26	5.61657
BraA01g002150.3C	519	270	36	14.0846
BraA01g002160.3C	2295	2046	2866	147.971
BraA01g002170.3C	873	624	0	0
BraA01g002180.3C	672	423	3	0.749182
BraA01g002190.3C	948	699	11	1.66235
BraA01g002200.3C	873	624	0	0
BraA01g002210.3C	1800	1551	72	4.90374
BraA01g002220.3C	240	29.2001	3	10.8528
BraA01g002230.3C	2148	1899	32	1.78005
BraA01g002240.3C	1122	873	44	5.32408
BraA01g002250.3C	3759	3510	2517	75.75
BraA01g002260.3C	369	120.184	3	2.63682
BraA01g002270.3C	375	126.116	0	0
BraA01g002280.3C	1113	864	74	9.04741
BraA01g002290.3C	1443	1194	8	0.70777
BraA01g002300.3C	2496	2247	64.9273	3.05233
BraA01g002310.3C	1269	1020	67	6.93875
BraA01g002320.3C	891	642	125.226	20.6047
BraA01g002330.3C	486	237	19	8.4686
BraA01g002340.3C	1908	1659	398	25.3421
BraA01g002350.3C	1386	1137	3	0.278719
BraA01g002360.3C	2571	2322	951	43.2638
BraA01g002370.3C	3822	3573	49	1.44867
BraA01g002380.3C	765	516	5	1.02359
BraA01g002390.3C	1446	1197	46.8012	4.13018
BraA01g002400.3C	708	459	5	1.1507
BraA01g002410.3C	360	111.352	16	15.1784
BraA01g002420.3C	1563	1314	400.645	32.2086
BraA01g002430.3C	2034	1785	0	0
BraA01g002440.3C	1614	1365	133	10.2926
BraA01g002450.3C	2970	2721	460	17.8581
BraA01g002460.3C	1116	867	15	1.82759
BraA01g002470.3C	3465	3216	0	0
BraA01g002480.3C	4440	4191	134	3.37749
BraA01g002490.3C	777	528	998.486	199.763
BraA01g002500.3C	2436	2187	112	5.40973
BraA01g002510.3C	315	70.3986	0	0
BraA01g002520.3C	573	324	172	56.0777
BraA01g002530.3C	1395	1146	3	0.276531
BraA01g002540.3C	11577	11328	61	0.568831
BraA01g002550.3C	384	135.056	16	12.5145
BraA01g002560.3C	1716	1467	37	2.66427
BraA01g002570.3C	480	231	31	14.1761
BraA01g002580.3C	855	606	476	82.9738
BraA01g002590.3C	915	666	41	6.50303
BraA01g002600.3C	267	39.6723	6	15.9761
BraA01g002610.3C	834	585	19	3.43087
BraA01g002620.3C	594	345	2	0.612375
BraA01g002630.3C	954	705	141	21.1269
BraA01g002640.3C	1260	1011	124	12.9562
BraA01g002650.3C	840	591	9	1.60865
BraA01g002660.3C	1500	1251	144	12.1594
BraA01g002670.3C	1593	1344	72	5.659
BraA01g002680.3C	636	387	52	14.1938
BraA01g002690.3C	1482	1233	449	38.4671
BraA01g002700.3C	714	465	6	1.36303
BraA01g002710.3C	2697	2448	1528.35	65.9504
BraA01g002720.3C	837	588	0	0
BraA01g002730.3C	1119	870	0	0
BraA01g002740.3C	957	708	0	0
