target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	2	0.250897
BraA01g000020.3C	1668	1419	60.3963	5.36612
BraA01g000030.3C	957	708	1.01109	0.180049
BraA01g000040.3C	1299	1050	242.329	29.097
BraA01g000050.3C	774	525	15	3.60217
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	13	2.92154
BraA01g000080.3C	891	642	115	22.5837
BraA01g000090.3C	1707	1458	294.199	25.4399
BraA01g000100.3C	357	108.433	7.57195	8.80399
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	277	20.5309
BraA01g000180.3C	963	714	22	3.88469
BraA01g000190.3C	2436	2187	115	6.6295
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	3	0.320804
BraA01g000240.3C	1617	1368	46	4.23939
BraA01g000250.3C	720	471	0	0
BraA01g000260.3C	2454	2205	485.429	27.7555
BraA01g000270.3C	1104	855	439.222	64.7664
BraA01g000280.3C	339	91.3223	0	0
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	48	5.89829
BraA01g000320.3C	1035	786	248	39.7797
BraA01g000330.3C	327	80.5083	62.5334	97.9271
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1327	697.094
BraA01g000360.3C	297	56.934	2	4.42885
BraA01g000370.3C	426	177.001	11	7.83518
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	547	23.9207
BraA01g000400.3C	345	96.9308	0	0
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	134	22.2585
BraA01g000430.3C	3585	3336	250	9.44813
BraA01g000440.3C	510	261	2	0.966099
BraA01g000450.3C	9402	9153	252	3.47112
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	421.381	61.7026
BraA01g000480.3C	897	648	82	15.954
BraA01g000490.3C	1152	903	22	3.07162
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	0	0
BraA01g000530.3C	3666	3417	810.077	29.8891
BraA01g000540.3C	1416	1167	13	1.40444
BraA01g000550.3C	1722	1473	10	0.855912
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	99	8.49082
BraA01g000580.3C	1431	1182	1115.55	118.988
BraA01g000590.3C	1713	1464	55	4.73646
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	4	1.26392
BraA01g000620.3C	477	228	60	33.1779
BraA01g000630.3C	687	438	0	0
BraA01g000640.3C	873	624	54	10.9104
BraA01g000650.3C	810	561	23	5.16889
BraA01g000660.3C	1038	789	49	7.82981
BraA01g000670.3C	831	582	61.3091	13.2811
BraA01g000680.3C	2286	2037	59	3.65168
BraA01g000690.3C	366	117.23	46	49.471
BraA01g000700.3C	1533	1284	288	28.2787
BraA01g000710.3C	252	33.3418	1	3.78132
BraA01g000720.3C	1383	1134	452	50.2525
BraA01g000730.3C	963	714	383	67.6289
BraA01g000740.3C	864	615	20	4.10003
BraA01g000750.3C	540	291	396.84	171.931
BraA01g000760.3C	705	456	27	7.46502
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	102	14.8325
BraA01g000790.3C	882	633	21	4.18261
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
BraA01g000820.3C	939	690	0	0
BraA01g000830.3C	1623	1374	169	15.5071
BraA01g000840.3C	1590	1341	128	12.0341
BraA01g000850.3C	1557	1308	1059	102.075
BraA01g000860.3C	672	423	106	31.5935
BraA01g000870.3C	819	570	59	13.05
BraA01g000880.3C	1044	795	362	57.4081
BraA01g000890.3C	1761	1512	154	12.8411
BraA01g000900.3C	411	162.005	1270	988.344
BraA01g000910.3C	276	44.1722	120.5	343.93
BraA01g000920.3C	276	44.1722	120.5	343.93
BraA01g000930.3C	510	261	6.5	3.13982
BraA01g000940.3C	510	261	6.5	3.13982
BraA01g000950.3C	1794	1545	211.5	17.2589
BraA01g000960.3C	525	276	0.5	0.228398
BraA01g000970.3C	525	276	0.5	0.228398
BraA01g000980.3C	1794	1545	211.5	17.2589
BraA01g000990.3C	885	636	146	28.9419
BraA01g001000.3C	1077	828	69	10.5063
BraA01g001010.3C	432	183	278	191.525
BraA01g001020.3C	381	132.072	28	26.7288
BraA01g001030.3C	2094	1845	20	1.36668
BraA01g001040.3C	1242	993	123	15.6166
BraA01g001050.3C	1995	1746	0	0
BraA01g001060.3C	1017	768	3	0.492484
BraA01g001070.3C	729	480	0	0
BraA01g001080.3C	1074	825	20	3.05638
BraA01g001090.3C	1263	1014	42	5.22208
BraA01g001100.3C	690	441	49	14.0084
BraA01g001110.3C	1554	1305	27	2.60847
BraA01g001120.3C	1398	1149	52	5.70578
BraA01g001130.3C	2049	1800	942.497	66.0145
BraA01g001140.3C	1146	897	82	11.5253
BraA01g001150.3C	2010	1761	1402	100.374
BraA01g001160.3C	1005	756	0	0
BraA01g001170.3C	1011	762	6	0.992723
BraA01g001180.3C	1848	1599	63	4.96734
BraA01g001190.3C	369	120.184	0	0
