target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	4	0.378559
BraA01g000020.3C	1668	1419	77.7344	5.21039
BraA01g000030.3C	957	708	0	0
BraA01g000040.3C	1299	1050	414.41	37.5388
BraA01g000050.3C	774	525	17	3.07984
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	15	2.54312
BraA01g000080.3C	891	642	132	19.5559
BraA01g000090.3C	1707	1458	194.078	12.6607
BraA01g000100.3C	357	108.433	75.7195	66.4182
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	1	1.30561
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	396	22.1427
BraA01g000180.3C	963	714	23	3.06386
BraA01g000190.3C	2436	2187	261	11.3509
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	5	0.403362
BraA01g000240.3C	1617	1368	58	4.03256
BraA01g000250.3C	720	471	8	1.6155
BraA01g000260.3C	2454	2205	610.244	26.3229
BraA01g000270.3C	1104	855	473.642	52.6894
BraA01g000280.3C	339	91.3223	0	0
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	2	0.946396
BraA01g000310.3C	1275	1026	68	6.30378
BraA01g000320.3C	1035	786	397	48.0405
BraA01g000330.3C	327	80.5083	62.1985	73.4816
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1161	460.108
BraA01g000360.3C	297	56.934	3	5.01175
BraA01g000370.3C	426	177.001	8	4.29886
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	847	27.9433
BraA01g000400.3C	345	96.9308	0	0
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	191	23.9349
BraA01g000430.3C	3585	3336	349	9.95035
BraA01g000440.3C	510	261	1	0.364417
BraA01g000450.3C	9402	9153	424	4.40597
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	865.262	95.5837
BraA01g000480.3C	897	648	162	23.7782
BraA01g000490.3C	1152	903	36	3.79187
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	1	2.07679
BraA01g000530.3C	3666	3417	928.076	25.8332
BraA01g000540.3C	1416	1167	19	1.54854
BraA01g000550.3C	1722	1473	6	0.387425
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	147	9.51128
BraA01g000580.3C	1431	1182	1009.48	81.2303
BraA01g000590.3C	1713	1464	86	5.58723
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	1	0.238378
BraA01g000620.3C	477	228	25	10.429
BraA01g000630.3C	687	438	0	0
BraA01g000640.3C	873	624	84	12.8037
BraA01g000650.3C	810	561	12	2.0345
BraA01g000660.3C	1038	789	70	8.4384
BraA01g000670.3C	831	582	81.7055	13.3527
BraA01g000680.3C	2286	2037	60	2.80156
BraA01g000690.3C	366	117.23	73	59.2275
BraA01g000700.3C	1533	1284	449	33.2599
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	744.525	62.4462
BraA01g000730.3C	963	714	517	68.8702
BraA01g000740.3C	864	615	18	2.78379
BraA01g000750.3C	540	291	507.834	165.985
BraA01g000760.3C	705	456	35	7.30033
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	155	17.004
BraA01g000790.3C	882	633	47	7.06209
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
BraA01g000820.3C	939	690	0	0
BraA01g000830.3C	1623	1374	241	16.6828
BraA01g000840.3C	1590	1341	193	13.6889
BraA01g000850.3C	1557	1308	1037	75.4067
BraA01g000860.3C	672	423	158	35.5268
BraA01g000870.3C	819	570	68	11.3468
