target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	0	0
BraA01g000020.3C	1668	1419	65.2125	6.20724
BraA01g000030.3C	957	708	0	0
BraA01g000040.3C	1299	1050	277.607	35.7101
BraA01g000050.3C	774	525	18	4.63088
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	28	6.74133
BraA01g000080.3C	891	642	126	26.5085
BraA01g000090.3C	1707	1458	639.936	59.2829
BraA01g000100.3C	357	108.433	15.1439	18.8637
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	250	19.8512
BraA01g000180.3C	963	714	30	5.6751
BraA01g000190.3C	2436	2187	216	13.34
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	1	0.109811
BraA01g000230.3C	1428	1179	2	0.229122
BraA01g000240.3C	1617	1368	21	2.0734
BraA01g000250.3C	720	471	0	0
BraA01g000260.3C	2454	2205	400.373	24.5249
BraA01g000270.3C	1104	855	755.994	119.427
BraA01g000280.3C	339	91.3223	5	7.39509
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	1	0.671976
BraA01g000310.3C	1275	1026	77	10.1366
BraA01g000320.3C	1035	786	263	45.1943
BraA01g000330.3C	327	80.5083	46.9654	78.793
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1121	630.877
BraA01g000360.3C	297	56.934	5	11.8618
BraA01g000370.3C	426	177.001	11	8.39397
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	373	17.4749
BraA01g000400.3C	345	96.9308	0	0
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	123	21.8884
BraA01g000430.3C	3585	3336	240	9.71707
BraA01g000440.3C	510	261	6	3.105
BraA01g000450.3C	9402	9153	269	3.96953
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	497.133	77.9865
BraA01g000480.3C	897	648	117	24.3871
BraA01g000490.3C	1152	903	23	3.44025
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	0	0
BraA01g000530.3C	3666	3417	689.823	27.2673
BraA01g000540.3C	1416	1167	12	1.38887
BraA01g000550.3C	1722	1473	7	0.641868
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	71	6.52366
BraA01g000580.3C	1431	1182	832.324	95.1097
BraA01g000590.3C	1713	1464	58	5.35103
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	2	0.677029
BraA01g000620.3C	477	228	39	23.1036
BraA01g000630.3C	687	438	3	0.925118
BraA01g000640.3C	873	624	80	17.3163
BraA01g000650.3C	810	561	0	0
BraA01g000660.3C	1038	789	71	12.1543
BraA01g000670.3C	831	582	67.7933	15.7331
BraA01g000680.3C	2286	2037	54	3.58058
BraA01g000690.3C	366	117.23	100	115.216
BraA01g000700.3C	1533	1284	297	31.2422
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	389	46.3326
BraA01g000730.3C	963	714	339	64.1286
BraA01g000740.3C	864	615	10	2.19622
BraA01g000750.3C	540	291	280.084	130.001
BraA01g000760.3C	705	456	25	7.405
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	98.6211	15.3639
BraA01g000790.3C	882	633	22	4.69428
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
BraA01g000820.3C	939	690	0	0
BraA01g000830.3C	1623	1374	132	12.9759
BraA01g000840.3C	1590	1341	120	12.0866
BraA01g000850.3C	1557	1308	695	71.7674
BraA01g000860.3C	672	423	118	37.6783
BraA01g000870.3C	819	570	24	5.68704
BraA01g000880.3C	1044	795	278	47.2311
BraA01g000890.3C	1761	1512	117	10.4516
BraA01g000900.3C	411	162.005	1052	877.079
BraA01g000910.3C	276	44.1722	138	421.969
BraA01g000920.3C	276	44.1722	138	421.969
BraA01g000930.3C	510	261	0.5	0.25875
BraA01g000940.3C	510	261	0.5	0.25875
BraA01g000950.3C	1794	1545	236	20.6316
BraA01g000960.3C	525	276	0	0
BraA01g000970.3C	525	276	0	0
BraA01g000980.3C	1794	1545	236	20.6316
BraA01g000990.3C	885	636	144	30.5813
BraA01g001000.3C	1077	828	44	7.17749
BraA01g001010.3C	432	183	142	104.806
BraA01g001020.3C	381	132.072	48	49.0887
BraA01g001030.3C	2094	1845	24	1.75697
BraA01g001040.3C	1242	993	106	14.4181
BraA01g001050.3C	1995	1746	0	0
BraA01g001060.3C	1017	768	4	0.703475
BraA01g001070.3C	729	480	0	0
BraA01g001080.3C	1074	825	58	9.49564
BraA01g001090.3C	1263	1014	98	13.0538
BraA01g001100.3C	690	441	64.4445	19.7377
BraA01g001110.3C	1554	1305	28	2.898
BraA01g001120.3C	1398	1149	47	5.52495
BraA01g001130.3C	2049	1800	866.639	65.0303
BraA01g001140.3C	1146	897	86	12.9496
BraA01g001150.3C	2010	1761	1913	146.726
BraA01g001160.3C	1005	756	0	0
BraA01g001170.3C	1011	762	7	1.24078
BraA01g001180.3C	1848	1599	63	5.3216
BraA01g001190.3C	369	120.184	0	0
BraA01g001200.3C	849	600	38.2212	8.60405
BraA01g001210.3C	918	669	12	2.42273
BraA01g001220.3C	1410	1161	3	0.349011
BraA01g001230.3C	1554	1305	0	0
BraA01g001240.3C	1638	1389	92.4804	8.99285
BraA01g001250.3C	1269	1020	17	2.25112
BraA01g001260.3C	741	492	40	10.9811
BraA01g001270.3C	1125	876	22	3.3921
BraA01g001280.3C	1845	1596	64	5.41623
BraA01g001290.3C	1602	1353	140.916	14.0673
BraA01g001300.3C	1125	876	67	10.3305
BraA01g001310.3C	1218	969	6	0.83633
BraA01g001320.3C	1365	1116	27.0869	3.27828
BraA01g001330.3C	1359	1110	282.913	34.4255
BraA01g001340.3C	687	438	64.5049	19.8916
BraA01g001350.3C	516	267	1	0.50587
BraA01g001360.3C	981	732	95	17.5292
BraA01g001370.3C	1599	1350	55	5.50274
BraA01g001380.3C	1443	1194	133	15.0452
BraA01g001390.3C	432	183	0	0
BraA01g001400.3C	3078	2829	150	7.16157
BraA01g001410.3C	537	288	411	192.752
BraA01g001420.3C	1587	1338	198	19.9875
BraA01g001430.3C	1086	837	307	49.5408
BraA01g001440.3C	1131	882	16	2.4502
BraA01g001450.3C	426	177.001	0	0
BraA01g001460.3C	1212	963	20	2.80514
BraA01g001470.3C	897	648	0	0
BraA01g001480.3C	1719	1470	1	0.0918825
BraA01g001490.3C	1506	1257	1730	185.892
BraA01g001500.3C	897	648	136	28.3475
BraA01g001510.3C	1764	1515	11	0.980687
BraA01g001520.3C	1512	1263	3	0.320825
BraA01g001530.3C	1560	1311	119.256	12.2865
