target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	1	0.189493
BraA01g000020.3C	1668	1419	45.3588	6.08751
BraA01g000030.3C	957	708	0	0
BraA01g000040.3C	1299	1050	187.677	34.0394
BraA01g000050.3C	774	525	2	0.725489
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	11	3.73414
BraA01g000080.3C	891	642	96	28.4771
BraA01g000090.3C	1707	1458	87.1998	11.3899
BraA01g000100.3C	357	108.433	22.7158	39.896
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	277	31.0124
BraA01g000180.3C	963	714	15	4.00086
BraA01g000190.3C	2436	2187	73	6.35674
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	3	0.484582
BraA01g000240.3C	1617	1368	52	7.23898
BraA01g000250.3C	720	471	5	2.02167
BraA01g000260.3C	2454	2205	236.167	20.3972
BraA01g000270.3C	1104	855	290.297	64.6602
BraA01g000280.3C	339	91.3223	1	2.08537
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	53	9.83759
BraA01g000320.3C	1035	786	158	38.282
BraA01g000330.3C	327	80.5083	35	82.7918
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	660	523.712
BraA01g000360.3C	297	56.934	1	3.34494
BraA01g000370.3C	426	177.001	25	26.8983
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	440	29.0649
BraA01g000400.3C	345	96.9308	0	0
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	29	7.2764
BraA01g000430.3C	3585	3336	71	4.05315
BraA01g000440.3C	510	261	0	0
BraA01g000450.3C	9402	9153	232	4.82708
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	273.497	60.4937
BraA01g000480.3C	897	648	70	20.5723
BraA01g000490.3C	1152	903	13	2.74167
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	3	12.4748
BraA01g000530.3C	3666	3417	395.42	22.0381
BraA01g000540.3C	1416	1167	8	1.30551
BraA01g000550.3C	1722	1473	7	0.905014
BraA01g000560.3C	456	207	0	0
