target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	2	0.149451
BraA01g000020.3C	1668	1419	76.4319	4.04509
BraA01g000030.3C	957	708	0	0
BraA01g000040.3C	1299	1050	381.624	27.2949
BraA01g000050.3C	774	525	19	2.71788
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	36	4.81921
BraA01g000080.3C	891	642	188	21.9917
BraA01g000090.3C	1707	1458	332.488	17.126
BraA01g000100.3C	357	108.433	45.4317	31.4655
BraA01g000110.3C	567	318	1	0.236161
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	430	18.9845
BraA01g000180.3C	963	714	41	4.31242
BraA01g000190.3C	2436	2187	262	8.99681
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	5	0.318487
BraA01g000240.3C	1617	1368	107	5.87399
BraA01g000250.3C	720	471	7	1.11613
BraA01g000260.3C	2454	2205	623.223	21.2261
BraA01g000270.3C	1104	855	971.26	85.3111
BraA01g000280.3C	339	91.3223	2	1.64471
BraA01g000290.3C	1656	1407	2	0.106751
BraA01g000300.3C	450	201	1	0.373628
BraA01g000310.3C	1275	1026	97	7.10003
BraA01g000320.3C	1035	786	454	43.378
BraA01g000330.3C	327	80.5083	111.182	103.712
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1977	618.63
BraA01g000360.3C	297	56.934	3	3.95718
BraA01g000370.3C	426	177.001	21	8.91004
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	947	24.6684
BraA01g000400.3C	345	96.9308	3	2.32432
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	154	15.2375
BraA01g000430.3C	3585	3336	301.556	6.78857
BraA01g000440.3C	510	261	2	0.575473
BraA01g000450.3C	9402	9153	239	1.96097
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	696.764	60.7741
BraA01g000480.3C	897	648	158	18.3112
BraA01g000490.3C	1152	903	39	3.24349
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	1	0.14143
BraA01g000520.3C	279	45.7981	1	1.63979
BraA01g000530.3C	3666	3417	725.155	15.9376
BraA01g000540.3C	1416	1167	13	0.836582
BraA01g000550.3C	1722	1473	11	0.560823
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	114	5.82403
BraA01g000580.3C	1431	1182	1443.65	91.7236
BraA01g000590.3C	1713	1464	125	6.41217
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	4	0.752875
BraA01g000620.3C	477	228	65	21.4099
BraA01g000630.3C	687	438	1	0.17146
BraA01g000640.3C	873	624	117	14.0811
BraA01g000650.3C	810	561	9	1.2048
BraA01g000660.3C	1038	789	153	14.563
BraA01g000670.3C	831	582	125.612	16.2085
BraA01g000680.3C	2286	2037	68	2.507
BraA01g000690.3C	366	117.23	170	108.905
BraA01g000700.3C	1533	1284	461.833	27.0119
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	654	43.3112
BraA01g000730.3C	963	714	619	65.1071
BraA01g000740.3C	864	615	35	4.27394
BraA01g000750.3C	540	291	642.797	165.889
BraA01g000760.3C	705	456	45	7.41111
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	161	13.9458
BraA01g000790.3C	882	633	53.343	6.32863
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
BraA01g000820.3C	939	690	0	0
BraA01g000830.3C	1623	1374	168	9.18245
BraA01g000840.3C	1590	1341	205	11.4805
BraA01g000850.3C	1557	1308	1206	69.2429
BraA01g000860.3C	672	423	209	37.1058
BraA01g000870.3C	819	570	65	8.56395
BraA01g000880.3C	1044	795	592	55.923
BraA01g000890.3C	1761	1512	166	8.24503
BraA01g000900.3C	411	162.005	1891	876.597
BraA01g000910.3C	276	44.1722	313	532.147
BraA01g000920.3C	276	44.1722	313	532.147
BraA01g000930.3C	510	261	8	2.30189
BraA01g000940.3C	510	261	8	2.30189
BraA01g000950.3C	1794	1545	306	14.874
BraA01g000960.3C	525	276	0	0
BraA01g000970.3C	525	276	0	0
BraA01g000980.3C	1794	1545	306	14.874
BraA01g000990.3C	885	636	294	34.7157
BraA01g001000.3C	1077	828	100	9.06996
BraA01g001010.3C	432	183	314	128.859
BraA01g001020.3C	381	132.072	42	23.8822
BraA01g001030.3C	2094	1845	40	1.62817
BraA01g001040.3C	1242	993	166	12.5544
BraA01g001050.3C	1995	1746	1	0.0430122
BraA01g001060.3C	1017	768	0	0
BraA01g001070.3C	729	480	0	0
BraA01g001080.3C	1074	825	46	4.18735
BraA01g001090.3C	1263	1014	76	5.62874
BraA01g001100.3C	690	441	83	14.1343
BraA01g001110.3C	1554	1305	38.9744	2.24287
BraA01g001120.3C	1398	1149	85	5.55565
BraA01g001130.3C	2049	1800	1223.05	51.0279
BraA01g001140.3C	1146	897	120	10.0467
BraA01g001150.3C	2010	1761	2812	119.92
BraA01g001160.3C	1005	756	0	0
BraA01g001170.3C	1011	762	6	0.591333
BraA01g001180.3C	1848	1599	156	7.32676
BraA01g001190.3C	369	120.184	1	0.624868
BraA01g001200.3C	849	600	28.2715	3.53862
BraA01g001210.3C	918	669	5	0.56128
BraA01g001220.3C	1410	1161	1	0.064685
BraA01g001230.3C	1554	1305	0	0
BraA01g001240.3C	1638	1389	101.257	5.47469
BraA01g001250.3C	1269	1020	37	2.72419
BraA01g001260.3C	741	492	52	7.93732
BraA01g001270.3C	1125	876	20	1.7146
BraA01g001280.3C	1845	1596	100	4.70547
BraA01g001290.3C	1602	1353	181	10.0465
BraA01g001300.3C	1125	876	133	11.4021
BraA01g001310.3C	1218	969	14	1.08503
BraA01g001320.3C	1365	1116	19	1.27857
BraA01g001330.3C	1359	1110	191	12.9225
BraA01g001340.3C	687	438	98.6431	16.9133
BraA01g001350.3C	516	267	0	0
BraA01g001360.3C	981	732	215	22.0579
BraA01g001370.3C	1599	1350	44	2.44768
