target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	2	0.184426
BraA01g000020.3C	1668	1419	93.4322	6.10201
BraA01g000030.3C	957	708	1	0.130896
BraA01g000040.3C	1299	1050	367.473	32.4336
BraA01g000050.3C	774	525	12	2.11827
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	30	4.95584
BraA01g000080.3C	891	642	149	21.5085
BraA01g000090.3C	1707	1458	245.514	15.6055
BraA01g000100.3C	357	108.433	7.57195	6.47153
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	3	0.201029
BraA01g000170.3C	1950	1701	460	25.0618
BraA01g000180.3C	963	714	7	0.908571
BraA01g000190.3C	2436	2187	194	8.22076
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	6	0.471624
BraA01g000240.3C	1617	1368	62	4.20015
BraA01g000250.3C	720	471	3	0.590282
BraA01g000260.3C	2454	2205	565.055	23.7488
BraA01g000270.3C	1104	855	459	49.7514
BraA01g000280.3C	339	91.3223	1	1.0148
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	55	4.96792
BraA01g000320.3C	1035	786	360	42.4462
BraA01g000330.3C	327	80.5083	106.733	122.862
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1691	652.967
BraA01g000360.3C	297	56.934	7	11.3942
BraA01g000370.3C	426	177.001	10	5.2358
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	845	27.1626
BraA01g000400.3C	345	96.9308	0	0
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	188	22.9549
BraA01g000430.3C	3585	3336	219.535	6.0987
BraA01g000440.3C	510	261	8	2.84059
BraA01g000450.3C	9402	9153	200	2.025
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	784.66	84.4573
BraA01g000480.3C	897	648	112	16.0178
BraA01g000490.3C	1152	903	29	2.97625
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	2	4.04708
BraA01g000530.3C	3666	3417	711.138	19.2871
BraA01g000540.3C	1416	1167	8	0.635299
BraA01g000550.3C	1722	1473	6	0.377492
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	130	8.19568
BraA01g000580.3C	1431	1182	904.844	70.9439
BraA01g000590.3C	1713	1464	105	6.64671
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	4	0.929065
BraA01g000620.3C	477	228	61	24.7944
BraA01g000630.3C	687	438	3	0.634755
BraA01g000640.3C	873	624	85	12.6239
BraA01g000650.3C	810	561	6	0.991168
BraA01g000660.3C	1038	789	66.3158	7.78931
BraA01g000670.3C	831	582	57.7545	9.19648
BraA01g000680.3C	2286	2037	72	3.27567
BraA01g000690.3C	366	117.23	92	72.7291
BraA01g000700.3C	1533	1284	576	41.5735
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	627.553	51.2856
BraA01g000730.3C	963	714	465	60.355
BraA01g000740.3C	864	615	11	1.65759
BraA01g000750.3C	540	291	617	196.495
BraA01g000760.3C	705	456	28	5.69052
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	90	9.62016
BraA01g000790.3C	882	633	44.9486	6.58068
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
BraA01g000820.3C	939	690	0	0
BraA01g000830.3C	1623	1374	290	19.5601
BraA01g000840.3C	1590	1341	176	12.1631
BraA01g000850.3C	1557	1308	961	68.0886
BraA01g000860.3C	672	423	190	41.6267
BraA01g000870.3C	819	570	68	11.0559
BraA01g000880.3C	1044	795	303	35.3211
BraA01g000890.3C	1761	1512	51	3.12592
BraA01g000900.3C	411	162.005	1039	594.357
BraA01g000910.3C	276	44.1722	218.5	458.418
BraA01g000920.3C	276	44.1722	218.5	458.418
BraA01g000930.3C	510	261	5.5	1.9529
BraA01g000940.3C	510	261	5.5	1.9529
BraA01g000950.3C	1794	1545	280.5	16.8253
BraA01g000960.3C	525	276	0	0
BraA01g000970.3C	525	276	0	0
BraA01g000980.3C	1794	1545	280.5	16.8253
BraA01g000990.3C	885	636	206.836	30.1389
BraA01g001000.3C	1077	828	40	4.47701
BraA01g001010.3C	432	183	259	131.161
BraA01g001020.3C	381	132.072	10	7.01695
BraA01g001030.3C	2094	1845	56	2.81288
BraA01g001040.3C	1242	993	130	12.1326
BraA01g001050.3C	1995	1746	0	0
BraA01g001060.3C	1017	768	5	0.603348
BraA01g001070.3C	729	480	0	0
BraA01g001080.3C	1074	825	40	4.49329
BraA01g001090.3C	1263	1014	88	8.04273
BraA01g001100.3C	690	441	43	9.03626
BraA01g001110.3C	1554	1305	12	0.852177
BraA01g001120.3C	1398	1149	55	4.4361
BraA01g001130.3C	2049	1800	1642.88	84.5846
BraA01g001140.3C	1146	897	64	6.61221
BraA01g001150.3C	2010	1761	1592	83.7804
BraA01g001160.3C	1005	756	0	0
BraA01g001170.3C	1011	762	2	0.243239
BraA01g001180.3C	1848	1599	121	7.01287
BraA01g001190.3C	369	120.184	0	0
BraA01g001200.3C	849	600	17.2774	2.66862
BraA01g001210.3C	918	669	12	1.66232
BraA01g001220.3C	1410	1161	1	0.0798227
BraA01g001230.3C	1554	1305	0	0
BraA01g001240.3C	1638	1389	142.837	9.53007
BraA01g001250.3C	1269	1020	32	2.90743
BraA01g001260.3C	741	492	54	10.1716
BraA01g001270.3C	1125	876	15	1.58689
BraA01g001280.3C	1845	1596	139	8.07125
BraA01g001290.3C	1602	1353	106	7.26051
BraA01g001300.3C	1125	876	51	5.39542
BraA01g001310.3C	1218	969	6	0.573834
BraA01g001320.3C	1365	1116	37	3.07253
BraA01g001330.3C	1359	1110	143	11.9391
BraA01g001340.3C	687	438	61.3174	12.9738
BraA01g001350.3C	516	267	0	0
BraA01g001360.3C	981	732	134	16.9649
BraA01g001370.3C	1599	1350	48	3.29508
BraA01g001380.3C	1443	1194	277	21.4998
BraA01g001390.3C	432	183	0	0
BraA01g001400.3C	3078	2829	121	3.9638
BraA01g001410.3C	537	288	520	167.328
BraA01g001420.3C	1587	1338	355	24.5884
BraA01g001430.3C	1086	837	555	61.4506
BraA01g001440.3C	1131	882	29	3.04711
BraA01g001450.3C	426	177.001	0	0
BraA01g001460.3C	1212	963	23	2.2134
BraA01g001470.3C	897	648	0	0
BraA01g001480.3C	1719	1470	0	0
BraA01g001490.3C	1506	1257	1433	105.65
BraA01g001500.3C	897	648	169	24.1697
BraA01g001510.3C	1764	1515	20	1.22342
BraA01g001520.3C	1512	1263	0	0
BraA01g001530.3C	1560	1311	116	8.20001
BraA01g001540.3C	1542	1293	9	0.645064
BraA01g001550.3C	519	270	131	44.9641
BraA01g001560.3C	264	38.2937	0	0
BraA01g001570.3C	258	35.7089	0	0
BraA01g001580.3C	969	720	723	93.0603
BraA01g001590.3C	987	738	274	34.4075
BraA01g001600.3C	231	26.552	0	0
BraA01g001610.3C	2286	2037	80	3.63963
BraA01g001620.3C	1125	876	93	9.8387
BraA01g001630.3C	1557	1308	555	39.3228
BraA01g001640.3C	588	339	31	8.47463
BraA01g001650.3C	210	21.6077	0	0
BraA01g001660.3C	483	234	0	0
BraA01g001670.3C	1296	1047	386.619	34.2212
BraA01g001680.3C	249	32.2352	29	83.3731
BraA01g001690.3C	1065	816	5	0.567857
BraA01g001700.3C	1065	816	3	0.340714
BraA01g001710.3C	300	59.0212	0	0
BraA01g001720.3C	1311	1062	154	13.4386
BraA01g001730.3C	1485	1236	822	61.6328
BraA01g001740.3C	861	612	169	25.5914
BraA01g001750.3C	1473	1224	233	17.6414
BraA01g001760.3C	1056	807	28	3.21546
BraA01g001770.3C	1239	990	1	0.0936103
BraA01g001780.3C	1146	897	3	0.309947
BraA01g001790.3C	1227	978	36	3.41132
BraA01g001800.3C	1650	1401	47	3.10898
BraA01g001810.3C	1557	1308	470	33.3004
BraA01g001820.3C	2541	2292	85	3.43687
BraA01g001830.3C	1161	912	82	8.33255
BraA01g001840.3C	972	723	0	0
BraA01g001850.3C	1464	1215	200	15.255
BraA01g001860.3C	774	525	11	1.94175
BraA01g001870.3C	1602	1353	8.02832	0.549903
BraA01g001880.3C	2058	1809	48	2.45902
BraA01g001890.3C	978	729	55	6.99188
BraA01g001900.3C	1002	753	0	0
BraA01g001910.3C	759	510	94	17.0811
BraA01g001920.3C	1278	1029	60	5.40374
BraA01g001930.3C	462	213	4	1.74036
BraA01g001940.3C	717	468	0	0
BraA01g001950.3C	528	279	3	0.996497
BraA01g001960.3C	1347	1098	84	7.08983
BraA01g001970.3C	2004	1755	13	0.686476
BraA01g001980.3C	2928	2679	485	16.7775
BraA01g001990.3C	996	747	4	0.496247
BraA01g002000.3C	1092	843	455	50.0199
BraA01g002010.3C	558	309	64.4224	19.3213
BraA01g002020.3C	1461	1212	15	1.14696
BraA01g002030.3C	912	663	171	23.9024
BraA01g002040.3C	1386	1137	0	0
BraA01g002050.3C	294	54.9123	0	0
BraA01g002060.3C	1932	1683	112	6.16727
BraA01g002070.3C	273	42.6101	1	2.17494
BraA01g002080.3C	654	405	27	6.17828
BraA01g002090.3C	942	693	60	8.02374
BraA01g002100.3C	627	378	3.38926	0.830945
BraA01g002110.3C	1374	1125	24	1.97705
BraA01g002120.3C	1209	960	1	0.0965356
BraA01g002130.3C	783	534	89	15.4457
BraA01g002140.3C	738	489	62	11.7501
BraA01g002150.3C	519	270	63	21.624
BraA01g002160.3C	2295	2046	1850	83.7963
BraA01g002170.3C	873	624	0	0
BraA01g002180.3C	672	423	0	0
BraA01g002190.3C	948	699	10	1.32581
BraA01g002200.3C	873	624	1	0.148516
BraA01g002210.3C	1800	1551	94	5.61662
BraA01g002220.3C	240	29.2001	11	34.9113
BraA01g002230.3C	2148	1899	32.0489	1.56404
BraA01g002240.3C	1122	873	106	11.2525
BraA01g002250.3C	3759	3510	2025	53.4659
BraA01g002260.3C	369	120.184	1	0.771101
BraA01g002270.3C	375	126.116	1	0.734831
BraA01g002280.3C	1113	864	53	5.68488
BraA01g002290.3C	1443	1194	2.04954	0.159078
BraA01g002300.3C	2496	2247	88.0793	3.6327
BraA01g002310.3C	1269	1020	76	6.90514
BraA01g002320.3C	891	642	201.921	29.1477
BraA01g002330.3C	486	237	13	5.08339
BraA01g002340.3C	1908	1659	402	22.4563
BraA01g002350.3C	1386	1137	5	0.407538
BraA01g002360.3C	2571	2322	1049	41.867
BraA01g002370.3C	3822	3573	86	2.23061
BraA01g002380.3C	765	516	8	1.43681
BraA01g002390.3C	1446	1197	66.0029	5.11008
BraA01g002400.3C	708	459	0	0
BraA01g002410.3C	360	111.352	11	9.15487
BraA01g002420.3C	1563	1314	445.489	31.4196
BraA01g002430.3C	2034	1785	1	0.0519183
BraA01g002440.3C	1614	1365	169	11.4739
BraA01g002450.3C	2970	2721	581	19.7882
BraA01g002460.3C	1116	867	4	0.427563
BraA01g002470.3C	3465	3216	1	0.0288166
BraA01g002480.3C	4440	4191	100	2.21127
BraA01g002490.3C	777	528	1426.01	250.292
BraA01g002500.3C	2436	2187	109	4.61888
BraA01g002510.3C	315	70.3986	0	0
BraA01g002520.3C	573	324	121	34.6098
BraA01g002530.3C	1395	1146	2	0.161735
BraA01g002540.3C	11577	11328	48	0.392687
BraA01g002550.3C	384	135.056	3	2.05857
BraA01g002560.3C	1716	1467	21	1.32662
BraA01g002570.3C	480	231	18	7.22137
BraA01g002580.3C	855	606	679	103.838
BraA01g002590.3C	915	666	35	4.87027
BraA01g002600.3C	267	39.6723	7	16.3519
BraA01g002610.3C	834	585	39	6.17828
BraA01g002620.3C	594	345	0	0
BraA01g002630.3C	954	705	71	9.33315
