target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	2	0.20445
BraA01g000020.3C	1668	1419	99.0917	7.17428
BraA01g000030.3C	957	708	1	0.145108
BraA01g000040.3C	1299	1050	309.183	30.2517
BraA01g000050.3C	774	525	20	3.91376
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	55	10.0722
BraA01g000080.3C	891	642	148	23.6838
BraA01g000090.3C	1707	1458	367.099	25.8672
BraA01g000100.3C	357	108.433	7.57195	7.17417
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	327	19.75
BraA01g000180.3C	963	714	22	3.16554
BraA01g000190.3C	2436	2187	199.931	9.39196
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	9	0.784247
BraA01g000240.3C	1617	1368	219	16.4468
BraA01g000250.3C	720	471	4	0.872495
BraA01g000260.3C	2454	2205	549.25	25.5909
BraA01g000270.3C	1104	855	319	38.3309
BraA01g000280.3C	339	91.3223	0	0
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	114	11.4151
BraA01g000320.3C	1035	786	296	38.6895
BraA01g000330.3C	327	80.5083	57.5808	73.4786
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	859	367.71
BraA01g000360.3C	297	56.934	4	7.21793
BraA01g000370.3C	426	177.001	8	4.64342
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	1197	42.6553
BraA01g000400.3C	345	96.9308	30	31.7968
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	137	18.544
BraA01g000430.3C	3585	3336	176	5.42014
BraA01g000440.3C	510	261	6	2.36175
BraA01g000450.3C	9402	9153	355	3.98464
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	551.639	65.8227
BraA01g000480.3C	897	648	244	38.6847
BraA01g000490.3C	1152	903	34	3.86825
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	1	2.24324
BraA01g000530.3C	3666	3417	534.683	16.0759
BraA01g000540.3C	1416	1167	7	0.616242
BraA01g000550.3C	1722	1473	18	1.25543
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	202	14.1175
BraA01g000580.3C	1431	1182	659.19	57.295
BraA01g000590.3C	1713	1464	83	5.82453
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	4	1.02994
BraA01g000620.3C	477	228	51	22.9805
BraA01g000630.3C	687	438	0	0
BraA01g000640.3C	873	624	95	15.6409
BraA01g000650.3C	810	561	13	2.3807
BraA01g000660.3C	1038	789	44.9779	5.8566
BraA01g000670.3C	831	582	59.8062	10.5572
BraA01g000680.3C	2286	2037	70	3.53046
BraA01g000690.3C	366	117.23	136	119.186
BraA01g000700.3C	1533	1284	373	29.8447
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	598	54.1766
BraA01g000730.3C	963	714	368	52.9509
BraA01g000740.3C	864	615	60	10.0231
BraA01g000750.3C	540	291	441.795	155.974
BraA01g000760.3C	705	456	42	9.46255
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	87	10.3092
BraA01g000790.3C	882	633	79	12.8217
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
