target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	6	0.527199
BraA01g000020.3C	1668	1419	74.3858	4.6291
BraA01g000030.3C	957	708	1	0.124726
BraA01g000040.3C	1299	1050	357.654	30.079
BraA01g000050.3C	774	525	14	2.35482
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	14	2.20371
BraA01g000080.3C	891	642	124	17.056
BraA01g000090.3C	1707	1458	291.245	17.6396
BraA01g000100.3C	357	108.433	45.4317	36.9989
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	1	0.141516
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	334	17.3393
BraA01g000180.3C	963	714	22	2.72091
BraA01g000190.3C	2436	2187	198	7.99477
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	9	0.674091
BraA01g000240.3C	1617	1368	76	4.90588
BraA01g000250.3C	720	471	1	0.187486
BraA01g000260.3C	2454	2205	478.269	19.1537
BraA01g000270.3C	1104	855	469	48.4391
BraA01g000280.3C	339	91.3223	1	0.96697
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	56.5355	4.8659
BraA01g000320.3C	1035	786	317	35.6144
BraA01g000330.3C	327	80.5083	80	87.7483
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1490	548.232
BraA01g000360.3C	297	56.934	4	6.20409
BraA01g000370.3C	426	177.001	12	5.98681
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	794	24.3201
BraA01g000400.3C	345	96.9308	8	7.28816
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	153	17.8008
BraA01g000430.3C	3585	3336	290	7.67647
BraA01g000440.3C	510	261	2	0.676673
BraA01g000450.3C	9402	9153	264	2.54701
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	601.056	61.6455
BraA01g000480.3C	897	648	133	18.1245
BraA01g000490.3C	1152	903	25	2.44479
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	1	1.92816
BraA01g000530.3C	3666	3417	786.829	20.3341
BraA01g000540.3C	1416	1167	21	1.58905
BraA01g000550.3C	1722	1473	12	0.719396
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	141	8.47015
BraA01g000580.3C	1431	1182	1051.18	78.5321
BraA01g000590.3C	1713	1464	91	5.48896
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	0	0
BraA01g000620.3C	477	228	33	12.7811
BraA01g000630.3C	687	438	0	0
BraA01g000640.3C	873	624	92	13.0195
BraA01g000650.3C	810	561	22	3.46297
BraA01g000660.3C	1038	789	50.9262	5.69972
BraA01g000670.3C	831	582	118	17.9039
BraA01g000680.3C	2286	2037	68	2.94786
BraA01g000690.3C	366	117.23	77	58.0018
BraA01g000700.3C	1533	1284	400	27.5096
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	911	70.9406
BraA01g000730.3C	963	714	470	58.1285
BraA01g000740.3C	864	615	35	5.02554
BraA01g000750.3C	540	291	603.824	183.234
BraA01g000760.3C	705	456	38	7.35882
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	108	11
BraA01g000790.3C	882	633	25.256	3.52331
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
BraA01g000820.3C	939	690	0	0
BraA01g000830.3C	1623	1374	174	11.1828
BraA01g000840.3C	1590	1341	164	10.7995
BraA01g000850.3C	1557	1308	1047	70.6852
BraA01g000860.3C	672	423	139	29.0178
BraA01g000870.3C	819	570	44	6.81659
BraA01g000880.3C	1044	795	300	33.323
BraA01g000890.3C	1761	1512	179	10.4542
BraA01g000900.3C	411	162.005	1133	617.578
BraA01g000910.3C	276	44.1722	238.5	476.792
BraA01g000920.3C	276	44.1722	238.5	476.792
BraA01g000930.3C	510	261	5	1.69168
BraA01g000940.3C	510	261	5	1.69168
BraA01g000950.3C	1794	1545	194	11.0882
BraA01g000960.3C	525	276	0	0
BraA01g000970.3C	525	276	0	0
BraA01g000980.3C	1794	1545	194	11.0882
BraA01g000990.3C	885	636	166	23.0484
BraA01g001000.3C	1077	828	98	10.4517
BraA01g001010.3C	432	183	383	184.815
BraA01g001020.3C	381	132.072	13	8.69206
BraA01g001030.3C	2094	1845	30	1.43587
BraA01g001040.3C	1242	993	112	9.95998
BraA01g001050.3C	1995	1746	1	0.0505761
BraA01g001060.3C	1017	768	8	0.919853
BraA01g001070.3C	729	480	0	0
BraA01g001080.3C	1074	825	35	3.74631
BraA01g001090.3C	1263	1014	111	9.66662
BraA01g001100.3C	690	441	72	14.4173
BraA01g001110.3C	1554	1305	11	0.744341
BraA01g001120.3C	1398	1149	54	4.15014
BraA01g001130.3C	2049	1800	1239.65	60.8157
BraA01g001140.3C	1146	897	78	7.67877
BraA01g001150.3C	2010	1761	1763	88.4061
BraA01g001160.3C	1005	756	0	0
BraA01g001170.3C	1011	762	5	0.579435
BraA01g001180.3C	1848	1599	108	5.96437
BraA01g001190.3C	369	120.184	0	0
BraA01g001200.3C	849	600	24.134	3.55196
BraA01g001210.3C	918	669	4	0.527987
BraA01g001220.3C	1410	1161	1	0.0760602
BraA01g001230.3C	1554	1305	0	0
BraA01g001240.3C	1638	1389	147.607	9.38413
BraA01g001250.3C	1269	1020	21	1.81806
BraA01g001260.3C	741	492	41	7.35882
BraA01g001270.3C	1125	876	21	2.11692
BraA01g001280.3C	1845	1596	92	5.09031
BraA01g001290.3C	1602	1353	181.3	11.8329
BraA01g001300.3C	1125	876	87	8.7701
BraA01g001310.3C	1218	969	1	0.0911309
BraA01g001320.3C	1365	1116	10	0.791271
BraA01g001330.3C	1359	1110	59	4.69373
BraA01g001340.3C	687	438	64.6328	13.0307
BraA01g001350.3C	516	267	0	0
BraA01g001360.3C	981	732	127	15.3208
