target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	6	0.583476
BraA01g000020.3C	1668	1419	77.4069	5.33132
BraA01g000030.3C	957	708	0	0
BraA01g000040.3C	1299	1050	334.709	31.1542
BraA01g000050.3C	774	525	27	5.02623
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	21	3.65843
BraA01g000080.3C	891	642	104	15.832
BraA01g000090.3C	1707	1458	178.818	11.9865
BraA01g000100.3C	357	108.433	37.8597	34.1237
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	364	20.9139
BraA01g000180.3C	963	714	22	3.01136
BraA01g000190.3C	2436	2187	211	9.42913
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	14	1.16052
BraA01g000240.3C	1617	1368	87	6.21543
BraA01g000250.3C	720	471	4	0.829998
BraA01g000260.3C	2454	2205	423.342	18.7638
BraA01g000270.3C	1104	855	485.238	55.4659
BraA01g000280.3C	339	91.3223	1	1.07019
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	66	6.28687
BraA01g000320.3C	1035	786	360	44.7629
BraA01g000330.3C	327	80.5083	70	84.9758
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1573	640.553
BraA01g000360.3C	297	56.934	6	10.2995
BraA01g000370.3C	426	177.001	8	4.41725
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	845	28.6451
BraA01g000400.3C	345	96.9308	3	3.02481
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	138	17.7695
BraA01g000430.3C	3585	3336	235	6.88461
BraA01g000440.3C	510	261	2	0.748906
BraA01g000450.3C	9402	9153	322	3.43819
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	789.514	89.6179
BraA01g000480.3C	897	648	159	23.9806
BraA01g000490.3C	1152	903	28	3.03046
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	0	0
BraA01g000530.3C	3666	3417	662.344	18.9442
BraA01g000540.3C	1416	1167	9	0.753719
BraA01g000550.3C	1722	1473	6	0.398095
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	119	7.91166
BraA01g000580.3C	1431	1182	1112.4	91.9771
BraA01g000590.3C	1713	1464	90	6.00813
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	6	1.46966
BraA01g000620.3C	477	228	41	17.5747
BraA01g000630.3C	687	438	3	0.669399
BraA01g000640.3C	873	624	62	9.71057
BraA01g000650.3C	810	561	3	0.522632
BraA01g000660.3C	1038	789	89	11.0243
BraA01g000670.3C	831	582	110.32	18.5254
BraA01g000680.3C	2286	2037	65	3.1186
BraA01g000690.3C	366	117.23	75	62.526
BraA01g000700.3C	1533	1284	413	31.4357
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	618	53.2615
BraA01g000730.3C	963	714	541	74.052
BraA01g000740.3C	864	615	45	7.15114
BraA01g000750.3C	540	291	658.869	221.281
BraA01g000760.3C	705	456	31	6.64408
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	112	12.6252
BraA01g000790.3C	882	633	38	5.86702
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
BraA01g000820.3C	939	690	0	0
BraA01g000830.3C	1623	1374	186	13.2301
BraA01g000840.3C	1590	1341	163	11.8795
BraA01g000850.3C	1557	1308	1122	83.8345
BraA01g000860.3C	672	423	139	32.1153
BraA01g000870.3C	819	570	53	9.08738
BraA01g000880.3C	1044	795	429	52.7385
BraA01g000890.3C	1761	1512	161	10.4067
BraA01g000900.3C	411	162.005	1601	965.832
BraA01g000910.3C	276	44.1722	214.5	474.587
BraA01g000920.3C	276	44.1722	214.5	474.587
BraA01g000930.3C	510	261	5.5	2.05949
BraA01g000940.3C	510	261	5.5	2.05949
BraA01g000950.3C	1794	1545	196.5	12.43
BraA01g000960.3C	525	276	0	0
BraA01g000970.3C	525	276	0	0
BraA01g000980.3C	1794	1545	196.5	12.43
BraA01g000990.3C	885	636	250	38.4168
BraA01g001000.3C	1077	828	61	7.20008
BraA01g001010.3C	432	183	161	85.9828
BraA01g001020.3C	381	132.072	8	5.91994
BraA01g001030.3C	2094	1845	42	2.2248
BraA01g001040.3C	1242	993	120	11.8105
BraA01g001050.3C	1995	1746	2	0.11195
BraA01g001060.3C	1017	768	4	0.509022
BraA01g001070.3C	729	480	0	0
BraA01g001080.3C	1074	825	40	4.73853
BraA01g001090.3C	1263	1014	84	8.09616
BraA01g001100.3C	690	441	56	12.4104
BraA01g001110.3C	1554	1305	46	3.44497
BraA01g001120.3C	1398	1149	62	5.27363
BraA01g001130.3C	2049	1800	1214.19	65.9254
BraA01g001140.3C	1146	897	68	7.40891
BraA01g001150.3C	2010	1761	1260	69.9277
BraA01g001160.3C	1005	756	0	0
BraA01g001170.3C	1011	762	4	0.51303
BraA01g001180.3C	1848	1599	102	6.23433
BraA01g001190.3C	369	120.184	0	0
BraA01g001200.3C	849	600	28.93	4.71232
BraA01g001210.3C	918	669	10	1.46087
BraA01g001220.3C	1410	1161	1	0.0841794
BraA01g001230.3C	1554	1305	0	0
BraA01g001240.3C	1638	1389	84	5.91037
BraA01g001250.3C	1269	1020	22	2.10795
BraA01g001260.3C	741	492	66	13.1104
BraA01g001270.3C	1125	876	38	4.23953
BraA01g001280.3C	1845	1596	98	6.0011
BraA01g001290.3C	1602	1353	130	9.39038
BraA01g001300.3C	1125	876	86	9.59472
BraA01g001310.3C	1218	969	10	1.00859
BraA01g001320.3C	1365	1116	15	1.31361
BraA01g001330.3C	1359	1110	99	8.71666
BraA01g001340.3C	687	438	38.8089	8.65954
BraA01g001350.3C	516	267	1	0.366038
BraA01g001360.3C	981	732	154	20.5612
BraA01g001370.3C	1599	1350	68	4.92281
BraA01g001380.3C	1443	1194	179	14.6516
BraA01g001390.3C	432	183	0	0
BraA01g001400.3C	3078	2829	141	4.87107
BraA01g001410.3C	537	288	549	186.302
BraA01g001420.3C	1587	1338	284	20.7444
BraA01g001430.3C	1086	837	513	59.9004
BraA01g001440.3C	1131	882	30	3.32423
BraA01g001450.3C	426	177.001	0	0
BraA01g001460.3C	1212	963	24	2.43569
BraA01g001470.3C	897	648	0	0
BraA01g001480.3C	1719	1470	0	0
BraA01g001490.3C	1506	1257	2195	170.662
BraA01g001500.3C	897	648	208	31.3708
BraA01g001510.3C	1764	1515	4	0.258039
BraA01g001520.3C	1512	1263	0	0
BraA01g001530.3C	1560	1311	103.753	7.73455
BraA01g001540.3C	1542	1293	7	0.529099
BraA01g001550.3C	519	270	116	41.9887
BraA01g001560.3C	264	38.2937	0	0
BraA01g001570.3C	258	35.7089	0	0
BraA01g001580.3C	969	720	597	81.0363
BraA01g001590.3C	987	738	236	31.2531
BraA01g001600.3C	231	26.552	0	0
BraA01g001610.3C	2286	2037	82	3.93424
BraA01g001620.3C	1125	876	60	6.69399
BraA01g001630.3C	1557	1308	559	41.7678
BraA01g001640.3C	588	339	49	14.1265
