target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	5	0.617398
BraA01g000020.3C	1668	1419	93.4807	8.17525
BraA01g000030.3C	957	708	1	0.175278
BraA01g000040.3C	1299	1050	311.19	36.7789
BraA01g000050.3C	774	525	18	4.25476
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	55	12.1664
BraA01g000080.3C	891	642	158	30.541
BraA01g000090.3C	1707	1458	769.147	65.4656
BraA01g000100.3C	357	108.433	45.4317	51.9949
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	268	19.552
BraA01g000180.3C	963	714	36	6.25699
BraA01g000190.3C	2436	2187	192	10.8947
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	5	0.526281
BraA01g000240.3C	1617	1368	52	4.71714
BraA01g000250.3C	720	471	3	0.790427
BraA01g000260.3C	2454	2205	475.995	26.7889
BraA01g000270.3C	1104	855	247	35.8503
BraA01g000280.3C	339	91.3223	0	0
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	97	11.7324
BraA01g000320.3C	1035	786	301	47.5232
BraA01g000330.3C	327	80.5083	44	67.8224
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	771	398.662
BraA01g000360.3C	297	56.934	3	6.539
BraA01g000370.3C	426	177.001	6	4.20666
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	453	19.4991
BraA01g000400.3C	345	96.9308	2	2.56053
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	91	14.8786
BraA01g000430.3C	3585	3336	252	9.37424
BraA01g000440.3C	510	261	2	0.950935
BraA01g000450.3C	9402	9153	350	4.74533
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	495.749	71.4529
BraA01g000480.3C	897	648	113	21.6404
BraA01g000490.3C	1152	903	26	3.57312
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	0	0
BraA01g000530.3C	3666	3417	496.208	18.0211
BraA01g000540.3C	1416	1167	11	1.16972
BraA01g000550.3C	1722	1473	1	0.0842478
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	93	7.85104
BraA01g000580.3C	1431	1182	1231	129.241
BraA01g000590.3C	1713	1464	62	5.25548
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	3	0.93306
BraA01g000620.3C	477	228	33	17.9614
