target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	2	0.193279
BraA01g000020.3C	1668	1419	116.736	7.98991
BraA01g000030.3C	957	708	0	0
BraA01g000040.3C	1299	1050	384.481	35.5636
BraA01g000050.3C	774	525	23	4.25489
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	91	15.7543
BraA01g000080.3C	891	642	179	27.0793
BraA01g000090.3C	1707	1458	277.247	18.4684
BraA01g000100.3C	357	108.433	0	0
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	419	23.9238
BraA01g000180.3C	963	714	36	4.89694
BraA01g000190.3C	2436	2187	136	6.03963
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	7	0.576639
BraA01g000240.3C	1617	1368	90	6.38964
BraA01g000250.3C	720	471	4	0.82482
BraA01g000260.3C	2454	2205	462.82	20.3856
BraA01g000270.3C	1104	855	160.072	18.1831
BraA01g000280.3C	339	91.3223	0	0
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	1	0.483197
BraA01g000310.3C	1275	1026	122	11.5487
BraA01g000320.3C	1035	786	353.946	43.7356
BraA01g000330.3C	327	80.5083	50	60.3184
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	774	313.22
BraA01g000360.3C	297	56.934	3	5.11764
BraA01g000370.3C	426	177.001	17	9.32811
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	850	28.6348
BraA01g000400.3C	345	96.9308	1	1.00198
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	107	13.6919
BraA01g000430.3C	3585	3336	189.435	5.51511
BraA01g000440.3C	510	261	1	0.372117
BraA01g000450.3C	9402	9153	350	3.71385
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	686.33	77.4195
BraA01g000480.3C	897	648	184	27.578
BraA01g000490.3C	1152	903	45	4.84
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	0	0
BraA01g000530.3C	3666	3417	730.78	20.7712
BraA01g000540.3C	1416	1167	12	0.99869
BraA01g000550.3C	1722	1473	6	0.395611
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	87	5.74807
BraA01g000580.3C	1431	1182	1598.17	131.318
BraA01g000590.3C	1713	1464	101	6.7004
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	2	0.48683
BraA01g000620.3C	477	228	76	32.3742
BraA01g000630.3C	687	438	0	0
BraA01g000640.3C	873	624	113	17.5879
BraA01g000650.3C	810	561	78	13.5037
BraA01g000660.3C	1038	789	38	4.67764
BraA01g000670.3C	831	582	189.553	31.6321
BraA01g000680.3C	2286	2037	100	4.76792
BraA01g000690.3C	366	117.23	197	163.21
BraA01g000700.3C	1533	1284	314	23.7512
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	504	43.1656
BraA01g000730.3C	963	714	396	53.8663
BraA01g000740.3C	864	615	65	10.265
BraA01g000750.3C	540	291	453.821	151.465
BraA01g000760.3C	705	456	25	5.3247
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	167	18.7076
BraA01g000790.3C	882	633	50	7.67161
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
BraA01g000820.3C	939	690	0	0
BraA01g000830.3C	1623	1374	487	34.4241
BraA01g000840.3C	1590	1341	208	15.0645
BraA01g000850.3C	1557	1308	583	43.2893
BraA01g000860.3C	672	423	132	30.3078
BraA01g000870.3C	819	570	62	10.5642
BraA01g000880.3C	1044	795	450	54.975
BraA01g000890.3C	1761	1512	106	6.80886
BraA01g000900.3C	411	162.005	1305	782.354
BraA01g000910.3C	276	44.1722	165	362.79
BraA01g000920.3C	276	44.1722	165	362.79
BraA01g000930.3C	510	261	5	1.86059
BraA01g000940.3C	510	261	5	1.86059
BraA01g000950.3C	1794	1545	323	20.3046
BraA01g000960.3C	525	276	0	0
BraA01g000970.3C	525	276	0	0
BraA01g000980.3C	1794	1545	323	20.3046
BraA01g000990.3C	885	636	164	25.0442
BraA01g001000.3C	1077	828	39	4.57461
BraA01g001010.3C	432	183	45	23.8825
BraA01g001020.3C	381	132.072	54	39.7104
BraA01g001030.3C	2094	1845	35	1.84243
BraA01g001040.3C	1242	993	142	13.8886
