target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	2	0.288737
BraA01g000020.3C	1668	1419	46.2755	4.7316
BraA01g000030.3C	957	708	0	0
BraA01g000040.3C	1299	1050	218.384	30.1766
BraA01g000050.3C	774	525	28	7.73816
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	29	7.50022
BraA01g000080.3C	891	642	103	23.2778
BraA01g000090.3C	1707	1458	123.007	12.2409
BraA01g000100.3C	357	108.433	15.1439	20.2636
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	3	5.97495
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	283	24.1391
BraA01g000180.3C	963	714	15	3.04812
BraA01g000190.3C	2436	2187	156	10.3494
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	1	0.123062
BraA01g000240.3C	1617	1368	46	4.87878
BraA01g000250.3C	720	471	3	0.924144
BraA01g000260.3C	2454	2205	392.161	25.8045
BraA01g000270.3C	1104	855	677.946	115.045
BraA01g000280.3C	339	91.3223	0	0
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	2	1.44369
BraA01g000310.3C	1275	1026	65	9.1919
BraA01g000320.3C	1035	786	302	55.7473
BraA01g000330.3C	327	80.5083	55	99.12
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	913	551.949
BraA01g000360.3C	297	56.934	4	10.1936
BraA01g000370.3C	426	177.001	11	9.01688
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	596	29.9944
BraA01g000400.3C	345	96.9308	2	2.99369
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	141	26.9536
BraA01g000430.3C	3585	3336	231	10.0467
BraA01g000440.3C	510	261	1	0.555902
BraA01g000450.3C	9402	9153	236	3.741
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	484.093	81.5764
BraA01g000480.3C	897	648	100	22.3905
BraA01g000490.3C	1152	903	15	2.41014
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	0	0
BraA01g000530.3C	3666	3417	681.157	28.9229
BraA01g000540.3C	1416	1167	12	1.49193
BraA01g000550.3C	1722	1473	6	0.591
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	80	7.89608
BraA01g000580.3C	1431	1182	692.213	84.9692
BraA01g000590.3C	1713	1464	68	6.73918
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	1	0.363635
BraA01g000620.3C	477	228	48	30.5454
BraA01g000630.3C	687	438	2	0.662514
BraA01g000640.3C	873	624	67	15.5786
BraA01g000650.3C	810	561	3	0.775885
BraA01g000660.3C	1038	789	54	9.93015
BraA01g000670.3C	831	582	47	11.7169
BraA01g000680.3C	2286	2037	39	2.77787
BraA01g000690.3C	366	117.23	61	75.4971
BraA01g000700.3C	1533	1284	280	31.6397
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	350	44.781
BraA01g000730.3C	963	714	326	66.2458
BraA01g000740.3C	864	615	18	4.24655
BraA01g000750.3C	540	291	275.658	137.441
