target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	1	0.0980936
BraA01g000020.3C	1668	1419	92.0095	6.3923
BraA01g000030.3C	957	708	0	0
BraA01g000040.3C	1299	1050	290.914	27.3138
BraA01g000050.3C	774	525	22	4.13114
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	67	11.7739
BraA01g000080.3C	891	642	143	21.9587
BraA01g000090.3C	1707	1458	480.079	32.461
BraA01g000100.3C	357	108.433	7.57195	6.88421
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	320	18.5461
BraA01g000180.3C	963	714	28	3.86604
BraA01g000190.3C	2436	2187	278	12.5315
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	7	0.585317
BraA01g000240.3C	1617	1368	69	4.97244
BraA01g000250.3C	720	471	1	0.209308
BraA01g000260.3C	2454	2205	561.383	25.0991
BraA01g000270.3C	1104	855	267.136	30.8016
BraA01g000280.3C	339	91.3223	6	6.47711
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	130	12.4912
BraA01g000320.3C	1035	786	312	39.1326
BraA01g000330.3C	327	80.5083	65	79.5938
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	952	391.05
BraA01g000360.3C	297	56.934	3	5.19465
BraA01g000370.3C	426	177.001	21	11.6963
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	488	16.6871
BraA01g000400.3C	345	96.9308	1	1.01706
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	117	15.1967
BraA01g000430.3C	3585	3336	283	8.36309
BraA01g000440.3C	510	261	9	3.39945
BraA01g000450.3C	9402	9153	412	4.43752
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	560.238	64.147
BraA01g000480.3C	897	648	140	21.299
BraA01g000490.3C	1152	903	36	3.93026
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	0	0
BraA01g000530.3C	3666	3417	872.852	25.1827
BraA01g000540.3C	1416	1167	14	1.18267
BraA01g000550.3C	1722	1473	4	0.26771
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	79	5.29805
BraA01g000580.3C	1431	1182	899.691	75.0382
BraA01g000590.3C	1713	1464	101	6.80122
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	4	0.988311
BraA01g000620.3C	477	228	78	33.7261
BraA01g000630.3C	687	438	1	0.225078
BraA01g000640.3C	873	624	154	24.33
BraA01g000650.3C	810	561	0	0
BraA01g000660.3C	1038	789	180	22.4907
BraA01g000670.3C	831	582	91.4326	15.4876
BraA01g000680.3C	2286	2037	58	2.80701
BraA01g000690.3C	366	117.23	114	95.8678
BraA01g000700.3C	1533	1284	380.25	29.1951
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	862	74.9378
BraA01g000730.3C	963	714	284	39.2127
BraA01g000740.3C	864	615	23	3.68688
BraA01g000750.3C	540	291	453.551	153.652
BraA01g000760.3C	705	456	21	4.54005
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	97.1446	11.046
BraA01g000790.3C	882	633	25	3.89352
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
BraA01g000820.3C	939	690	0	0
BraA01g000830.3C	1623	1374	67	4.80723
BraA01g000840.3C	1590	1341	303	22.2751
BraA01g000850.3C	1557	1308	902	67.9838
BraA01g000860.3C	672	423	154	35.8911
BraA01g000870.3C	819	570	44	7.61
BraA01g000880.3C	1044	795	475	58.9024
BraA01g000890.3C	1761	1512	136	8.86735
BraA01g000900.3C	411	162.005	1380	839.766
BraA01g000910.3C	276	44.1722	145.5	324.729
BraA01g000920.3C	276	44.1722	145.5	324.729
BraA01g000930.3C	510	261	1	0.377717
BraA01g000940.3C	510	261	1	0.377717
BraA01g000950.3C	1794	1545	331	21.1206
BraA01g000960.3C	525	276	0	0
BraA01g000970.3C	525	276	0	0
BraA01g000980.3C	1794	1545	331	21.1206
