target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	2	0.269841
BraA01g000020.3C	1668	1419	94.6554	9.04497
BraA01g000030.3C	957	708	0	0
BraA01g000040.3C	1299	1050	209.418	27.0438
BraA01g000050.3C	774	525	20	5.16553
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	62	14.9856
BraA01g000080.3C	891	642	147	31.0475
BraA01g000090.3C	1707	1458	1347.39	125.308
BraA01g000100.3C	357	108.433	0	0
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	231	18.4141
BraA01g000180.3C	963	714	20	3.79818
BraA01g000190.3C	2436	2187	116	7.19206
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	2	0.230017
BraA01g000240.3C	1617	1368	57	5.64979
BraA01g000250.3C	720	471	1	0.287888
BraA01g000260.3C	2454	2205	372.295	22.894
BraA01g000270.3C	1104	855	419.25	66.4891
BraA01g000280.3C	339	91.3223	4	5.93919
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	128	16.9163
BraA01g000320.3C	1035	786	285	49.1662
BraA01g000330.3C	327	80.5083	39.1579	65.9511
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	772	436.164
BraA01g000360.3C	297	56.934	4	9.52648
BraA01g000370.3C	426	177.001	21	16.0875
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	605	28.4547
BraA01g000400.3C	345	96.9308	6	8.39331
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	88	15.7212
BraA01g000430.3C	3585	3336	216	8.77954
BraA01g000440.3C	510	261	4	2.07809
BraA01g000450.3C	9402	9153	355	5.25907
BraA01g000460.3C	1512	1263	3	0.322079
BraA01g000470.3C	1110	861	540.36	85.0988
BraA01g000480.3C	897	648	109	22.8084
BraA01g000490.3C	1152	903	24	3.60386
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	0	0
BraA01g000530.3C	3666	3417	646.825	25.6676
BraA01g000540.3C	1416	1167	12	1.39429
BraA01g000550.3C	1722	1473	1	0.0920537
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	49	4.51984
BraA01g000580.3C	1431	1182	953.253	109.354
BraA01g000590.3C	1713	1464	69	6.39075
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	4	1.35935
BraA01g000620.3C	477	228	38	22.5992
BraA01g000630.3C	687	438	2	0.619156
BraA01g000640.3C	873	624	77	16.7321
