target_id	length	eff_length	est_counts	tpm
AT1G50920.1	2394	2145	2583	112.015
AT1G36960.1	546	297	0	0
AT1G44020.1	2314	2065	10	0.450465
AT1G15970.1	1658	1409	194	12.8077
AT1G73440.1	1453	1204	106	8.18955
AT1G75120.1	1520	1271	39	2.8543
AT1G17600.1	3332	3083	52	1.56896
AT1G50860.1	3846	3597	0	0
AT1G51380.1	1452	1203	78	6.03128
AT1G77370.1	620	371	702	176.013
AT1G44090.1	1158	909	0	0
AT1G10950.1	2245	1996	2337	108.913
AT1G31870.1	2134	1885	313	15.4459
AT1G51360.1	717	468	73	14.5097
AT1G14940.1	757	508	0	0
AT1G50950.1	1782	1533	35	2.12377
AT1G75110.1	1568	1319	30	2.11572
AT1G17400.1	1477	1228	10	0.7575
AT1G50930.1	790	541	18	3.09497
AT1G17390.1	1024	775	0	0
AT1G09400.1	1182	933	18	1.79462
AT1G09415.1	655	406	176	40.3244
AT1G74730.1	891	642	60	8.69355
AT1G75100.1	2279	2030	70	3.20762
AT1G75240.1	1608	1359	0	0
AT1G14920.1	2129	1880	342	16.9219
AT1G65510.1	480	231	294	118.39
AT1G75250.1	381	132.072	5	3.52161
AT1G54410.1	728	479	20201	3923
AT1G09410.1	2118	1869	31	1.54288
AT1G54420.1	363	114.285	0	0
AT1G54430.1	4920	4671	0	0
AT1G75090.1	1303	1054	46	4.05974
AT1G36950.1	681	432	12	2.58392
AT1G50940.1	1389	1140	263	21.4601
AT1G14930.1	719	470	0	0
AT1G65970.1	737	488	1837.9	350.335
AT1G17410.1	795	546	100	17.0368
AT1G31880.1	1574	1325	36.5616	2.56679
AT1G77320.1	3383	3134	238	7.06413
AT1G77500.1	3158	2909	622	19.8897
AT1G51320.1	1128	879	0	0
AT1G43990.1	3294	3045	0	0
AT1G74770.1	3904	3655	832	21.1747
AT1G75080.1	1563	1314	494	34.9714
AT1G14890.1	944	695	382	51.1281
AT1G51330.1	582	333	1	0.279342
AT1G80350.1	1932	1683	434	23.9876
AT1G14900.1	1025	776	767	91.9421
AT1G15960.1	2137	1888	41.0255	2.02131
AT1G14980.1	690	441	1963	414.059
AT1G14910.1	2413	2164	656	28.1986
AT1G44100.1	2151	1902	444	21.7147
AT1G42450.1	3260	3011	0	0
AT1G15000.1	1471	1222	260	19.7917
AT1G31850.1	2324	2075	1693	75.8961
AT1G79210.1	1061	812	655	75.0354
AT1G67160.1	1353	1104	4	0.337032
AT1G42350.1	7480	7231	71.6653	0.921917
AT1G20960.1	7013	6764	3486	47.9407
AT1G74780.1	1976	1727	173	9.31826
AT1G65620.1	1381	1132	6	0.493044
AT1G12680.1	1933	1684	392	21.6533
AT1G74790.1	2458	2209	533	22.4446
AT1G77510.1	1798	1549	932	55.9687
AT1G43980.1	1866	1617	25	1.43817
AT1G77300.1	5791	5542	966	16.214
AT1G80340.1	1083	834	27	3.01147
AT1G65985.1	1456	1207	284	21.8873
AT1G43995.1	494	245	0	0
AT1G51340.2	1870	1621	75	4.30387
AT1G31860.1	1065	816	333	37.9608
AT1G73450.1	3721	3472	255.289	6.83963
AT1G21070.1	1663	1414	112	7.368
AT1G51350.1	2441	2192	310	13.1553
AT1G14950.1	845	596	0	0
AT1G09440.1	1593	1344	105	7.26726
AT1G09390.1	1341	1092	131	11.1591
AT1G22840.1	730	481	2006	387.942
AT1G09430.1	1838	1589	1614	94.4845
AT1G44010.1	778	529	4	0.703372
AT1G80360.1	1492	1243	1414	105.818
AT1G73445.1	735	486	11	2.10541
AT1G74720.1	3757	3508	482	12.7811
AT1G65980.1	890	641	7143.72	1036.69
AT1G44000.1	1108	859	109	11.8036
AT1G65940.1	450	201	0	0
AT1G75260.1	1633	1384	46	3.09174
AT1G31900.1	258	35.7089	0	0
AT1G14970.1	1825	1576	176	10.3881
AT1G42320.1	4574	4325	0	0
AT1G14960.1	688	439	28	5.933
AT1G12670.1	305	62.6432	0	0
AT1G73460.1	3703	3454	679.711	18.3056
AT1G09450.1	2096	1847	62	3.12252
AT1G51355.1	750	501	28	5.19878
AT1G36750.1	1078	829	0	0
AT1G12660.1	414	165.003	0	0
AT1G75130.1	1660	1411	354	23.3376
AT1G21120.1	1358	1109	178.637	14.9838
AT1G09740.1	843	594	1999	313.045
AT1G21110.1	1385	1136	684.78	56.073
AT1G50900.1	793	544	107.551	18.3906
AT1G37000.1	660	411	0	0
AT1G77330.1	1239	990	2908	273.237
AT1G80400.1	1747	1498	249	15.4621
AT1G74740.1	2047	1798	627	32.4383
AT1G17370.1	1772	1523	1089	66.5133
AT1G09750.1	1578	1329	527	36.8864
AT1G75220.1	1944	1695	1280	70.2459
AT1G65560.1	1399	1150	72	5.82392
AT1G65570.1	1194	945	208	20.4745
AT1G49660.1	1103	854	642	69.9291
AT1G36680.1	1123	874	4	0.425725
AT1G21100.1	1384	1135	1290.68	105.78
AT1G29020.1	1695	1446	197	12.673
AT1G42310.1	1598	1349	0	0
AT1G77310.1	2480	2231	100	4.16947
AT1G44075.1	267	39.6723	0	0
AT1G12610.1	1074	825	39	4.39735
AT1G70820.1	2154	1905	0	0
AT1G70790.2	872	623	152	22.6953
AT1G12640.1	1795	1546	719	43.2614
AT1G12620.1	2407	2158	72.6488	3.13154
AT1G12630.1	587	338	3	0.82563
AT1G65610.1	2115	1866	436	21.7348
AT1G75170.1	1294	1045	362.883	32.3021
AT1G49680.1	300	59.0212	0	0
AT1G50880.1	840	591	0	0
AT1G36675.1	807	558	8	1.33363
AT1G23180.1	2978	2729	239	8.14658
AT1G09770.1	2934	2685	2991	103.622
AT1G75200.1	2279	2030	450	20.6204
AT1G80390.1	540	291	0	0
AT1G74750.1	2568	2319	155	6.21744
AT1G75210.1	2274	2025	304	13.9646
AT1G44080.1	1044	795	0	0
AT1G65585.1	836	587	0	0
AT1G21140.1	899	650	172	24.6148
AT1G09780.1	1911	1662	3375	188.896
AT1G09790.1	1451	1202	0	0
AT1G09760.1	1190	941	691	68.3076
AT1G75190.1	846	597	125	19.4768
AT1G49730.1	2237	1988	173	8.09488
AT1G79220.1	1591	1342	46	3.1885
AT1G50870.1	1191	942	0	0
AT1G65590.1	1922	1673	748	41.5898
AT1G75180.1	1543	1294	386	27.7481
AT1G09800.1	1442	1193	70	5.45806
AT1G50890.1	2877	2628	190	6.72526
AT1G70810.1	720	471	306	60.434
AT1G21130.1	1365	1116	444.906	37.0839
AT1G65580.1	3729	3480	908	24.271
AT1G70800.1	717	468	55	10.932
AT1G09795.1	1516	1267	175	12.8482
AT1G80380.2	1704	1455	2742	175.301
AT1G55890.1	1455	1206	337	25.9934
AT1G65520.1	962	713	280	36.53
AT1G49650.1	1383	1134	88	7.21856
AT1G36690.1	2077	1828	0	0
AT1G75230.2	1436	1187	142	11.128
AT1G44050.1	2253	2004	198	9.19069
AT1G09370.1	540	291	2	0.639319
AT1G50910.1	1927	1678	65.449	3.62821
AT1G75140.1	2227	1978	308	14.4846
AT1G80370.1	1588	1339	186	12.9215
AT1G36740.1	1888	1639	0	0
AT1G36730.1	2286	2037	1662.5	75.9192
AT1G75150.1	2738	2489	96	3.58779
AT1G12580.1	1972	1723	558	30.1252
AT1G36720.1	4404	4155	0	0
AT1G36975.1	4391	4142	0	0
AT1G73850.1	2091	1842	272	13.736
AT1G17380.1	1133	884	88	9.26001
AT1G31885.1	972	723	75	9.64948
AT1G77360.1	1554	1305	26	1.85329
AT1G44030.1	2407	2158	4	0.172421
AT1G65540.1	2211	1962	796	37.7394
AT1G09380.1	1568	1319	13	0.91681
AT1G44045.1	5031	4782	0	0
AT1G44040.1	1401	1152	0	0
AT1G77470.1	1468	1219	237	18.0853
AT1G36745.1	333	85.8397	0	0
AT1G23190.1	2112	1863	1518	75.7949
AT1G12570.1	2027	1778	0	0
AT1G36970.1	1320	1071	0	0
AT1G15980.1	1566	1317	10	0.70631
AT1G77490.1	1596	1347	68	4.69594
AT1G10960.1	654	405	327	75.1058
AT1G67130.1	1176	927	1	0.100346
AT1G55900.1	1534	1285	273	19.7624
AT1G15990.1	2130	1881	0	0
AT1G75160.1	1465	1216	15	1.14746
AT1G44060.1	2523	2274	0	0
AT1G49640.1	1192	943	0	0
AT1G36700.1	564	315	0	0
AT1G36990.1	2837	2588	474.613	17.0591
AT1G44070.1	3855	3606	0	0
AT1G12600.1	1279	1030	11	0.993428
AT1G42300.1	1052	803	0	0
AT1G09730.1	3386	3137	804	23.8409
AT1G77340.1	1486	1237	0	0
AT1G12650.1	1203	954	426	41.5377
AT1G70840.1	756	507	0	0
AT1G49700.1	840	591	38	5.98104
AT1G36980.1	678	429	1020	221.169
AT1G65550.1	1626	1377	0	0
AT1G21090.1	1313	1064	247	21.5942
AT1G28520.1	2129	1880	500	24.7396
AT1G42290.1	3130	2881	0	0
AT1G79600.1	2490	2241	449	18.6374
AT1G36710.1	1294	1045	1	0.0890153
AT1G65950.1	1837	1588	194	11.364
AT1G70850.1	1282	1033	10752	968.21
AT1G09720.1	2787	2538	0	0
AT1G44085.1	273	42.6101	0	0
AT1G77350.1	813	564	421	69.4359
AT1G80420.1	1510	1261	418	30.8349
AT1G36880.1	1883	1634	0	0
AT1G65930.1	1703	1454	16593	1061.55
AT1G74930.1	918	669	68	9.45505
AT1G43845.1	597	348	0	0
AT1G51050.1	612	363	0	0
AT1G77410.1	2638	2389	46	1.79111
AT1G74840.1	1190	941	2905	287.169
AT1G51140.1	1625	1376	322	21.768
AT1G43850.1	3688	3439	1208	32.675
