target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	3	0.373856
BraA01g000020.3C	1668	1419	39.4807	3.48459
BraA01g000030.3C	957	708	0	0
BraA01g000040.3C	1299	1050	270.39	32.2515
BraA01g000050.3C	774	525	15	3.57834
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	21	4.6882
BraA01g000080.3C	891	642	106	20.6786
BraA01g000090.3C	1707	1458	150.836	12.9567
BraA01g000100.3C	357	108.433	37.8597	43.7288
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	317	23.3402
BraA01g000180.3C	963	714	12	2.1049
BraA01g000190.3C	2436	2187	77	4.40952
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	2	0.212454
BraA01g000240.3C	1617	1368	80	7.32408
BraA01g000250.3C	720	471	1.04603	0.278146
BraA01g000260.3C	2454	2205	289.654	16.452
BraA01g000270.3C	1104	855	343.63	50.3354
BraA01g000280.3C	339	91.3223	1	1.37143
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	49.0383	5.98601
BraA01g000320.3C	1035	786	264	42.0659
BraA01g000330.3C	327	80.5083	69.6586	108.364
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1110	579.243
BraA01g000360.3C	297	56.934	4	8.79909
BraA01g000370.3C	426	177.001	4	2.83031
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	584	25.3698
BraA01g000400.3C	345	96.9308	0	0
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	89	14.6858
BraA01g000430.3C	3585	3336	126	4.73036
BraA01g000440.3C	510	261	3	1.43956
BraA01g000450.3C	9402	9153	242	3.31132
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	439.328	63.9051
BraA01g000480.3C	897	648	122	23.5795
BraA01g000490.3C	1152	903	43	5.96389
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	1	2.73465
BraA01g000530.3C	3666	3417	655.99	24.0437
BraA01g000540.3C	1416	1167	14	1.50247
BraA01g000550.3C	1722	1473	7	0.595175
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	111	9.45703
BraA01g000580.3C	1431	1182	676.276	71.6565
BraA01g000590.3C	1713	1464	88	7.52819
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	5	1.56945
BraA01g000620.3C	477	228	57	31.3104
BraA01g000630.3C	687	438	0	0
BraA01g000640.3C	873	624	55	11.0389
BraA01g000650.3C	810	561	25	5.58118
BraA01g000660.3C	1038	789	60	9.52409
BraA01g000670.3C	831	582	67	14.4179
BraA01g000680.3C	2286	2037	73	4.48829
BraA01g000690.3C	366	117.23	64	68.3739
BraA01g000700.3C	1533	1284	222	21.654
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	322	35.5625
BraA01g000730.3C	963	714	329	57.7094
BraA01g000740.3C	864	615	71	14.4588
BraA01g000750.3C	540	291	486.631	209.438
BraA01g000760.3C	705	456	29	7.96494
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	80.5934	11.6421
BraA01g000790.3C	882	633	34.3832	6.80286
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
BraA01g000820.3C	939	690	0	0
BraA01g000830.3C	1623	1374	204.965	18.6828
BraA01g000840.3C	1590	1341	218	20.36
BraA01g000850.3C	1557	1308	666	63.7699
BraA01g000860.3C	672	423	104	30.7923
BraA01g000870.3C	819	570	43	9.44806
BraA01g000880.3C	1044	795	329	51.8296
BraA01g000890.3C	1761	1512	120	9.93982
BraA01g000900.3C	411	162.005	1071	827.964
BraA01g000910.3C	276	44.1722	87.5	248.09
BraA01g000920.3C	276	44.1722	87.5	248.09
BraA01g000930.3C	510	261	5	2.39927
BraA01g000940.3C	510	261	5	2.39927
BraA01g000950.3C	1794	1545	163	13.2132
BraA01g000960.3C	525	276	0	0
BraA01g000970.3C	525	276	0	0
BraA01g000980.3C	1794	1545	163	13.2132
BraA01g000990.3C	885	636	157	30.9166
BraA01g001000.3C	1077	828	45	6.80662
BraA01g001010.3C	432	183	18	12.3188
BraA01g001020.3C	381	132.072	12	11.3794
BraA01g001030.3C	2094	1845	44	2.9868
BraA01g001040.3C	1242	993	87	10.9728
BraA01g001050.3C	1995	1746	0	0
BraA01g001060.3C	1017	768	4	0.652301
BraA01g001070.3C	729	480	0	0
BraA01g001080.3C	1074	825	32	4.85786
BraA01g001090.3C	1263	1014	110	13.5864
BraA01g001100.3C	690	441	46.914	13.3233
BraA01g001110.3C	1554	1305	33	3.16703
BraA01g001120.3C	1398	1149	36	3.92402
BraA01g001130.3C	2049	1800	1260.99	87.738
BraA01g001140.3C	1146	897	53	7.40002
BraA01g001150.3C	2010	1761	2826	200.984
BraA01g001160.3C	1005	756	0	0
BraA01g001170.3C	1011	762	8	1.31487
BraA01g001180.3C	1848	1599	82	6.42266
BraA01g001190.3C	369	120.184	0	0
BraA01g001200.3C	849	600	31.4684	6.5686
BraA01g001210.3C	918	669	1	0.187207
BraA01g001220.3C	1410	1161	0	0
BraA01g001230.3C	1554	1305	0	0
BraA01g001240.3C	1638	1389	103.017	9.28868
BraA01g001250.3C	1269	1020	38	4.66587
BraA01g001260.3C	741	492	52	13.2369
BraA01g001270.3C	1125	876	15	2.14455
BraA01g001280.3C	1845	1596	108	8.47501
BraA01g001290.3C	1602	1353	150.252	13.9082
BraA01g001300.3C	1125	876	55	7.86335
BraA01g001310.3C	1218	969	6	0.775491
BraA01g001320.3C	1365	1116	4	0.448895
BraA01g001330.3C	1359	1110	54	6.09284
BraA01g001340.3C	687	438	57.4029	16.4138
BraA01g001350.3C	516	267	0	0
BraA01g001360.3C	981	732	72	12.3189
BraA01g001370.3C	1599	1350	45	4.17473
BraA01g001380.3C	1443	1194	181	18.9856
