target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	1	0.0992908
BraA01g000020.3C	1668	1419	106.588	7.49552
BraA01g000030.3C	957	708	0	0
BraA01g000040.3C	1299	1050	477.686	45.3972
BraA01g000050.3C	774	525	18	3.42128
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	46	8.1822
BraA01g000080.3C	891	642	133	20.6724
BraA01g000090.3C	1707	1458	448.741	30.7124
BraA01g000100.3C	357	108.433	60.5756	55.7459
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	1	1.36977
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	395	23.1722
BraA01g000180.3C	963	714	15	2.09637
BraA01g000190.3C	2436	2187	252	11.4981
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	8	0.677098
BraA01g000240.3C	1617	1368	92	6.71084
BraA01g000250.3C	720	471	2	0.423725
BraA01g000260.3C	2454	2205	437.12	19.7819
BraA01g000270.3C	1104	855	188	21.9415
BraA01g000280.3C	339	91.3223	5	5.46347
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	88	8.55875
BraA01g000320.3C	1035	786	374	47.4815
BraA01g000330.3C	327	80.5083	53	65.6917
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1024	425.759
BraA01g000360.3C	297	56.934	6	10.5161
BraA01g000370.3C	426	177.001	8	4.51014
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	547	18.9329
BraA01g000400.3C	345	96.9308	3	3.08841
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	85	11.1751
BraA01g000430.3C	3585	3336	171	5.115
BraA01g000440.3C	510	261	20	7.64653
BraA01g000450.3C	9402	9153	282	3.0744
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	665.669	77.149
BraA01g000480.3C	897	648	202	31.1065
BraA01g000490.3C	1152	903	39	4.30975
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	0	0
BraA01g000530.3C	3666	3417	638.683	18.6516
BraA01g000540.3C	1416	1167	12	1.02609
BraA01g000550.3C	1722	1473	3	0.203233
BraA01g000560.3C	456	207	0	0
