target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	6	0.614702
BraA01g000020.3C	1668	1419	105.415	7.64889
BraA01g000030.3C	957	708	1	0.145427
BraA01g000040.3C	1299	1050	395.436	38.7763
BraA01g000050.3C	774	525	15	2.94179
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	20	3.67068
BraA01g000080.3C	891	642	143	22.934
BraA01g000090.3C	1707	1458	605.968	42.7929
BraA01g000100.3C	357	108.433	60.5756	57.5198
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	1	1.41336
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	332	20.0962
BraA01g000180.3C	963	714	28	4.03775
BraA01g000190.3C	2436	2187	267	12.5702
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	3	0.261991
BraA01g000240.3C	1617	1368	32	2.40848
BraA01g000250.3C	720	471	5	1.09302
BraA01g000260.3C	2454	2205	511.004	23.8613
BraA01g000270.3C	1104	855	424	51.0598
BraA01g000280.3C	339	91.3223	0	0
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	60	6.0212
BraA01g000320.3C	1035	786	370	48.4684
BraA01g000330.3C	327	80.5083	60	76.7343
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1152	494.22
BraA01g000360.3C	297	56.934	1	1.80846
BraA01g000370.3C	426	177.001	20	11.6341
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	497	17.7497
BraA01g000400.3C	345	96.9308	1	1.06223
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	149	20.2127
BraA01g000430.3C	3585	3336	297	9.16663
BraA01g000440.3C	510	261	1	0.394492
BraA01g000450.3C	9402	9153	361	4.06091
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	480.836	57.5007
