target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	2	0.200164
BraA01g000020.3C	1668	1419	100.384	7.11549
BraA01g000030.3C	957	708	2	0.284131
BraA01g000040.3C	1299	1050	398.125	38.1375
BraA01g000050.3C	774	525	22	4.21487
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	26	4.66157
BraA01g000080.3C	891	642	117	18.3304
BraA01g000090.3C	1707	1458	223.894	15.4456
BraA01g000100.3C	357	108.433	15.1439	14.0475
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	412	24.3621
BraA01g000180.3C	963	714	23	3.24004
BraA01g000190.3C	2436	2187	168	7.72648
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	3	0.255934
BraA01g000240.3C	1617	1368	55	4.04388
BraA01g000250.3C	720	471	5	1.06775
BraA01g000260.3C	2454	2205	456.912	20.8423
BraA01g000270.3C	1104	855	426.374	50.1587
BraA01g000280.3C	339	91.3223	1	1.1014
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	45	4.4115
BraA01g000320.3C	1035	786	318	40.6936
BraA01g000330.3C	327	80.5083	81	101.197
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1224	512.969
BraA01g000360.3C	297	56.934	6	10.5999
BraA01g000370.3C	426	177.001	9	5.11432
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	828	28.8873
BraA01g000400.3C	345	96.9308	0	0
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	126	16.6974
BraA01g000430.3C	3585	3336	233	7.02508
BraA01g000440.3C	510	261	8	3.08298
BraA01g000450.3C	9402	9153	276	3.03296
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	560.58	65.4871
BraA01g000480.3C	897	648	176	27.3186
BraA01g000490.3C	1152	903	35	3.89854
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	0	0
BraA01g000530.3C	3666	3417	685.216	20.1699
BraA01g000540.3C	1416	1167	15	1.29283
BraA01g000550.3C	1722	1473	4	0.273136
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	116	7.9371
BraA01g000580.3C	1431	1182	1053.26	89.6273
BraA01g000590.3C	1713	1464	88	6.04593
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	0	0
BraA01g000620.3C	477	228	41	18.0872
BraA01g000630.3C	687	438	2	0.45928
BraA01g000640.3C	873	624	82	13.2175
BraA01g000650.3C	810	561	10	1.79291
BraA01g000660.3C	1038	789	73	9.30609
BraA01g000670.3C	831	582	80.5176	13.9152
BraA01g000680.3C	2286	2037	63	3.11079
BraA01g000690.3C	366	117.23	58	49.7635
BraA01g000700.3C	1533	1284	380	29.7673
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	648	57.4756
BraA01g000730.3C	963	714	435	61.2791
BraA01g000740.3C	864	615	40	6.54193
BraA01g000750.3C	540	291	517.813	178.979
BraA01g000760.3C	705	456	31	6.83783
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	126.338	14.6568
BraA01g000790.3C	882	633	61	9.69276
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
BraA01g000820.3C	939	690	0	0
BraA01g000830.3C	1623	1374	239	17.4957
BraA01g000840.3C	1590	1341	175	13.1259
BraA01g000850.3C	1557	1308	1120	86.1255
BraA01g000860.3C	672	423	154	36.6186
BraA01g000870.3C	819	570	63	11.117
BraA01g000880.3C	1044	795	278	35.1722
BraA01g000890.3C	1761	1512	139	9.24665
BraA01g000900.3C	411	162.005	1167	724.544
BraA01g000910.3C	276	44.1722	191	434.916
BraA01g000920.3C	276	44.1722	191	434.916
BraA01g000930.3C	510	261	3.5	1.3488
BraA01g000940.3C	510	261	3.5	1.3488
BraA01g000950.3C	1794	1545	223.5	14.5502
BraA01g000960.3C	525	276	0	0
BraA01g000970.3C	525	276	0	0
BraA01g000980.3C	1794	1545	223.5	14.5502
BraA01g000990.3C	885	636	155	24.513
BraA01g001000.3C	1077	828	43	5.22347
BraA01g001010.3C	432	183	189	103.88
BraA01g001020.3C	381	132.072	7	5.33101
BraA01g001030.3C	2094	1845	28	1.52645
BraA01g001040.3C	1242	993	125	12.6614
BraA01g001050.3C	1995	1746	0	0
BraA01g001060.3C	1017	768	2	0.261933
BraA01g001070.3C	729	480	0	0
BraA01g001080.3C	1074	825	31	3.77945
BraA01g001090.3C	1263	1014	89	8.82822
BraA01g001100.3C	690	441	71.8935	16.3973
BraA01g001110.3C	1554	1305	20	1.54149
BraA01g001120.3C	1398	1149	64	5.60249
BraA01g001130.3C	2049	1800	1144.55	63.9562
BraA01g001140.3C	1146	897	69	7.73709
BraA01g001150.3C	2010	1761	1621	92.5859
BraA01g001160.3C	1005	756	0	0
BraA01g001170.3C	1011	762	3	0.395993
BraA01g001180.3C	1848	1599	100	6.29032
BraA01g001190.3C	369	120.184	0	0
BraA01g001200.3C	849	600	7.30012	1.22377
BraA01g001210.3C	918	669	11	1.65382
BraA01g001220.3C	1410	1161	0	0
BraA01g001230.3C	1554	1305	0	0
BraA01g001240.3C	1638	1389	187.779	13.5977
BraA01g001250.3C	1269	1020	33	3.25413
BraA01g001260.3C	741	492	42	8.58629
BraA01g001270.3C	1125	876	27	3.10014
BraA01g001280.3C	1845	1596	135	8.5079
BraA01g001290.3C	1602	1353	104	7.73138
BraA01g001300.3C	1125	876	68	7.80775
BraA01g001310.3C	1218	969	5	0.519
BraA01g001320.3C	1365	1116	12	1.08153
BraA01g001330.3C	1359	1110	60	5.43688
BraA01g001340.3C	687	438	52.6945	12.1008
BraA01g001350.3C	516	267	0	0
BraA01g001360.3C	981	732	211	28.993
BraA01g001370.3C	1599	1350	55	4.09779
BraA01g001380.3C	1443	1194	183	15.4159
BraA01g001390.3C	432	183	0	0
BraA01g001400.3C	3078	2829	118	4.19537
BraA01g001410.3C	537	288	584	203.958
BraA01g001420.3C	1587	1338	287	21.5748
BraA01g001430.3C	1086	837	379	45.5444
BraA01g001440.3C	1131	882	47	5.35982
BraA01g001450.3C	426	177.001	0	0
BraA01g001460.3C	1212	963	15	1.5667
BraA01g001470.3C	897	648	0	0
BraA01g001480.3C	1719	1470	1	0.0684233
BraA01g001490.3C	1506	1257	2362	189.001
BraA01g001500.3C	897	648	187	29.026
BraA01g001510.3C	1764	1515	6	0.398345
BraA01g001520.3C	1512	1263	0	0
BraA01g001530.3C	1560	1311	119	9.12989
BraA01g001540.3C	1542	1293	21	1.63359
BraA01g001550.3C	519	270	122	45.4483
BraA01g001560.3C	264	38.2937	1	2.6266
BraA01g001570.3C	258	35.7089	0	0
BraA01g001580.3C	969	720	629	87.8698
BraA01g001590.3C	987	738	205	27.9395
BraA01g001600.3C	231	26.552	0	0
BraA01g001610.3C	2286	2037	63	3.11079
BraA01g001620.3C	1125	876	43	4.93726
BraA01g001630.3C	1557	1308	556	42.7551
BraA01g001640.3C	588	339	45	13.3516
BraA01g001650.3C	210	21.6077	0	0
BraA01g001660.3C	483	234	0	0
BraA01g001670.3C	1296	1047	239	22.96
BraA01g001680.3C	249	32.2352	17	53.0444
BraA01g001690.3C	1065	816	5	0.616313
BraA01g001700.3C	1065	816	6	0.739575
BraA01g001710.3C	300	59.0212	0	0
BraA01g001720.3C	1311	1062	194	18.3738
BraA01g001730.3C	1485	1236	1517	123.449
BraA01g001740.3C	861	612	279	45.8537
BraA01g001750.3C	1473	1224	331	27.1999
BraA01g001760.3C	1056	807	44	5.48404
BraA01g001770.3C	1239	990	0	0
BraA01g001780.3C	1146	897	0	0
BraA01g001790.3C	1227	978	52	5.34793
BraA01g001800.3C	1650	1401	46	3.30249
BraA01g001810.3C	1557	1308	389	29.9132
BraA01g001820.3C	2541	2292	129	5.66104
BraA01g001830.3C	1161	912	110	12.1316
BraA01g001840.3C	972	723	0	0
BraA01g001850.3C	1464	1215	185	15.315
BraA01g001860.3C	774	525	1	0.191585
BraA01g001870.3C	1602	1353	6	0.446041
BraA01g001880.3C	2058	1809	61	3.39166
BraA01g001890.3C	978	729	115	15.8669
BraA01g001900.3C	1002	753	0	0
BraA01g001910.3C	759	510	62	12.2276
BraA01g001920.3C	1278	1029	57	5.57161
BraA01g001930.3C	462	213	2	0.944434
BraA01g001940.3C	717	468	0	0
BraA01g001950.3C	528	279	3	1.08153
BraA01g001960.3C	1347	1098	83	7.60321
BraA01g001970.3C	2004	1755	39	2.23516
BraA01g001980.3C	2928	2679	777	29.1722
BraA01g001990.3C	996	747	4	0.538593
BraA01g002000.3C	1092	843	614	73.2592
BraA01g002010.3C	558	309	53.8472	17.5277
BraA01g002020.3C	1461	1212	23	1.90874
BraA01g002030.3C	912	663	207	31.4035
BraA01g002040.3C	1386	1137	0	0
BraA01g002050.3C	294	54.9123	0	0
BraA01g002060.3C	1932	1683	78	4.66157
BraA01g002070.3C	273	42.6101	1	2.36053
BraA01g002080.3C	654	405	15	3.72527
BraA01g002090.3C	942	693	72	10.4501
BraA01g002100.3C	627	378	2.13487	0.56807
BraA01g002110.3C	1374	1125	22	1.96694
BraA01g002120.3C	1209	960	0	0
BraA01g002130.3C	783	534	48	9.0411
BraA01g002140.3C	738	489	35	7.19914
BraA01g002150.3C	519	270	59	21.9791
BraA01g002160.3C	2295	2046	1907	93.7489
BraA01g002170.3C	873	624	0	0
BraA01g002180.3C	672	423	2	0.475566
BraA01g002190.3C	948	699	4	0.575578
BraA01g002200.3C	873	624	0	0
BraA01g002210.3C	1800	1551	67	4.34494
BraA01g002220.3C	240	29.2001	11	37.8904
BraA01g002230.3C	2148	1899	47.0771	2.49348
BraA01g002240.3C	1122	873	63	7.25851
BraA01g002250.3C	3759	3510	2567	73.5597
BraA01g002260.3C	369	120.184	2	1.6738
BraA01g002270.3C	375	126.116	1	0.797535
BraA01g002280.3C	1113	864	93	10.8266
BraA01g002290.3C	1443	1194	12.0953	1.0189
BraA01g002300.3C	2496	2247	117.566	5.26261
BraA01g002310.3C	1269	1020	75	7.39575
BraA01g002320.3C	891	642	273.434	42.8389
BraA01g002330.3C	486	237	21	8.91235
BraA01g002340.3C	1908	1659	354	21.4624
BraA01g002350.3C	1386	1137	13	1.15002
BraA01g002360.3C	2571	2322	1017	44.0535
BraA01g002370.3C	3822	3573	70	1.97054
BraA01g002380.3C	765	516	1	0.194927
BraA01g002390.3C	1446	1197	18.7119	1.57234
BraA01g002400.3C	708	459	1	0.219133
BraA01g002410.3C	360	111.352	5	4.51639
