target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	0	0
BraA01g000020.3C	1668	1419	85.1463	8.14565
BraA01g000030.3C	957	708	0	0
BraA01g000040.3C	1299	1050	289.499	37.4283
BraA01g000050.3C	774	525	15	3.87859
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	30	7.2594
BraA01g000080.3C	891	642	137	28.9686
BraA01g000090.3C	1707	1458	644.669	60.0235
BraA01g000100.3C	357	108.433	45.4317	56.8776
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	268	21.3881
BraA01g000180.3C	963	714	23	4.37292
BraA01g000190.3C	2436	2187	255	15.8283
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	14	1.61197
BraA01g000240.3C	1617	1368	60	5.95398
BraA01g000250.3C	720	471	4	1.15287
BraA01g000260.3C	2454	2205	542.093	33.3739
BraA01g000270.3C	1104	855	567	90.0242
BraA01g000280.3C	339	91.3223	0	0
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	1	0.675377
BraA01g000310.3C	1275	1026	63	8.33557
BraA01g000320.3C	1035	786	262	45.2503
BraA01g000330.3C	327	80.5083	27	45.5266
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1059	599
BraA01g000360.3C	297	56.934	0	0
BraA01g000370.3C	426	177.001	9	6.90254
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	354	16.6687
BraA01g000400.3C	345	96.9308	0	0
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	111	19.8529
BraA01g000430.3C	3585	3336	197	8.01646
BraA01g000440.3C	510	261	7	3.64082
BraA01g000450.3C	9402	9153	249	3.69299
BraA01g000460.3C	1512	1263	2	0.214966
BraA01g000470.3C	1110	861	400.456	63.1385
BraA01g000480.3C	897	648	78	16.3404
BraA01g000490.3C	1152	903	22	3.30733
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	0	0
BraA01g000530.3C	3666	3417	637.528	25.3277
BraA01g000540.3C	1416	1167	11	1.27957
BraA01g000550.3C	1722	1473	2	0.184319
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	103	9.51179
BraA01g000580.3C	1431	1182	657.824	75.55
BraA01g000590.3C	1713	1464	69	6.39809
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	2	0.680455
BraA01g000620.3C	477	228	36	21.4343
BraA01g000630.3C	687	438	3	0.9298
BraA01g000640.3C	873	624	63	13.7056
BraA01g000650.3C	810	561	0	0
BraA01g000660.3C	1038	789	69	11.8717
BraA01g000670.3C	831	582	55.6685	12.9846
BraA01g000680.3C	2286	2037	47	3.1322
BraA01g000690.3C	366	117.23	130	150.538
BraA01g000700.3C	1533	1284	507	53.6025
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	422	50.5175
BraA01g000730.3C	963	714	301	57.2283
BraA01g000740.3C	864	615	37	8.16712
BraA01g000750.3C	540	291	307.861	143.616
BraA01g000760.3C	705	456	11	3.27469
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	88	13.7786
BraA01g000790.3C	882	633	20	4.28912
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
BraA01g000820.3C	939	690	0	0
BraA01g000830.3C	1623	1374	101.857	10.0635
BraA01g000840.3C	1590	1341	136	13.7674
BraA01g000850.3C	1557	1308	644	66.8375
BraA01g000860.3C	672	423	115	36.9062
BraA01g000870.3C	819	570	53	12.6224
BraA01g000880.3C	1044	795	228	38.9323
BraA01g000890.3C	1761	1512	93	8.34975
BraA01g000900.3C	411	162.005	779	652.758
BraA01g000910.3C	276	44.1722	131.5	404.128
BraA01g000920.3C	276	44.1722	131.5	404.128
BraA01g000930.3C	510	261	1	0.520118
BraA01g000940.3C	510	261	1	0.520118
BraA01g000950.3C	1794	1545	254.5	22.3615
BraA01g000960.3C	525	276	0	0
BraA01g000970.3C	525	276	0	0
BraA01g000980.3C	1794	1545	254.5	22.3615
BraA01g000990.3C	885	636	168	35.8587
BraA01g001000.3C	1077	828	62	10.1649
BraA01g001010.3C	432	183	157	116.463
BraA01g001020.3C	381	132.072	48	49.3371
BraA01g001030.3C	2094	1845	48	3.53173
BraA01g001040.3C	1242	993	133	18.1821
BraA01g001050.3C	1995	1746	2	0.155499
BraA01g001060.3C	1017	768	3	0.530276
BraA01g001070.3C	729	480	0	0
BraA01g001080.3C	1074	825	46	7.56913
BraA01g001090.3C	1263	1014	121	16.1991
BraA01g001100.3C	690	441	66	20.3164
BraA01g001110.3C	1554	1305	16.9412	1.76228
BraA01g001120.3C	1398	1149	48	5.67105
BraA01g001130.3C	2049	1800	783.757	59.1087
BraA01g001140.3C	1146	897	99	14.9825
BraA01g001150.3C	2010	1761	1712	131.973
BraA01g001160.3C	1005	756	0	0
BraA01g001170.3C	1011	762	4	0.712602
BraA01g001180.3C	1848	1599	74	6.2824
BraA01g001190.3C	369	120.184	0	0
BraA01g001200.3C	849	600	28.0282	6.34142
BraA01g001210.3C	918	669	8	1.62333
BraA01g001220.3C	1410	1161	0	0
BraA01g001230.3C	1554	1305	0	0
BraA01g001240.3C	1638	1389	168.445	16.4626
BraA01g001250.3C	1269	1020	17	2.26251
BraA01g001260.3C	741	492	49	13.5199
BraA01g001270.3C	1125	876	10	1.54967
BraA01g001280.3C	1845	1596	89	7.57006
BraA01g001290.3C	1602	1353	114	11.438
BraA01g001300.3C	1125	876	90	13.947
BraA01g001310.3C	1218	969	5	0.700468
BraA01g001320.3C	1365	1116	33	4.01414
BraA01g001330.3C	1359	1110	322	39.3799
BraA01g001340.3C	687	438	119.167	36.9337
BraA01g001350.3C	516	267	0	0
BraA01g001360.3C	981	732	84	15.578
BraA01g001370.3C	1599	1350	66	6.6367
BraA01g001380.3C	1443	1194	129	14.6665
BraA01g001390.3C	432	183	0	0
BraA01g001400.3C	3078	2829	158	7.5817
BraA01g001410.3C	537	288	241	113.597
BraA01g001420.3C	1587	1338	263	26.6834
BraA01g001430.3C	1086	837	234	37.9518
BraA01g001440.3C	1131	882	34	5.23302
BraA01g001450.3C	426	177.001	0	0
BraA01g001460.3C	1212	963	35	4.93383
BraA01g001470.3C	897	648	0	0
BraA01g001480.3C	1719	1470	1	0.0923474
