target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	3	0.328462
BraA01g000020.3C	1668	1419	110.303	8.5533
BraA01g000030.3C	957	708	2	0.310832
BraA01g000040.3C	1299	1050	387.047	40.5605
BraA01g000050.3C	774	525	16	3.35344
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	48	9.41473
BraA01g000080.3C	891	642	144	24.6807
BraA01g000090.3C	1707	1458	198.189	14.9572
BraA01g000100.3C	357	108.433	53.0036	53.7867
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	412	26.6515
BraA01g000180.3C	963	714	13	2.00343
BraA01g000190.3C	2436	2187	187	9.40854
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	0	0
BraA01g000240.3C	1617	1368	110	8.84781
BraA01g000250.3C	720	471	0	0
BraA01g000260.3C	2454	2205	422.724	21.0949
BraA01g000270.3C	1104	855	182	23.4226
BraA01g000280.3C	339	91.3223	0	0
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	65	6.971
BraA01g000320.3C	1035	786	282	39.4781
BraA01g000330.3C	327	80.5083	85	116.174
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	796	364.948
BraA01g000360.3C	297	56.934	6	11.596
BraA01g000370.3C	426	177.001	8	4.97329
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	753	28.7395
BraA01g000400.3C	345	96.9308	0	0
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	111	16.092
BraA01g000430.3C	3585	3336	179	5.90413
BraA01g000440.3C	510	261	3	1.26477
BraA01g000450.3C	9402	9153	340	4.08738
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	550.59	70.3646
BraA01g000480.3C	897	648	170	28.8671
BraA01g000490.3C	1152	903	23	2.80265
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	2	4.80521
BraA01g000530.3C	3666	3417	556.398	17.9172
BraA01g000540.3C	1416	1167	23	2.16863
BraA01g000550.3C	1722	1473	7	0.522907
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	123	9.20698
BraA01g000580.3C	1431	1182	867.165	80.726
BraA01g000590.3C	1713	1464	82	6.16314
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	1	0.275776
BraA01g000620.3C	477	228	57	27.5087
BraA01g000630.3C	687	438	1	0.251221
BraA01g000640.3C	873	624	69	12.1673
BraA01g000650.3C	810	561	18	3.53052
BraA01g000660.3C	1038	789	33	4.60221
BraA01g000670.3C	831	582	104	19.6625
BraA01g000680.3C	2286	2037	69	3.72724
BraA01g000690.3C	366	117.23	136	127.653
BraA01g000700.3C	1533	1284	419	35.9069
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	560	54.3381
BraA01g000730.3C	963	714	376	57.9454
BraA01g000740.3C	864	615	83	14.8502
BraA01g000750.3C	540	291	353.801	133.781
BraA01g000760.3C	705	456	27	6.51521
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	110.571	14.033
BraA01g000790.3C	882	633	34	5.91023
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
BraA01g000820.3C	939	690	0	0
BraA01g000830.3C	1623	1374	338	27.0682
BraA01g000840.3C	1590	1341	183	15.0159
BraA01g000850.3C	1557	1308	467	39.2861
BraA01g000860.3C	672	423	142	36.9383
BraA01g000870.3C	819	570	67	12.9339
BraA01g000880.3C	1044	795	364	50.3806
BraA01g000890.3C	1761	1512	153	11.1345
BraA01g000900.3C	411	162.005	850	577.326
BraA01g000910.3C	276	44.1722	111	276.505
BraA01g000920.3C	276	44.1722	111	276.505
BraA01g000930.3C	510	261	4.5	1.89715
BraA01g000940.3C	510	261	4.5	1.89715
BraA01g000950.3C	1794	1545	323	23.004
BraA01g000960.3C	525	276	0	0
BraA01g000970.3C	525	276	0	0
BraA01g000980.3C	1794	1545	323	23.004
BraA01g000990.3C	885	636	403	69.7232
BraA01g001000.3C	1077	828	72	9.56823
BraA01g001010.3C	432	183	87	52.3114
BraA01g001020.3C	381	132.072	22	18.3291
BraA01g001030.3C	2094	1845	41	2.44521
BraA01g001040.3C	1242	993	145	16.0675
BraA01g001050.3C	1995	1746	0	0
BraA01g001060.3C	1017	768	7	1.00292
BraA01g001070.3C	729	480	0	0
BraA01g001080.3C	1074	825	17	2.26738
BraA01g001090.3C	1263	1014	141	15.3007
BraA01g001100.3C	690	441	96	23.9531
BraA01g001110.3C	1554	1305	18	1.51772
BraA01g001120.3C	1398	1149	51	4.88404
BraA01g001130.3C	2049	1800	1327	81.12
BraA01g001140.3C	1146	897	83	10.1816
BraA01g001150.3C	2010	1761	2283	142.651
