target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	7	0.952405
BraA01g000020.3C	1668	1419	53.2815	5.13433
BraA01g000030.3C	957	708	3	0.579399
BraA01g000040.3C	1299	1050	330.489	43.0386
BraA01g000050.3C	774	525	14	3.64635
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	19	4.63106
BraA01g000080.3C	891	642	113	24.0676
BraA01g000090.3C	1707	1458	390.391	36.6127
BraA01g000100.3C	357	108.433	30.2878	38.1942
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	1	1.877
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	290	23.3122
BraA01g000180.3C	963	714	19	3.63869
BraA01g000190.3C	2436	2187	132	8.25306
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	4	0.463912
BraA01g000240.3C	1617	1368	61	6.09724
BraA01g000250.3C	720	471	2	0.580629
BraA01g000260.3C	2454	2205	524.839	32.5467
BraA01g000270.3C	1104	855	556.248	88.9595
BraA01g000280.3C	339	91.3223	2	2.99463
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	73	9.72893
BraA01g000320.3C	1035	786	251	43.6657
BraA01g000330.3C	327	80.5083	41	69.6358
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1150	655.204
BraA01g000360.3C	297	56.934	5	12.0085
BraA01g000370.3C	426	177.001	8	6.18022
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	431	20.4419
BraA01g000400.3C	345	96.9308	1	1.41068
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	117	21.0782
BraA01g000430.3C	3585	3336	281	11.5178
BraA01g000440.3C	510	261	2	1.0478
BraA01g000450.3C	9402	9153	304	4.5415
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	472.647	75.0626
BraA01g000480.3C	897	648	70	14.7711
BraA01g000490.3C	1152	903	16	2.42282
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	0	0
BraA01g000530.3C	3666	3417	710.809	28.4445
BraA01g000540.3C	1416	1167	9	1.05454
BraA01g000550.3C	1722	1473	4	0.371319
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	146	13.5808
BraA01g000580.3C	1431	1182	853.796	98.7703
BraA01g000590.3C	1713	1464	83	7.75223
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	2	0.685404
BraA01g000620.3C	477	228	29	17.3921
BraA01g000630.3C	687	438	0	0
BraA01g000640.3C	873	624	52	11.3948
BraA01g000650.3C	810	561	27	6.58098
BraA01g000660.3C	1038	789	62	10.7449
BraA01g000670.3C	831	582	41.676	9.79159
BraA01g000680.3C	2286	2037	46	3.08785
BraA01g000690.3C	366	117.23	67	78.1494
BraA01g000700.3C	1533	1284	325	34.6105
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	505	60.8931
BraA01g000730.3C	963	714	420	80.4342
BraA01g000740.3C	864	615	14	3.11274
BraA01g000750.3C	540	291	350.707	164.794
BraA01g000760.3C	705	456	24	7.19674
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	105.653	16.663
BraA01g000790.3C	882	633	23	4.96837
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
BraA01g000820.3C	939	690	0	0
BraA01g000830.3C	1623	1374	191	19.008
BraA01g000840.3C	1590	1341	100	10.1967
BraA01g000850.3C	1557	1308	862	90.1134
BraA01g000860.3C	672	423	105	33.9421
BraA01g000870.3C	819	570	40	9.59566
BraA01g000880.3C	1044	795	267	45.9234
BraA01g000890.3C	1761	1512	97	8.77222
BraA01g000900.3C	411	162.005	819	691.268
BraA01g000910.3C	276	44.1722	176	544.821
BraA01g000920.3C	276	44.1722	176	544.821
BraA01g000930.3C	510	261	3	1.5717
BraA01g000940.3C	510	261	3	1.5717
BraA01g000950.3C	1794	1545	222.5	19.6921
BraA01g000960.3C	525	276	0	0
BraA01g000970.3C	525	276	0	0
BraA01g000980.3C	1794	1545	222.5	19.6921
BraA01g000990.3C	885	636	142	30.5296
BraA01g001000.3C	1077	828	68	11.2297
BraA01g001010.3C	432	183	137	102.367
BraA01g001020.3C	381	132.072	14	14.4946
BraA01g001030.3C	2094	1845	30	2.22338
BraA01g001040.3C	1242	993	127	17.4882
BraA01g001050.3C	1995	1746	0	0
BraA01g001060.3C	1017	768	6	1.06827
BraA01g001070.3C	729	480	0	0
BraA01g001080.3C	1074	825	33	5.46953
BraA01g001090.3C	1263	1014	63	8.49556
BraA01g001100.3C	690	441	54.8085	16.9941
BraA01g001110.3C	1554	1305	26	2.72428
BraA01g001120.3C	1398	1149	42	4.99826
BraA01g001130.3C	2049	1800	904.679	68.7245
BraA01g001140.3C	1146	897	70	10.6708
