target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	3	0.297081
BraA01g000020.3C	1668	1419	99.674	6.99067
BraA01g000030.3C	957	708	0	0
BraA01g000040.3C	1299	1050	334.513	31.7061
BraA01g000050.3C	774	525	21	3.98088
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	9	1.59661
BraA01g000080.3C	891	642	97	15.0368
BraA01g000090.3C	1707	1458	299.415	20.4378
BraA01g000100.3C	357	108.433	15.1439	13.8994
BraA01g000110.3C	567	318	3	0.938888
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	333	19.4832
BraA01g000180.3C	963	714	12	1.67264
BraA01g000190.3C	2436	2187	186	8.46416
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	4	0.337649
BraA01g000240.3C	1617	1368	77	5.60176
BraA01g000250.3C	720	471	1	0.2113
BraA01g000260.3C	2454	2205	442.414	19.9682
BraA01g000270.3C	1104	855	636	74.0305
BraA01g000280.3C	339	91.3223	1	1.08979
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	58.5719	5.68148
BraA01g000320.3C	1035	786	287.993	36.4652
BraA01g000330.3C	327	80.5083	62.1594	76.8397
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1195	495.537
BraA01g000360.3C	297	56.934	1	1.74803
BraA01g000370.3C	426	177.001	15	8.43403
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	1018	35.1417
BraA01g000400.3C	345	96.9308	12	12.3208
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	141	18.4883
BraA01g000430.3C	3585	3336	233	6.95103
BraA01g000440.3C	510	261	5	1.90655
BraA01g000450.3C	9402	9153	271	2.94663
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	505.675	58.4504
BraA01g000480.3C	897	648	100	15.3583
BraA01g000490.3C	1152	903	25	2.75532
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	1	0.187424
BraA01g000520.3C	279	45.7981	0	0
BraA01g000530.3C	3666	3417	767.371	22.3501
BraA01g000540.3C	1416	1167	24	2.04673
BraA01g000550.3C	1722	1473	5	0.337821
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	166	11.2386
