target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	5	0.474536
BraA01g000020.3C	1668	1419	57.5759	3.87011
BraA01g000030.3C	957	708	1	0.13472
BraA01g000040.3C	1299	1050	339.215	30.8143
BraA01g000050.3C	774	525	18	3.27023
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	30	5.10063
BraA01g000080.3C	891	642	138	20.5026
BraA01g000090.3C	1707	1458	256.99	16.8122
BraA01g000100.3C	357	108.433	7.57195	6.6606
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	397	22.2614
BraA01g000180.3C	963	714	20	2.67176
BraA01g000190.3C	2436	2187	267	11.6447
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	5	0.404503
BraA01g000240.3C	1617	1368	61	4.25313
BraA01g000250.3C	720	471	4	0.810036
BraA01g000260.3C	2454	2205	617.655	26.7179
BraA01g000270.3C	1104	855	759.823	84.764
BraA01g000280.3C	339	91.3223	0	0
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	79	7.34421
BraA01g000320.3C	1035	786	379	45.992
BraA01g000330.3C	327	80.5083	100.267	118.791
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1563	621.174
BraA01g000360.3C	297	56.934	5	8.37653
BraA01g000370.3C	426	177.001	11	5.92765
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	555	18.3617
BraA01g000400.3C	345	96.9308	2	1.96804
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	173	21.7405
BraA01g000430.3C	3585	3336	288	8.2344
BraA01g000440.3C	510	261	7	2.55813
BraA01g000450.3C	9402	9153	243	2.53226
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	573.278	63.5079
BraA01g000480.3C	897	648	116	17.0745
BraA01g000490.3C	1152	903	35	3.69697
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	0	0
BraA01g000530.3C	3666	3417	840.957	23.4744
BraA01g000540.3C	1416	1167	18	1.47118
BraA01g000550.3C	1722	1473	9.06069	0.586711
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	139.939	9.08004
BraA01g000580.3C	1431	1182	1197.15	96.604
BraA01g000590.3C	1713	1464	84	5.47272
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	1	0.239052
BraA01g000620.3C	477	228	58	24.2638
BraA01g000630.3C	687	438	0	0
BraA01g000640.3C	873	624	99	15.1327
BraA01g000650.3C	810	561	23	3.91048
BraA01g000660.3C	1038	789	75.4934	9.12636
BraA01g000670.3C	831	582	56	9.17763
BraA01g000680.3C	2286	2037	57	2.669
BraA01g000690.3C	366	117.23	59	48.0041
BraA01g000700.3C	1533	1284	440.79	32.744
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	646	54.3356
BraA01g000730.3C	963	714	520	69.4657
BraA01g000740.3C	864	615	21	3.25694
BraA01g000750.3C	540	291	524.844	172.029
BraA01g000760.3C	705	456	28	5.85678
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	109	11.9915
BraA01g000790.3C	882	633	38	5.72592
BraA01g000800.3C	432	183	0	0
BraA01g000810.3C	375	126.116	0	0
BraA01g000820.3C	939	690	0	0
BraA01g000830.3C	1623	1374	221	15.3416
BraA01g000840.3C	1590	1341	154	10.9536
BraA01g000850.3C	1557	1308	1093	79.7036
BraA01g000860.3C	672	423	152	34.2743
BraA01g000870.3C	819	570	66	11.0442
BraA01g000880.3C	1044	795	327	39.2325
BraA01g000890.3C	1761	1512	131	8.2639
BraA01g000900.3C	411	162.005	1423	837.805
BraA01g000910.3C	276	44.1722	197	425.386
BraA01g000920.3C	276	44.1722	197	425.386
BraA01g000930.3C	510	261	4	1.46179
BraA01g000940.3C	510	261	4	1.46179
BraA01g000950.3C	1794	1545	256	15.8044
BraA01g000960.3C	525	276	0	0
BraA01g000970.3C	525	276	0	0
BraA01g000980.3C	1794	1545	256	15.8044
BraA01g000990.3C	885	636	140	20.996
BraA01g001000.3C	1077	828	56	6.45094
BraA01g001010.3C	432	183	153	79.7452
BraA01g001020.3C	381	132.072	24	17.3327
BraA01g001030.3C	2094	1845	36	1.86111
BraA01g001040.3C	1242	993	144	13.8318
BraA01g001050.3C	1995	1746	0	0
BraA01g001060.3C	1017	768	4	0.49678
BraA01g001070.3C	729	480	0	0
BraA01g001080.3C	1074	825	44	5.08703
BraA01g001090.3C	1263	1014	128	12.0403
BraA01g001100.3C	690	441	80.8638	17.4896
BraA01g001110.3C	1554	1305	30	2.19268
BraA01g001120.3C	1398	1149	49	4.06763
BraA01g001130.3C	2049	1800	1327.67	70.3532
BraA01g001140.3C	1146	897	66	7.01806
BraA01g001150.3C	2010	1761	1721	93.2152
BraA01g001160.3C	1005	756	0	0
BraA01g001170.3C	1011	762	4	0.500692
BraA01g001180.3C	1848	1599	75.0143	4.47467
BraA01g001190.3C	369	120.184	0	0
BraA01g001200.3C	849	600	28.2243	4.4868
BraA01g001210.3C	918	669	11	1.56831
BraA01g001220.3C	1410	1161	0	0
BraA01g001230.3C	1554	1305	0	0
BraA01g001240.3C	1638	1389	170.256	11.6914
BraA01g001250.3C	1269	1020	29	2.71183
BraA01g001260.3C	741	492	61	11.8258
BraA01g001270.3C	1125	876	22	2.39543
BraA01g001280.3C	1845	1596	122	7.29109
BraA01g001290.3C	1602	1353	164	11.5614
BraA01g001300.3C	1125	876	49	5.33528
BraA01g001310.3C	1218	969	8	0.787466
BraA01g001320.3C	1365	1116	15	1.28201
BraA01g001330.3C	1359	1110	158	13.5769
BraA01g001340.3C	687	438	65.8722	14.3448
BraA01g001350.3C	516	267	0	0
BraA01g001360.3C	981	732	163	21.2394
BraA01g001370.3C	1599	1350	79	5.5816
BraA01g001380.3C	1443	1194	219	17.4946
BraA01g001390.3C	432	183	0	0
BraA01g001400.3C	3078	2829	173	5.83282
BraA01g001410.3C	537	288	592	196.063
BraA01g001420.3C	1587	1338	319	22.7405
BraA01g001430.3C	1086	837	434	49.4572
BraA01g001440.3C	1131	882	30	3.24428
BraA01g001450.3C	426	177.001	0	0
BraA01g001460.3C	1212	963	20	1.98093
BraA01g001470.3C	897	648	0	0
BraA01g001480.3C	1719	1470	0	0
BraA01g001490.3C	1506	1257	2285	173.387
BraA01g001500.3C	897	648	254	37.3873
BraA01g001510.3C	1764	1515	4	0.251833
BraA01g001520.3C	1512	1263	1	0.07552
BraA01g001530.3C	1560	1311	157	11.4225
BraA01g001540.3C	1542	1293	2	0.147536
BraA01g001550.3C	519	270	154	54.4029
BraA01g001560.3C	264	38.2937	0	0
BraA01g001570.3C	258	35.7089	0	0
BraA01g001580.3C	969	720	712	94.322
BraA01g001590.3C	987	738	271	35.025
BraA01g001600.3C	231	26.552	0	0
BraA01g001610.3C	2286	2037	88	4.12057
BraA01g001620.3C	1125	876	35	3.81092
BraA01g001630.3C	1557	1308	789	57.5353
BraA01g001640.3C	588	339	61	17.1631
BraA01g001650.3C	210	21.6077	0	0
BraA01g001660.3C	483	234	0	0
BraA01g001670.3C	1296	1047	335	30.5185
BraA01g001680.3C	249	32.2352	34	100.604
BraA01g001690.3C	1065	816	4	0.467558
BraA01g001700.3C	1065	816	5	0.584447
BraA01g001710.3C	300	59.0212	0	0
BraA01g001720.3C	1311	1062	228	20.4774
BraA01g001730.3C	1485	1236	1422	109.735
BraA01g001740.3C	861	612	266	41.4568
BraA01g001750.3C	1473	1224	321	25.0143
BraA01g001760.3C	1056	807	41	4.84591
BraA01g001770.3C	1239	990	0	0
BraA01g001780.3C	1146	897	1	0.106334
BraA01g001790.3C	1227	978	70.9333	6.91794
BraA01g001800.3C	1650	1401	29	1.97435
BraA01g001810.3C	1557	1308	295	21.5119
BraA01g001820.3C	2541	2292	171	7.11618
BraA01g001830.3C	1161	912	100	10.4585
BraA01g001840.3C	972	723	0	0
BraA01g001850.3C	1464	1215	252	19.7829
BraA01g001860.3C	774	525	3	0.545039
BraA01g001870.3C	1602	1353	2.01102	0.14177
BraA01g001880.3C	2058	1809	41	2.16178
BraA01g001890.3C	978	729	108	14.1306
BraA01g001900.3C	1002	753	0	0
BraA01g001910.3C	759	510	68	12.7176
BraA01g001920.3C	1278	1029	48	4.4493
BraA01g001930.3C	462	213	0	0
BraA01g001940.3C	717	468	0	0
BraA01g001950.3C	528	279	0	0
BraA01g001960.3C	1347	1098	71	6.16767
BraA01g001970.3C	2004	1755	35	1.9022
BraA01g001980.3C	2928	2679	742	26.4178
BraA01g001990.3C	996	747	1	0.127686
BraA01g002000.3C	1092	843	679	76.8259
BraA01g002010.3C	558	309	37.2448	11.4967
BraA01g002020.3C	1461	1212	23	1.81005
BraA01g002030.3C	912	663	234	33.6642
BraA01g002040.3C	1386	1137	0	0
BraA01g002050.3C	294	54.9123	1	1.73699
BraA01g002060.3C	1932	1683	94	5.32732
BraA01g002070.3C	273	42.6101	0	0
BraA01g002080.3C	654	405	72.1075	16.9821
BraA01g002090.3C	942	693	103.557	14.2531
BraA01g002100.3C	627	378	0	0
BraA01g002110.3C	1374	1125	35	2.96743
BraA01g002120.3C	1209	960	1	0.099356
BraA01g002130.3C	783	534	77	13.7536
BraA01g002140.3C	738	489	34	6.63186
BraA01g002150.3C	519	270	48	16.9568
BraA01g002160.3C	2295	2046	2540	118.411
BraA01g002170.3C	873	624	0	0
BraA01g002180.3C	672	423	0	0
BraA01g002190.3C	948	699	13	1.77391
BraA01g002200.3C	873	624	0	0
BraA01g002210.3C	1800	1551	70	4.30479
BraA01g002220.3C	240	29.2001	6	19.5989
BraA01g002230.3C	2148	1899	40	2.00909
BraA01g002240.3C	1122	873	56	6.11842
BraA01g002250.3C	3759	3510	2711	73.6695
BraA01g002260.3C	369	120.184	1	0.793629
BraA01g002270.3C	375	126.116	1	0.7563
BraA01g002280.3C	1113	864	104	11.4811
BraA01g002290.3C	1443	1194	16.0873	1.28513
BraA01g002300.3C	2496	2247	103.779	4.40526
BraA01g002310.3C	1269	1020	78	7.2939
BraA01g002320.3C	891	642	162.415	24.1299
BraA01g002330.3C	486	237	22	8.854
BraA01g002340.3C	1908	1659	456	26.2171
BraA01g002350.3C	1386	1137	12	1.00667
BraA01g002360.3C	2571	2322	963	39.5576
BraA01g002370.3C	3822	3573	68	1.81527
BraA01g002380.3C	765	516	5	0.924242
BraA01g002390.3C	1446	1197	32.9699	2.62718
BraA01g002400.3C	708	459	1	0.207803
BraA01g002410.3C	360	111.352	20	17.1315
BraA01g002420.3C	1563	1314	434.354	31.5293
BraA01g002430.3C	2034	1785	1	0.0534352
BraA01g002440.3C	1614	1365	165	11.5297
BraA01g002450.3C	2970	2721	535	18.7539
BraA01g002460.3C	1116	867	22	2.4203
BraA01g002470.3C	3465	3216	0	0
BraA01g002480.3C	4440	4191	123	2.79932
BraA01g002490.3C	777	528	1295.73	234.071
BraA01g002500.3C	2436	2187	197	8.59177
BraA01g002510.3C	315	70.3986	0	0
BraA01g002520.3C	573	324	160	47.1021
BraA01g002530.3C	1395	1146	8	0.665841
BraA01g002540.3C	11577	11328	75	0.6315
BraA01g002550.3C	384	135.056	13	9.18111
BraA01g002560.3C	1716	1467	47	3.05586
BraA01g002570.3C	480	231	44	18.168
BraA01g002580.3C	855	606	532	83.7345
BraA01g002590.3C	915	666	48	6.87436
BraA01g002600.3C	267	39.6723	4	9.61696
BraA01g002610.3C	834	585	44	7.17401
BraA01g002620.3C	594	345	0	0
BraA01g002630.3C	954	705	108	14.6117
BraA01g002640.3C	1260	1011	151	14.2459
BraA01g002650.3C	840	591	6	0.968343
BraA01g002660.3C	1500	1251	144	10.9792
BraA01g002670.3C	1593	1344	83	5.89039
BraA01g002680.3C	636	387	62	15.2808
BraA01g002690.3C	1482	1233	505	39.0655
BraA01g002700.3C	714	465	7	1.43585
BraA01g002710.3C	2697	2448	1636.15	63.7495
BraA01g002720.3C	837	588	0	0
BraA01g002730.3C	1119	870	0	0
BraA01g002740.3C	957	708	0	0
BraA01g002750.3C	8292	8043	142.155	1.68582
BraA01g002760.3C	567	318	42	12.5976
BraA01g002770.3C	549	300	0	0
BraA01g002780.3C	1077	828	48	5.52938
BraA01g002790.3C	618	369	199.815	51.6497
BraA01g002800.3C	1302	1053	155	14.0401
BraA01g002810.3C	738	489	1	0.195055
BraA01g002820.3C	759	510	0	0
BraA01g002830.3C	843	594	51	8.18934
BraA01g002840.3C	894	645	0	0
BraA01g002850.3C	807	558	1	0.170935
BraA01g002860.3C	1215	966	15	1.48108
BraA01g002870.3C	915	666	12	1.71859
BraA01g002880.3C	183	17.121	0	0
BraA01g002890.3C	426	177.001	209	112.625
BraA01g002900.3C	777	528	53.3066	9.62969
BraA01g002910.3C	1404	1155	293	24.1964
BraA01g002920.3C	585	336	42	11.9227
BraA01g002930.3C	768	519	5	0.9189
BraA01g002940.3C	1350	1101	129.977	11.2601
BraA01g002950.3C	582	333	7	2.00502
BraA01g002960.3C	1635	1386	50	3.4409
BraA01g002970.3C	969	720	548.484	72.6602
BraA01g002980.3C	3237	2988	9	0.287294
BraA01g002990.3C	1323	1074	0	0
BraA01g003000.3C	612	363	52	13.6635
BraA01g003010.3C	909	660	102	14.7408
BraA01g003020.3C	5094	4845	136	2.67738
BraA01g003030.3C	522	273	0	0
BraA01g003040.3C	1104	855	185	20.6382
BraA01g003050.3C	1071	822	1433	166.28
BraA01g003060.3C	1044	795	24.7195	2.96577
BraA01g003070.3C	426	177.001	48	25.8661
BraA01g003080.3C	1638	1389	1508.01	103.554
BraA01g003090.3C	2223	1974	573	27.6868
BraA01g003100.3C	2763	2514	16	0.607044
BraA01g003110.3C	1239	990	0	0
BraA01g003120.3C	828	579	0	0
BraA01g003130.3C	2838	2589	110	4.05253
BraA01g003140.3C	1104	855	1072.2	119.613
BraA01g003150.3C	1110	861	182	20.162
BraA01g003160.3C	2532	2283	273	11.4057
BraA01g003170.3C	1521	1272	214.731	16.1018
BraA01g003180.3C	2151	1902	0	0
BraA01g003190.3C	369	120.184	0	0
BraA01g003200.3C	186	17.5397	0	0
BraA01g003210.3C	825	576	97	16.0626
BraA01g003220.3C	705	456	4	0.836682
BraA01g003230.3C	1443	1194	10	0.798842
BraA01g003240.3C	3753	3504	166	4.51866
BraA01g003250.3C	1089	840	68	7.72138
BraA01g003260.3C	339	91.3223	0	0
BraA01g003270.3C	846	597	369.456	59.0273
BraA01g003280.3C	1488	1239	24.2058	1.86343
BraA01g003290.3C	1071	822	182	21.1186
BraA01g003300.3C	666	417	21	4.8034
BraA01g003310.3C	462	213	163	72.9917
BraA01g003320.3C	696	447	362.545	77.3606
BraA01g003330.3C	1758	1509	1	0.0632086
BraA01g003340.3C	1179	930	0	0
BraA01g003350.3C	1443	1194	46	3.67467
BraA01g003360.3C	597	348	90	24.6677
BraA01g003370.3C	2538	2289	0	0
