target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	3	0.345356
BraA01g000020.3C	1668	1419	78.2081	6.37649
BraA01g000030.3C	957	708	1	0.16341
BraA01g000040.3C	1299	1050	273.073	30.0886
BraA01g000050.3C	774	525	21	4.62778
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	80	16.4983
BraA01g000080.3C	891	642	132	23.7876
BraA01g000090.3C	1707	1458	370.926	29.4335
BraA01g000100.3C	357	108.433	30.2878	32.3162
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	308	20.9488
BraA01g000180.3C	963	714	13	2.10648
BraA01g000190.3C	2436	2187	271	14.3362
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	2	0.188121
BraA01g000230.3C	1428	1179	7	0.686905
BraA01g000240.3C	1617	1368	62	5.24346
BraA01g000250.3C	720	471	4	0.982543
BraA01g000260.3C	2454	2205	526.169	27.6076
BraA01g000270.3C	1104	855	246	33.2875
BraA01g000280.3C	339	91.3223	0	0
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	98	11.0507
BraA01g000320.3C	1035	786	316	46.5133
BraA01g000330.3C	327	80.5083	55.1819	79.2992
BraA01g000340.3C	288	51.0677	1	2.26551
BraA01g000350.3C	489	240	749	361.063
BraA01g000360.3C	297	56.934	0	0
BraA01g000370.3C	426	177.001	18	11.7655
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	521	20.9077
BraA01g000400.3C	345	96.9308	3	3.58073
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	137	20.8829
BraA01g000430.3C	3585	3336	229	7.94185
BraA01g000440.3C	510	261	6	2.65964
