target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	3	0.290284
BraA01g000020.3C	1668	1419	101.497	6.95564
BraA01g000030.3C	957	708	0	0
BraA01g000040.3C	1299	1050	373.054	34.5502
BraA01g000050.3C	774	525	29	5.37164
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	31	5.37362
BraA01g000080.3C	891	642	190	28.7797
BraA01g000090.3C	1707	1458	163.936	10.9341
BraA01g000100.3C	357	108.433	37.8597	33.9536
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	3	4.00464
BraA01g000160.3C	1632	1383	1	0.0703147
BraA01g000170.3C	1950	1701	418	23.8968
BraA01g000180.3C	963	714	22	2.99635
BraA01g000190.3C	2436	2187	109	4.8467
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	9	0.74233
BraA01g000240.3C	1617	1368	119	8.4592
BraA01g000250.3C	720	471	1	0.206465
BraA01g000260.3C	2454	2205	465.248	20.5184
BraA01g000270.3C	1104	855	473.321	53.8342
BraA01g000280.3C	339	91.3223	0	0
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	73	6.91901
BraA01g000320.3C	1035	786	322	39.8384
BraA01g000330.3C	327	80.5083	105.192	127.061
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	1269	514.184
BraA01g000360.3C	297	56.934	3	5.12411
BraA01g000370.3C	426	177.001	8	4.39524
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	538	18.147
BraA01g000400.3C	345	96.9308	1	1.00324
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	121.84	15.6105
BraA01g000430.3C	3585	3336	218	6.35476
BraA01g000440.3C	510	261	1	0.372587
BraA01g000450.3C	9402	9153	241	2.56048
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	546.059	61.6744
BraA01g000480.3C	897	648	121	18.1584
BraA01g000490.3C	1152	903	37	3.98458
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	0	0
BraA01g000530.3C	3666	3417	736.49	20.96
BraA01g000540.3C	1416	1167	18	1.49993
BraA01g000550.3C	1722	1473	7	0.462129
BraA01g000560.3C	456	207	0	0
BraA01g000570.3C	1719	1470	153	10.1214
BraA01g000580.3C	1431	1182	779.279	64.1127
BraA01g000590.3C	1713	1464	93	6.17746
BraA01g000600.3C	285	49.2452	0	0
BraA01g000610.3C	648	399	3	0.731167
BraA01g000620.3C	477	228	47	20.0462
BraA01g000630.3C	687	438	2	0.444042
BraA01g000640.3C	873	624	70	10.9089
BraA01g000650.3C	810	561	16	2.77348
BraA01g000660.3C	1038	789	37	4.5603
BraA01g000670.3C	831	582	71	11.8633
BraA01g000680.3C	2286	2037	63	3.00758
BraA01g000690.3C	366	117.23	59	48.942
BraA01g000700.3C	1533	1284	285	21.5848
BraA01g000710.3C	252	33.3418	0	0
BraA01g000720.3C	1383	1134	489	41.9338
BraA01g000730.3C	963	714	502	68.3713
BraA01g000740.3C	864	615	52	8.22236
BraA01g000750.3C	540	291	495	165.417
BraA01g000760.3C	705	456	25	5.33143
BraA01g000770.3C	216	22.8658	0	0
BraA01g000780.3C	1116	867	140	15.7028
BraA01g000790.3C	882	633	46	7.0668
