target_id	length	eff_length	est_counts	tpm
BraA01g000010.3C	1254	1005	0	0
BraA01g000020.3C	1668	1419	100.716	10.297
BraA01g000030.3C	957	708	0	0
BraA01g000040.3C	1299	1050	220.905	30.522
BraA01g000050.3C	774	525	15	4.14505
BraA01g000060.3C	3327	3078	0	0
BraA01g000070.3C	810	561	16	4.13766
BraA01g000080.3C	891	642	91	20.5638
BraA01g000090.3C	1707	1458	282.065	28.0665
BraA01g000100.3C	357	108.433	0	0
BraA01g000110.3C	567	318	0	0
BraA01g000120.3C	873	624	0	0
BraA01g000130.3C	297	56.934	0	0
BraA01g000140.3C	1170	921	0	0
BraA01g000150.3C	318	72.8495	0	0
BraA01g000160.3C	1632	1383	0	0
BraA01g000170.3C	1950	1701	238	20.2988
BraA01g000180.3C	963	714	13	2.64145
BraA01g000190.3C	2436	2187	184	12.2058
BraA01g000200.3C	1230	981	0	0
BraA01g000210.3C	411	162.005	0	0
BraA01g000220.3C	1479	1230	0	0
BraA01g000230.3C	1428	1179	3	0.369152
BraA01g000240.3C	1617	1368	285	30.2243
BraA01g000250.3C	720	471	2	0.616037
BraA01g000260.3C	2454	2205	326.767	21.4994
BraA01g000270.3C	1104	855	476.884	80.9179
BraA01g000280.3C	339	91.3223	3	4.76587
BraA01g000290.3C	1656	1407	0	0
BraA01g000300.3C	450	201	0	0
BraA01g000310.3C	1275	1026	71	10.0394
BraA01g000320.3C	1035	786	222	40.9759
BraA01g000330.3C	327	80.5083	35.153	63.346
BraA01g000340.3C	288	51.0677	0	0
BraA01g000350.3C	489	240	890	537.993
BraA01g000360.3C	297	56.934	3	7.64447
BraA01g000370.3C	426	177.001	10	8.19638
BraA01g000380.3C	393	144.026	0	0
BraA01g000390.3C	3132	2883	997	50.1705
BraA01g000400.3C	345	96.9308	4	5.98682
BraA01g000410.3C	270	41.1106	0	0
BraA01g000420.3C	1008	759	74	14.1445
BraA01g000430.3C	3585	3336	131	5.69696
BraA01g000440.3C	510	261	4	2.2234
BraA01g000450.3C	9402	9153	274	4.34295
BraA01g000460.3C	1512	1263	0	0
BraA01g000470.3C	1110	861	370.67	62.4571
BraA01g000480.3C	897	648	111	24.8511
BraA01g000490.3C	1152	903	34	5.46247
BraA01g000500.3C	927	678	0	0
BraA01g000510.3C	780	531	0	0
BraA01g000520.3C	279	45.7981	0	0
BraA01g000530.3C	3666	3417	645.72	27.4155
BraA01g000540.3C	1416	1167	7	0.870212
BraA01g000550.3C	1722	1473	17	1.67434
BraA01g000560.3C	456	207	0	0
